SN2005bl 0.025112 181.051 20.4069
filter B
53476.08468 19.359 0.016
53477.10752 19.14 0.017
53478.13303 18.954 0.017
53479.12057 18.822 0.025
53480.12604 18.768 0.02
53481.08264 18.723 0.022
53483.09808 18.711 0.035
53484.12338 18.771 0.037
53489.06909 19.523 0.028
53490.07804 19.736 0.018
53491.04483 19.893 0.017
53512.03728 21.237 0.175
filter V
53476.08468 18.917 0.015
53477.10752 18.664 0.013
53478.13303 18.444 0.016
53479.12057 18.298 0.019
53480.12604 18.142 0.014
53481.08264 18.062 0.015
53483.09808 17.942 0.015
53484.12338 17.883 0.017
53489.06909 18.21 0.011
53490.07804 18.35 0.011
53491.04483 18.464 0.013
53512.03728 19.951 0.057
filter r
53476.08468 18.877 0.011
53477.10752 18.619 0.012
53478.13303 18.389 0.011
53479.12057 18.23 0.023
53480.12604 18.027 0.01
53481.08264 17.922 0.01
53483.09808 17.742 0.009
53484.12338 17.665 0.026
53489.06909 17.788 0.007
53490.07804 17.88 0.01
53491.04483 17.963 0.012
53512.03728 19.574 0.03
filter i
53476.08468 18.87 0.028
53477.10752 18.635 0.014
53478.13303 18.376 0.014
53479.12057 18.213 0.028
53480.12604 18.078 0.014
53481.08264 17.95 0.012
53483.09808 17.81 0.012
53484.12338 17.73 0.023
53489.06909 17.775 0.009
53490.07804 17.835 0.012
53491.04483 17.877 0.014
53512.03728 19.521 0.037
