SN2007af 0.00629 215.588 0.393777777777778
filter B
54165.26943 14.071 0.006
54166.28117 13.889 0.006
54169.2953 13.478 0.006
54170.29985 13.407 0.007
54171.30832 13.345 0.007
54172.30469 13.3 0.009
54174.33222 13.28 0.007
54178.2605 13.425 0.008
54179.31863 13.487 0.006
54181.29715 13.632 0.006
54182.27129 13.716 0.008
54185.30802 14.022 0.006
54190.2587 14.607 0.007
54194.28338 15.063 0.006
54197.27846 15.334 0.006
54199.22376 15.497 0.007
54202.31859 15.737 0.008
54204.33321 15.875 0.008
54207.24712 16.044 0.009
54211.26709 16.24 0.008
54213.23198 16.308 0.009
54218.24702 16.443 0.007
54224.26564 16.549 0.01
54226.29718 16.595 0.009
54231.27117 16.662 0.008
54239.18637 16.792 0.009
54246.15851 16.869 0.007
54256.17932 17.009 0.008
filter V
54165.26943 14.034 0.006
54166.28117 13.856 0.005
54169.2953 13.445 0.006
54170.29985 13.367 0.008
54171.30832 13.299 0.008
54172.30469 13.242 0.008
54174.33222 13.21 0.009
54179.31863 13.254 0.008
54181.29715 13.323 0.007
54182.27129 13.353 0.008
54185.30802 13.524 0.007
54190.2587 13.849 0.006
54194.28338 14.102 0.008
54197.27846 14.27 0.007
54199.22376 14.374 0.009
54202.31859 14.571 0.008
54204.33321 14.72 0.007
54207.24712 14.929 0.008
54211.26709 15.153 0.007
54213.23198 15.24 0.008
54218.24702 15.406 0.006
54224.26564 15.58 0.007
54226.29718 15.637 0.007
54231.27117 15.747 0.006
54239.18637 15.941 0.007
54246.15851 16.11 0.007
54256.17932 16.35 0.006
filter r
54165.26943 13.969 0.009
54166.28117 13.8 0.005
54169.2953 13.422 0.006
54170.29985 13.362 0.007
54171.30832 13.299 0.007
54172.30469 13.263 0.008
54174.33222 13.228 0.008
54178.2605 13.228 0.007
54179.31863 13.282 0.008
54181.29715 13.369 0.008
54182.27129 13.422 0.011
54185.30802 13.653 0.006
54190.2587 13.882 0.005
54194.28338 13.961 0.006
54197.27846 14.035 0.006
54199.22376 14.091 0.007
54202.31859 14.227 0.007
54204.33321 14.36 0.009
54207.24712 14.592 0.008
54211.26709 14.857 0.006
54213.23198 14.942 0.007
54218.24702 15.151 0.005
54224.26564 15.36 0.007
54226.29718 15.421 0.006
54231.27117 15.588 0.006
54239.18637 15.845 0.006
54246.15851 16.053 0.006
54256.17932 16.384 0.005
filter i
54165.26943 14.233 0.006
54166.28117 14.049 0.006
54169.2953 13.736 0.008
54170.29985 13.694 0.008
54171.30832 13.679 0.011
54172.30469 13.697 0.011
54174.33222 13.764 0.01
54178.2605 13.9 0.009
54179.31863 13.961 0.01
54181.29715 14.052 0.01
54182.27129 14.134 0.01
54185.30802 14.383 0.006
54190.2587 14.442 0.006
54194.28338 14.349 0.008
54197.27846 14.303 0.009
54199.22376 14.287 0.008
54202.31859 14.315 0.008
54204.33321 14.406 0.01
54207.24712 14.632 0.01
54211.26709 14.905 0.006
54213.23198 15.014 0.009
54218.24702 15.272 0.006
54224.26564 15.505 0.009
54226.29718 15.598 0.007
54231.27117 15.779 0.006
54239.18637 16.055 0.007
54246.15851 16.295 0.008
54256.17932 16.638 0.007
