SN,B,V,r,i,
SN2004dt_CSP_main.txt,53236.4,53237.6,53237.7,53233.9,
SN2004ef_CSP_main.txt,53264.0,53265.2,53265.2,53261.6,
SN2004eo_CSP_main.txt,53278.2,53279.4,53279.4,53275.7,
SN2004ey_CSP_main.txt,53303.9,53305.1,53305.8,53301.1,
SN2004gc_CSP_main.txt,53325.6,53326.9,53326.8,53323.2,
SN2004gs_CSP_main.txt,53354.1,53355.3,53355.1,53351.6,
SN2004gu_CSP_main.txt,53362.4,53363.2,53364.9,53359.1,
SN2005A_CSP_main.txt,53379.0,53380.3,53380.6,53376.3,
SN2005ag_CSP_main.txt,53413.3,53414.1,53415.7,53410.0,
SN2005al_CSP_main.txt,53429.1,53430.4,53430.3,53426.7,
SN2005am_CSP_main.txt,53436.7,53437.7,53437.5,53434.1,
SN2005be_CSP_main.txt,53460.8,53461.9,53461.6,53458.3,
SN2005bg_CSP_main.txt,53469.2,53470.4,53470.9,53466.4,
SN2005bl_CSP_main.txt,53483.6,53484.5,53487.8,53480.2,
SN2005bo_CSP_main.txt,53478.7,53479.9,53480.1,53476.3,
SN2005el_CSP_main.txt,53646.5,53647.7,53647.5,53644.1,
SN2005eq_CSP_main.txt,53654.1,53654.9,53656.6,53650.8,
SN2005hc_CSP_main.txt,53666.8,53667.5,53669.2,53663.4,
SN2005hj_CSP_main.txt,53674.0,53674.8,53676.5,53670.7,
SN2005iq_CSP_main.txt,53687.4,53688.6,53688.8,53684.9,
SN2005ir_CSP_main.txt,53684.3,53685.1,53686.8,53681.0,
SN2005kc_CSP_main.txt,53697.5,53698.8,53698.5,53695.0,
SN2005ke_CSP_main.txt,53698.9,53700.1,53700.1,53696.4,
SN2005ki_CSP_main.txt,53705.1,53706.3,53706.1,53702.7,
SN2005ku_CSP_main.txt,53698.3,53699.5,53700.0,53695.5,
SN2005lu_CSP_main.txt,53711.2,53712.2,53713.5,53708.0,
SN2005M_CSP_main.txt,53405.4,53406.2,53407.9,53402.1,
SN2005mc_CSP_main.txt,53733.9,53734.8,53735.6,53731.8,
SN2005na_CSP_main.txt,53739.9,53741.2,53741.6,53737.2,
SN2005W_CSP_main.txt,53411.9,53413.2,53413.0,53409.4,
SN2006ax_CSP_main.txt,53826.9,53828.1,53828.6,53824.1,
