SN2004ef 0.029771 340.542 19.9946
filter BCSP3014
53255.15693 17.981 0.006
53256.12505 17.754 0.007
53257.13522 17.558 0.007
53258.11285 17.419 0.009
53259.1096 17.279 0.005
53260.11881 17.188 0.003
53261.08175 17.117 0.006
53262.05622 17.086 0.005
53263.07823 17.064 0.007
53264.08895 17.058 0.005
53265.13585 17.09 0.005
53266.1111 17.111 0.004
53267.10442 17.154 0.006
53268.11534 17.222 0.005
53269.09396 17.322 0.009
53270.08416 17.384 0.003
53271.08196 17.48 0.007
53272.12933 17.587 0.008
53273.16648 17.713 0.01
53274.11662 17.822 0.013
53275.15802 17.933 0.016
53276.11428 18.099 0.012
53277.08465 18.194 0.018
53278.09321 18.324 0.016
53279.10095 18.497 0.016
53280.09097 18.617 0.016
53281.07873 18.75 0.011
53287.09229 19.353 0.013
53289.10146 19.564 0.014
53290.08927 19.633 0.022
53291.07325 19.71 0.018
53292.07637 19.812 0.02
53294.0751 19.904 0.019
53295.10402 19.941 0.018
53300.07439 20.123 0.036
53301.05999 20.119 0.071
53302.07517 20.231 0.08
53303.06941 20.096 0.097
53310.07442 20.328 0.044
53321.06282 20.451 0.031
53329.053 20.622 0.09
filter VCSP3014
53255.15693 17.885 0.011
53256.12505 17.664 0.007
53257.13522 17.482 0.007
53258.11285 17.341 0.005
53259.1096 17.212 0.005
53260.11881 17.114 0.003
53261.08175 17.035 0.006
53262.05622 16.994 0.004
53263.07823 16.954 0.007
53264.08895 16.925 0.007
53265.13585 16.912 0.006
53266.1111 16.919 0.004
53267.10442 16.933 0.007
53268.11534 16.957 0.004
53270.08416 17.017 0.003
53271.08196 17.066 0.006
53272.12933 17.127 0.007
53273.16648 17.192 0.008
53274.11662 17.274 0.008
53275.15802 17.329 0.012
53276.11428 17.411 0.014
53277.08465 17.475 0.012
53278.09321 17.556 0.011
53279.10095 17.617 0.009
53280.09097 17.695 0.009
53281.07873 17.778 0.008
53287.09229 18.167 0.008
53289.10146 18.361 0.009
53290.08927 18.437 0.01
53291.07325 18.53 0.01
53292.07637 18.621 0.011
53294.0751 18.757 0.01
53295.10402 18.842 0.01
53300.07439 19.029 0.016
53301.05999 19.095 0.025
53302.07517 19.082 0.027
53303.06941 19.175 0.035
53305.0899 19.167 0.027
53308.08351 19.262 0.028
53309.07455 19.238 0.026
53310.07442 19.322 0.017
53311.07992 19.349 0.014
53321.06282 19.603 0.02
53329.053 19.744 0.036
filter rCSP3014
53255.15693 17.803 0.005
53256.12505 17.586 0.007
53257.13522 17.4 0.005
53258.11285 17.249 0.005
53259.1096 17.122 0.005
53260.11881 17.021 0.003
53261.08175 16.956 0.007
53262.05622 16.901 0.004
53263.07823 16.864 0.009
53264.08895 16.826 0.007
53265.13585 16.807 0.005
53266.1111 16.805 0.004
53267.10442 16.826 0.007
53268.11534 16.84 0.008
53271.08196 17.027 0.005
53272.12933 17.108 0.006
53273.16648 17.183 0.008
53274.11662 17.241 0.009
53275.15802 17.327 0.011
53276.11428 17.357 0.011
53277.08465 17.367 0.017
53278.09321 17.426 0.01
53279.10095 17.45 0.009
53280.09097 17.459 0.007
53281.07873 17.482 0.008
53282.07245 17.499 0.008
53287.09229 17.695 0.005
53289.10146 17.837 0.006
53290.08927 17.947 0.006
53291.07325 18.029 0.007
53292.07637 18.108 0.006
53294.0751 18.262 0.009
53295.10402 18.325 0.008
53300.07439 18.54 0.01
53301.05999 18.593 0.012
53302.07517 18.604 0.013
53303.06941 18.635 0.017
53305.0899 18.737 0.019
53307.12362 18.823 0.019
53308.08351 18.838 0.016
53309.07455 18.866 0.012
53310.07442 18.883 0.01
53311.07992 18.921 0.01
53312.05273 18.968 0.012
53321.06282 19.271 0.011
53329.053 19.535 0.022
filter iCSP3014
53255.15693 18.016 0.009
53256.12505 17.762 0.009
53257.13522 17.585 0.006
53258.11285 17.441 0.008
53259.1096 17.36 0.007
53260.11881 17.331 0.006
53261.08175 17.315 0.009
53262.05622 17.33 0.009
53263.07823 17.346 0.011
53264.08895 17.376 0.009
53265.13585 17.368 0.008
53266.1111 17.373 0.007
53267.10442 17.372 0.011
53268.11534 17.428 0.011
53271.08196 17.689 0.01
53272.12933 17.838 0.012
53273.16648 17.909 0.013
53274.11662 17.976 0.016
53275.15802 18.017 0.019
53276.11428 18.043 0.02
53277.08465 18.035 0.027
53278.09321 18.001 0.016
53279.10095 17.965 0.015
53280.09097 17.939 0.012
53281.07873 17.901 0.011
53282.07245 17.887 0.011
53287.09229 17.801 0.008
53289.10146 17.859 0.008
53290.08927 17.946 0.008
53291.07325 18.053 0.01
53292.07637 18.133 0.01
53294.0751 18.325 0.011
53295.10402 18.403 0.011
53300.07439 18.703 0.013
53301.05999 18.747 0.016
53302.07517 18.845 0.015
53303.06941 18.839 0.022
53305.0899 18.911 0.023
53307.12362 19.092 0.035
53308.08351 19.11 0.025
53309.07455 19.194 0.02
53310.07442 19.185 0.02
53311.07992 19.214 0.017
53312.05273 19.212 0.028
53321.06282 19.603 0.025
53329.053 19.869 0.037
