SN2004ey 0.014627 327.283 0.444222222222222
filter B
53295.01776 15.974 0.006
53298.16782 15.532 0.005
53299.00874 15.435 0.006
53300.03587 15.362 0.004
53301.02776 15.308 0.005
53302.0445 15.268 0.005
53303.03933 15.242 0.006
53304.05301 15.242 0.006
53305.03635 15.256 0.006
53307.07442 15.323 0.006
53308.04465 15.355 0.004
53309.04135 15.41 0.006
53310.04179 15.449 0.004
53311.00647 15.509 0.005
53314.0521 15.729 0.004
53315.04524 15.818 0.006
53328.03091 17.202 0.009
53330.07369 17.412 0.013
53331.01535 17.494 0.011
53335.02235 17.788 0.01
53337.0159 17.916 0.014
53338.03784 17.995 0.01
53339.03772 18.058 0.011
53340.04005 18.086 0.011
53342.01751 18.222 0.02
53344.0223 18.255 0.012
53346.03474 18.297 0.012
53348.02922 18.374 0.014
53351.02869 18.39 0.021
53352.02991 18.454 0.022
filter V
53295.01776 16.005 0.007
53298.16782 15.539 0.007
53299.00874 15.459 0.008
53300.03587 15.379 0.007
53301.02776 15.317 0.006
53302.0445 15.262 0.007
53303.03933 15.235 0.008
53304.05301 15.217 0.007
53305.03635 15.211 0.008
53307.07442 15.24 0.006
53308.04465 15.253 0.006
53309.04135 15.282 0.007
53310.04179 15.306 0.006
53311.00647 15.34 0.006
53314.0521 15.486 0.004
53315.04524 15.546 0.008
53328.03091 16.277 0.009
53330.07369 16.415 0.01
53331.01535 16.477 0.009
53335.02235 16.723 0.01
53337.0159 16.821 0.01
53338.03784 16.888 0.007
53339.03772 16.965 0.009
53340.04005 17.01 0.01
53342.01751 17.095 0.027
53344.0223 17.197 0.011
53346.03474 17.289 0.011
53348.02922 17.347 0.012
53351.02869 17.446 0.009
53352.02991 17.45 0.018
filter r
53295.01776 15.953 0.006
53298.16782 15.506 0.006
53299.00874 15.46 0.009
53300.03587 15.37 0.009
53301.02776 15.303 0.006
53302.0445 15.26 0.006
53303.03933 15.239 0.008
53304.05301 15.196 0.008
53305.03635 15.193 0.007
53307.07442 15.207 0.005
53308.04465 15.228 0.006
53309.04135 15.251 0.008
53310.04179 15.298 0.006
53311.00647 15.346 0.006
53312.02749 15.418 0.009
53314.0521 15.549 0.006
53315.04524 15.625 0.006
53320.02689 15.911 0.006
53328.03091 16.035 0.006
53330.07369 16.095 0.006
53331.01535 16.12 0.006
53335.02235 16.295 0.005
53337.0159 16.408 0.007
53338.03784 16.464 0.008
53339.03772 16.533 0.007
53340.04005 16.605 0.008
53342.01751 16.729 0.007
53344.0223 16.835 0.009
53346.03474 16.932 0.008
53348.02922 17.009 0.01
53351.02869 17.111 0.009
53352.02991 17.154 0.009
filter i
53295.01776 16.185 0.006
53298.16782 15.784 0.006
53299.00874 15.746 0.008
53300.03587 15.702 0.009
53301.02776 15.706 0.006
53302.0445 15.724 0.006
53303.03933 15.753 0.009
53304.05301 15.76 0.012
53305.03635 15.796 0.01
53307.07442 15.872 0.006
53308.04465 15.889 0.007
53309.04135 15.933 0.007
53310.04179 15.978 0.007
53311.00647 16.042 0.007
53312.02749 16.105 0.01
53314.0521 16.301 0.007
53315.04524 16.386 0.008
53320.02689 16.581 0.008
53328.03091 16.406 0.01
53330.07369 16.357 0.007
53331.01535 16.331 0.007
53335.02235 16.357 0.006
53337.0159 16.432 0.008
53338.03784 16.476 0.008
53339.03772 16.576 0.008
53340.04005 16.655 0.009
53342.01751 16.81 0.009
53344.0223 16.908 0.01
53346.03474 17.034 0.01
53348.02922 17.141 0.011
53351.02869 17.272 0.015
53352.02991 17.32 0.014
