SN2005W 0.00795 27.6907083333333 21.7598
filter BCSP3014
53404.02491 15.02 0.006
53406.03333 14.741 0.006
53408.02561 14.539 0.006
53409.023 14.484 0.006
53410.02387 14.446 0.006
53411.02221 14.419 0.006
53412.02267 14.445 0.007
53413.02274 14.445 0.016
53414.0165 14.461 0.011
53415.01722 14.502 0.011
53416.01309 14.529 0.013
53417.01574 14.627 0.014
53418.0154 14.688 0.021
53419.0098 14.775 0.028
53420.00362 14.847 0.021
53421.01097 14.977 0.019
53425.00709 15.391 0.04
53425.9998 15.485 0.032
53427.00238 15.666 0.034
53429.00566 15.824 0.034
filter VCSP3014
53404.02491 14.891 0.006
53406.03333 14.595 0.006
53408.02561 14.404 0.006
53409.023 14.345 0.006
53410.02387 14.299 0.007
53411.02221 14.264 0.006
53412.02267 14.263 0.006
53413.02274 14.227 0.011
53414.0165 14.276 0.011
53415.01722 14.26 0.009
53416.01309 14.263 0.011
53417.01574 14.27 0.01
53419.0098 14.344 0.016
53420.00362 14.347 0.013
53421.01097 14.451 0.018
53422.00356 14.52 0.023
53425.00709 14.684 0.017
53425.9998 14.781 0.016
53427.00238 14.845 0.014
53429.00566 14.943 0.013
filter rCSP3014
53404.02491 14.763 0.005
53406.03333 14.487 0.006
53408.02561 14.328 0.008
53409.023 14.261 0.006
53410.02387 14.213 0.011
53411.02221 14.204 0.007
53412.02267 14.187 0.006
53413.02274 14.169 0.009
53414.0165 14.15 0.007
53415.01722 14.194 0.006
53416.01309 14.194 0.004
53417.01574 14.242 0.008
53419.0098 14.316 0.011
53420.00362 14.435 0.035
53421.01097 14.436 0.043
53422.00356 14.581 0.018
53425.00709 14.746 0.014
53425.9998 14.74 0.019
53427.00238 14.849 0.014
53429.00566 14.829 0.009
filter iCSP3014
53404.02491 14.977 0.006
53406.03333 14.743 0.006
53408.02561 14.619 0.013
53409.023 14.633 0.006
53410.02387 14.616 0.009
53411.02221 14.649 0.006
53412.02267 14.72 0.008
53413.02274 14.732 0.011
53414.0165 14.771 0.01
53415.01722 14.788 0.011
53416.01309 14.809 0.012
53417.01574 14.874 0.012
53419.0098 14.956 0.012
53420.00362 14.963 0.045
53422.00356 15.167 0.041
53425.00709 15.326 0.017
53425.9998 15.35 0.029
53427.00238 15.309 0.024
53429.00566 15.257 0.014
