SN2005bo 0.015013 192.421 -11.0965
filter BCSP3014
53478.24189 15.85 0.011
53479.21956 15.841 0.011
53480.22024 15.871 0.01
53481.18402 15.919 0.01
53484.23087 16.084 0.025
53489.20818 16.586 0.01
53490.19549 16.705 0.012
53491.1997 16.829 0.011
53512.25308 18.618 0.143
filter VCSP3014
53478.24189 15.585 0.012
53479.21956 15.585 0.012
53480.22024 15.551 0.014
53481.18402 15.584 0.011
53484.23087 15.677 0.021
53487.22121 15.809 0.013
53489.20818 15.956 0.01
53490.19549 16.027 0.012
53491.1997 16.1 0.015
53512.25308 17.483 0.062
filter rCSP3014
53478.24189 15.458 0.009
53479.21956 15.436 0.012
53480.22024 15.442 0.012
53481.18402 15.43 0.011
53484.23087 15.517 0.012
53489.20818 15.91 0.009
53490.19549 15.973 0.011
53491.1997 16.016 0.01
53512.25308 17.003 0.023
filter iCSP3014
53478.24189 15.831 0.012
53479.21956 15.853 0.016
53480.22024 15.904 0.015
53481.18402 15.93 0.013
53484.23087 16.06 0.02
53489.20818 16.461 0.01
53490.19549 16.511 0.012
53491.1997 16.509 0.012
53512.25308 16.884 0.019
