SN2005el 0.014885 77.953 5.19428055555556
filter BCSP3014
53639.35715 15.869 0.006
53641.35794 15.573 0.006
53644.34709 15.322 0.006
53655.32469 15.779 0.006
53659.27732 16.256 0.007
53663.29794 16.782 0.005
53665.32207 17.043 0.009
53666.28081 17.148 0.009
53669.31177 17.521 0.009
53671.32078 17.718 0.009
53673.30714 17.865 0.009
53675.32776 17.985 0.012
53682.31219 18.307 0.02
53683.3022 18.355 0.011
53687.26951 18.451 0.024
53689.29744 18.486 0.032
53690.31944 18.569 0.042
53694.31434 18.611 0.027
53698.2601 18.681 0.022
53699.25381 18.696 0.018
53702.24843 18.798 0.018
53712.22774 18.921 0.02
53721.20316 19.086 0.056
53730.24008 19.213 0.025
filter VCSP3014
53639.35715 15.822 0.006
53641.35794 15.518 0.004
53644.34709 15.277 0.006
53655.32469 15.533 0.006
53659.27732 15.836 0.005
53663.29794 16.098 0.005
53665.32207 16.224 0.006
53666.28081 16.283 0.006
53669.31177 16.528 0.004
53671.32078 16.682 0.005
53673.30714 16.83 0.008
53675.32776 17.001 0.01
53682.31219 17.344 0.017
53683.3022 17.396 0.008
53687.26951 17.526 0.013
53689.29744 17.578 0.016
53690.31944 17.612 0.017
53694.31434 17.744 0.016
53698.2601 17.857 0.01
53699.25381 17.869 0.011
53702.24843 17.957 0.011
53712.22774 18.25 0.013
53721.20316 18.475 0.03
53730.24008 18.755 0.019
filter rCSP3014
53639.35715 15.79 0.007
53641.35794 15.496 0.004
53644.34709 15.287 0.007
53655.32469 15.66 0.007
53659.27732 15.954 0.005
53663.29794 16.043 0.005
53665.32207 16.061 0.006
53666.28081 16.084 0.006
53669.31177 16.196 0.005
53671.32078 16.324 0.006
53673.30714 16.486 0.008
53675.32776 16.636 0.01
53682.31219 17.071 0.013
53683.3022 17.11 0.007
53687.26951 17.297 0.011
53689.29744 17.341 0.013
53690.31944 17.392 0.013
53694.31434 17.547 0.013
53698.2601 17.677 0.009
53699.25381 17.716 0.011
53702.24843 17.834 0.011
53712.22774 18.188 0.012
53721.20316 18.49 0.022
53730.24008 18.812 0.017
filter iCSP3014
53639.35715 15.965 0.006
53641.35794 15.718 0.004
53644.34709 15.678 0.008
53650.39583 15.903 0.005
53655.32469 16.426 0.009
53659.27732 16.645 0.006
53663.29794 16.52 0.007
53665.32207 16.438 0.008
53666.28081 16.393 0.008
53669.31177 16.327 0.005
53671.32078 16.378 0.007
53673.30714 16.509 0.01
53675.32776 16.679 0.012
53682.31219 17.165 0.012
53683.3022 17.207 0.009
53687.26951 17.402 0.012
53689.29744 17.499 0.014
53690.31944 17.57 0.015
53694.31434 17.744 0.016
53698.2601 17.899 0.014
53699.25381 17.94 0.014
53702.24843 18.069 0.013
53712.22774 18.487 0.015
53721.20316 18.843 0.031
53730.24008 19.154 0.029
