SN2005hj 0.056948 21.7010833333333 -1.238
filter BCSP3014
53671.15836 17.89 0.009
53673.14427 17.849 0.01
53675.12478 17.879 0.009
53678.20036 17.92 0.008
53682.16684 18.22 0.022
53683.14134 18.227 0.012
53690.1666 18.671 0.048
53695.18653 19.339 0.024
53702.14984 19.916 0.027
53707.21387 20.261 0.074
53712.0895 20.594 0.065
53725.12126 21.124 0.08
53729.11349 21.051 0.121
53739.08637 21.025 0.081
53752.03749 21.301 0.098
53761.05732 21.153 0.113
filter VCSP3014
53671.15836 17.804 0.009
53673.14427 17.764 0.009
53675.12478 17.802 0.015
53678.20036 17.82 0.008
53682.16684 17.95 0.023
53683.14134 18 0.012
53690.1666 18.285 0.032
53695.18653 18.65 0.014
53702.14984 19.043 0.017
53707.21387 19.181 0.028
53712.0895 19.707 0.03
53725.12126 20.194 0.045
53729.11349 20.166 0.05
53739.08637 20.395 0.047
53747.06589 20.539 0.131
53752.03749 20.51 0.077
53761.05732 20.76 0.079
filter rCSP3014
53671.15836 17.839 0.011
53673.14427 17.743 0.013
53675.12478 17.734 0.015
53682.16684 17.862 0.015
53683.14134 17.928 0.014
53690.1666 18.242 0.025
53695.18653 18.458 0.017
53702.14984 18.624 0.016
53707.21387 18.806 0.022
53712.0895 19.093 0.026
53725.12126 19.586 0.031
53729.11349 19.483 0.035
53739.08637 19.801 0.046
53747.06589 19.839 0.054
53752.03749 20.017 0.049
53761.05732 19.869 0.065
filter iCSP3014
53671.15836 18.3 0.015
53673.14427 18.351 0.014
53675.12478 18.39 0.016
53682.16684 18.522 0.022
53683.14134 18.521 0.021
53690.1666 19.102 0.04
53695.18653 19.179 0.029
53702.14984 19.005 0.021
53707.21387 18.81 0.033
53712.0895 19.157 0.029
53725.12126 19.69 0.037
53729.11349 19.939 0.095
53739.08637 20.179 0.08
53747.06589 20.437 0.111
53752.03749 20.25 0.081
53761.05732 20.82 0.105
