SN2005iq 0.032929 359.635 -18.7092
filter BCSP3014
53682.03732 17.117 0.009
53683.04882 17.015 0.009
53684.08633 16.935 0.01
53687.03535 16.838 0.01
53689.11806 16.863 0.011
53690.06398 16.903 0.009
53694.10385 17.167 0.009
53695.10682 17.25 0.009
53698.06705 17.562 0.009
53699.09681 17.664 0.01
53702.10265 18.045 0.012
53706.12631 18.583 0.017
53716.10135 19.37 0.078
53721.06836 19.713 0.058
53726.0874 19.945 0.049
53730.07961 20.141 0.031
53738.03101 20.328 0.047
53746.03825 20.357 0.116
53755.03675 20.547 0.06
filter VCSP3014
53682.03732 17.175 0.009
53683.04882 17.08 0.011
53684.08633 17.003 0.01
53687.03535 16.876 0.006
53689.11806 16.859 0.012
53690.06398 16.864 0.01
53694.10385 17.011 0.009
53695.10682 17.07 0.009
53698.06705 17.263 0.009
53699.09681 17.33 0.009
53702.10265 17.537 0.011
53706.12631 17.806 0.011
53716.10135 18.517 0.027
53721.06836 18.851 0.033
53726.0874 19.105 0.028
53730.07961 19.236 0.021
53738.03101 19.422 0.022
53746.03825 19.67 0.054
53750.0408 19.684 0.092
53755.03675 19.863 0.051
filter rCSP3014
53682.03732 17.194 0.008
53683.04882 17.103 0.011
53684.08633 17.011 0.01
53687.03535 16.907 0.012
53689.11806 16.876 0.011
53690.06398 16.896 0.011
53694.10385 17.061 0.01
53695.10682 17.136 0.008
53698.06705 17.371 0.008
53699.09681 17.437 0.008
53702.10265 17.59 0.009
53706.12631 17.666 0.009
53716.10135 18.071 0.018
53721.06836 18.477 0.016
53726.0874 18.684 0.014
53730.07961 18.881 0.018
53738.03101 19.159 0.028
53746.03825 19.425 0.031
53750.0408 19.52 0.064
53755.03675 19.706 0.046
filter iCSP3014
53682.03732 17.416 0.011
53683.04882 17.337 0.013
53684.08633 17.333 0.014
53687.03535 17.409 0.014
53689.11806 17.492 0.017
53690.06398 17.497 0.013
53694.10385 17.769 0.015
53695.10682 17.874 0.015
53698.06705 18.17 0.017
53699.09681 18.242 0.017
53702.10265 18.313 0.013
53706.12631 18.196 0.016
53716.10135 18.145 0.021
53721.06836 18.559 0.023
53726.0874 18.918 0.027
53730.07961 19.15 0.03
53738.03101 19.458 0.033
53746.03825 19.72 0.054
53750.0408 19.941 0.087
