SN2005ir 0.075254 19.1827916666667 0.793694444444444
filter B
53682.10775 18.546 0.023
53683.1051 18.511 0.016
53684.13999 18.518 0.017
53687.12366 18.552 0.031
53690.12477 18.683 0.043
53694.17254 18.931 0.02
53695.15227 18.999 0.018
53698.10581 19.26 0.022
53703.13212 19.777 0.026
53707.16487 20.215 0.032
53722.09025 21.255 0.112
53728.12431 21.629 0.077
filter V
53682.10775 18.457 0.023
53683.1051 18.387 0.023
53684.13999 18.406 0.019
53687.12366 18.337 0.027
53690.12477 18.401 0.03
53694.17254 18.617 0.016
53695.15227 18.698 0.016
53698.10581 18.817 0.017
53703.13212 19.19 0.019
53707.16487 19.384 0.018
53722.09025 20.481 0.043
53728.12431 20.69 0.04
53738.06327 20.964 0.063
53740.04303 20.888 0.061
filter r
53682.10775 18.51 0.021
53683.1051 18.466 0.014
53684.13999 18.442 0.014
53687.12366 18.359 0.021
53690.12477 18.433 0.019
53694.17254 18.573 0.015
53695.15227 18.707 0.02
53698.10581 18.805 0.016
53703.13212 19.084 0.02
53707.16487 19.124 0.017
filter i
53682.10775 18.96 0.055
53683.1051 18.906 0.02
53684.13999 18.866 0.025
53690.12477 18.976 0.029
53694.17254 19.227 0.032
53695.15227 19.285 0.027
53698.10581 19.558 0.041
53703.13212 19.607 0.041
53707.16487 19.439 0.037
53722.09025 19.726 0.034
53728.12431 20.062 0.047
53738.06327 20.448 0.054
