SN2005kc 0.01389 338.531 5.56841944444444
filter BCSP3014
53687.00777 17.266 0.016
53689.05899 16.732 0.013
53690.03215 16.567 0.012
53694.07289 16.146 0.009
53695.0828 16.087 0.009
53698.04608 16.039 0.008
53699.03235 16.059 0.01
53702.04204 16.19 0.009
53706.04878 16.497 0.01
53712.02021 17.177 0.013
53716.02969 17.691 0.02
53720.03603 18.138 0.036
53728.03398 18.744 0.035
filter VCSP3014
53687.00777 17.012 0.012
53689.05899 16.502 0.01
53690.03215 16.346 0.008
53694.07289 15.892 0.007
53695.0828 15.853 0.009
53698.04608 15.767 0.006
53699.03235 15.754 0.007
53702.04204 15.806 0.006
53706.04878 15.938 0.006
53712.02021 16.337 0.01
53716.02969 16.624 0.01
53720.03603 16.848 0.011
53728.03398 17.353 0.014
filter rCSP3014
53687.00777 16.792 0.01
53689.05899 16.293 0.009
53690.03215 16.13 0.007
53694.07289 15.723 0.008
53695.0828 15.667 0.007
53698.04608 15.612 0.005
53699.03235 15.598 0.007
53702.04204 15.631 0.005
53706.04878 15.823 0.008
53712.02021 16.192 0.009
53716.02969 16.309 0.006
53720.03603 16.382 0.007
filter iCSP3014
53687.00777 16.801 0.012
53689.05899 16.339 0.01
53690.03215 16.193 0.008
53694.07289 15.888 0.008
53695.0828 15.888 0.009
53698.04608 15.985 0.006
53699.03235 16 0.009
53702.04204 16.096 0.007
53706.04878 16.318 0.01
53712.02021 16.618 0.011
53716.02969 16.546 0.01
53720.03603 16.473 0.009
53728.03398 16.644 0.011
