SN2006ax 0.017957 171.014 -12.2914
filter BCSP9844
53815.12534 16.74 0.009
53816.27134 16.362 0.008
53818.18473 15.88 0.009
53819.21164 15.69 0.009
53821.09793 15.438 0.004
53823.15933 15.287 0.007
53824.15863 15.213 0.006
53828.01412 15.188 0.004
53831.13384 15.285 0.008
53832.13708 15.335 0.006
53834.22289 15.468 0.007
53835.06483 15.534 0.007
53838.15572 15.809 0.011
53840.11692 15.98 0.008
53841.17657 16.102 0.007
53845.05674 16.53 0.008
53850.11295 17.078 0.007
53858.06043 17.726 0.009
53861.05604 17.862 0.012
53866.04514 18.066 0.015
53867.11295 18.14 0.02
53870.06329 18.191 0.013
53871.03191 18.215 0.013
53872.02929 18.247 0.013
53890.05429 18.545 0.016
53890.98794 18.584 0.02
53892.00372 18.607 0.011
53898.00704 18.671 0.01
filter VCSP9844
53815.12534 16.752 0.01
53818.18473 15.967 0.008
53819.21164 15.783 0.009
53823.15933 15.36 0.007
53824.15863 15.287 0.006
53828.01412 15.205 0.002
53831.13384 15.255 0.008
53832.13708 15.287 0.006
53834.22289 15.365 0.006
53835.06483 15.397 0.006
53838.15572 15.567 0.006
53840.11692 15.688 0.007
53841.17657 15.74 0.006
53845.05674 15.961 0.006
53850.11295 16.251 0.005
53858.06043 16.717 0.009
53861.05604 16.884 0.008
53866.04514 17.135 0.009
53867.11295 17.193 0.011
53870.06329 17.299 0.01
53871.03191 17.327 0.011
53872.02929 17.36 0.012
53890.05429 17.842 0.011
53890.98794 17.862 0.013
53892.00372 17.88 0.006
53898.00704 18.044 0.007
filter rCSP9844
53815.12534 16.8 0.01
53818.18473 15.986 0.008
53819.21164 15.808 0.008
53823.15933 15.407 0.006
53824.15863 15.345 0.006
53828.01412 15.259 0.002
53831.13384 15.304 0.009
53832.13708 15.343 0.006
53834.22289 15.439 0.006
53835.06483 15.48 0.005
53838.15572 15.708 0.006
53840.11692 15.841 0.005
53841.17657 15.884 0.006
53845.05674 16.018 0.006
53850.11295 16.071 0.006
53858.06043 16.354 0.007
53861.05604 16.528 0.007
53866.04514 16.831 0.008
53867.11295 16.881 0.009
53870.06329 17.016 0.007
53871.03191 17.046 0.007
53872.02929 17.082 0.01
53890.05429 17.705 0.009
53890.98794 17.727 0.011
53892.00372 17.755 0.004
53898.00704 17.965 0.005
filter iCSP9844
53815.12534 17.075 0.01
53818.18473 16.237 0.01
53819.21164 16.068 0.01
53823.15933 15.779 0.008
53824.15863 15.772 0.007
53828.01412 15.887 0.003
53831.13384 16.001 0.009
53832.13708 16.03 0.008
53834.22289 16.155 0.009
53835.06483 16.222 0.006
53838.15572 16.493 0.008
53840.11692 16.626 0.008
53841.17657 16.675 0.008
53845.05674 16.65 0.007
53850.11295 16.522 0.007
53858.06043 16.474 0.008
53861.05604 16.616 0.007
53866.04514 16.964 0.011
53867.11295 17.012 0.01
53870.06329 17.187 0.008
53871.03191 17.227 0.009
53872.02929 17.287 0.013
53890.05429 18.009 0.012
53890.98794 18.023 0.015
53892.00372 18.059 0.007
53898.00704 18.268 0.009
