SN2006bd 0.026797 174.619 20.5262
filter B
53828.06176 19.283 0.027
53831.16236 19.807 0.031
53833.17003 20.131 0.067
53834.1571 20.294 0.099
53841.13615 20.923 0.126
53845.10369 21.029 0.047
53866.08128 21.828 0.351
53872.06069 21.625 0.146
53891.01644 22.107 0.236
filter V
53828.06176 18.233 0.066
53831.16236 18.554 0.015
53833.17003 18.794 0.024
53834.1571 18.875 0.026
53841.13615 19.46 0.051
53845.10369 19.868 0.029
53866.08128 20.494 0.102
53872.06069 20.708 0.078
53891.01644 21.679 0.285
filter r
53828.06176 17.886 0.006
53831.16236 18.02 0.011
53833.17003 18.214 0.012
53834.1571 18.304 0.015
53841.13615 18.984 0.024
53845.10369 19.276 0.021
53866.08128 20.342 0.074
53872.06069 20.566 0.058
53891.01644 21.662 0.204
filter i
53828.06176 17.977 0.007
53831.16236 18.074 0.016
53833.17003 18.172 0.014
53834.1571 18.203 0.016
53841.13615 18.813 0.023
53845.10369 19.157 0.029
53866.08128 20.294 0.08
53872.06069 20.45 0.08
53891.01644 21.277 0.225
