SN2006bh 0.010493 340.067 -66.4851
filter B
53828.39946 14.737 0.004
53829.39208 14.635 0.005
53830.38933 14.548 0.004
53831.39522 14.487 0.004
53832.41394 14.454 0.004
53833.40542 14.441 0.005
53835.42084 14.504 0.006
53838.37221 14.676 0.004
53841.40913 14.967 0.005
53845.36834 15.464 0.005
53846.36799 15.607 0.006
53850.3462 16.144 0.007
53853.41001 16.499 0.007
53858.35088 17.014 0.028
53861.36095 17.225 0.009
53862.33657 17.287 0.009
53866.33458 17.472 0.013
53867.32973 17.516 0.015
53870.34318 17.584 0.018
53871.32478 17.616 0.016
53872.31484 17.654 0.014
53886.30716 17.943 0.006
53891.28012 18 0.014
53892.28878 18.015 0.007
53893.298 18.042 0.007
filter V
53828.39946 14.768 0.001
53829.39208 14.664 0.003
53830.38933 14.581 0.003
53831.39522 14.522 0.004
53832.41394 14.486 0.003
53833.40542 14.465 0.003
53835.42084 14.473 0.005
53838.37221 14.546 0.004
53841.40913 14.703 0.005
53845.36834 14.991 0.004
53846.36799 15.056 0.005
53850.3462 15.34 0.005
53853.41001 15.545 0.006
53858.35088 15.951 0.008
53861.36095 16.188 0.005
53862.33657 16.276 0.007
53866.33458 16.49 0.009
53867.32973 16.537 0.009
53870.34318 16.642 0.009
53871.32478 16.689 0.008
53872.31484 16.724 0.009
53886.30716 17.142 0.005
53891.28012 17.283 0.008
53892.28878 17.309 0.005
53893.298 17.341 0.004
filter r
53828.39946 14.745 0.004
53829.39208 14.646 0.004
53830.38933 14.572 0.002
53831.39522 14.523 0.003
53832.41394 14.502 0.005
53833.40542 14.469 0.005
53838.37221 14.574 0.004
53841.40913 14.829 0.004
53845.36834 15.121 0.004
53846.36799 15.155 0.004
53850.3462 15.248 0.004
53853.41001 15.322 0.006
53858.35088 15.613 0.004
53861.36095 15.871 0.004
53862.33657 15.959 0.005
53866.33458 16.225 0.005
53867.32973 16.264 0.008
53870.34318 16.396 0.006
53871.32478 16.447 0.006
53872.31484 16.482 0.009
53886.30716 17.004 0.004
53891.28012 17.191 0.007
53892.28878 17.222 0.004
53893.298 17.264 0.004
filter i
53828.39946 15.022 0.003
53829.39208 14.951 0.004
53830.38933 14.951 0.004
53831.39522 14.985 0.003
53832.41394 15.021 0.007
53833.40542 15.071 0.006
53838.37221 15.279 0.004
53841.40913 15.615 0.007
53845.36834 15.809 0.005
53846.36799 15.8 0.006
53850.3462 15.686 0.004
53853.41001 15.61 0.008
53858.35088 15.69 0.004
53861.36095 15.954 0.005
53862.33657 16.038 0.008
53866.33458 16.344 0.008
53867.32973 16.401 0.009
53870.34318 16.559 0.008
53871.32478 16.619 0.008
53872.31484 16.67 0.01
53886.30716 17.299 0.005
53891.28012 17.49 0.013
53892.28878 17.527 0.005
53893.298 17.575 0.006
