SN2006br 0.025523 202.508 13.4158
filter BCSP9844
53858.16757 19.427 0.029
53861.16742 19.712 0.024
53862.13646 19.779 0.027
53866.13741 20.134 0.074
53867.17434 20.377 0.14
53870.19853 20.635 0.178
53871.15281 20.829 0.128
53872.17867 20.867 0.126
53890.1026 21.657 0.144
filter VCSP9844
53858.16757 18.388 0.019
53861.16742 18.55 0.017
53862.13646 18.616 0.017
53866.13741 18.845 0.029
53867.17434 18.98 0.041
53870.19853 19.068 0.046
53871.15281 19.182 0.029
53872.17867 19.217 0.03
53890.1026 20.563 0.085
filter rCSP9844
53858.16757 17.938 0.019
53861.16742 18.219 0.012
53862.13646 18.288 0.013
53866.13741 18.478 0.016
53867.17434 18.496 0.022
53870.19853 18.5 0.022
53871.15281 18.523 0.016
53872.17867 18.529 0.02
53890.1026 19.541 0.027
filter iCSP9844
53858.16757 18.215 0.028
53861.16742 18.601 0.024
53862.13646 18.765 0.034
53866.13741 18.786 0.027
53867.17434 18.676 0.028
53870.19853 18.486 0.025
53871.15281 18.507 0.019
53872.17867 18.478 0.021
53890.1026 19.401 0.039
