SN2006bt 0.03248 239.127 20.046
filter B
53853.23852 17.253 0.01
53855.22671 17.163 0.006
53858.24891 17.145 0.008
53861.27188 17.232 0.008
53862.23186 17.29 0.008
53866.19448 17.537 0.012
53867.24777 17.632 0.015
53870.26801 17.911 0.019
53871.20701 18.028 0.016
53872.23942 18.119 0.015
53886.15222 19.374 0.012
53890.17855 19.572 0.027
53891.19798 19.633 0.035
53893.18192 19.653 0.029
53894.13987 19.702 0.031
53897.0812 19.756 0.04
53898.10721 19.737 0.032
filter V
53853.23852 17.117 0.01
53855.22671 17.002 0.006
53858.24891 16.94 0.007
53861.27188 16.947 0.007
53862.23186 16.965 0.008
53866.19448 17.098 0.009
53867.24777 17.13 0.009
53870.26801 17.308 0.011
53871.20701 17.375 0.009
53872.23942 17.45 0.009
53886.15222 18.359 0.006
53890.17855 18.574 0.044
53891.19798 18.601 0.016
53893.18192 18.668 0.011
53894.13987 18.71 0.014
53897.0812 18.786 0.017
53898.10721 18.807 0.012
filter r
53853.23852 17.139 0.008
53855.22671 17.021 0.005
53858.24891 16.941 0.007
53861.27188 16.937 0.005
53862.23186 16.947 0.007
53866.19448 17.04 0.008
53867.24777 17.075 0.009
53870.26801 17.207 0.009
53871.20701 17.244 0.008
53872.23942 17.299 0.009
53886.15222 17.9 0.004
53890.17855 18.082 0.021
53891.19798 18.169 0.01
53893.18192 18.234 0.005
53897.0812 18.366 0.008
53898.10721 18.421 0.007
filter i
53853.23852 17.371 0.009
53855.22671 17.266 0.005
53858.24891 17.256 0.009
53861.27188 17.272 0.008
53862.23186 17.291 0.008
53866.19448 17.39 0.01
53867.24777 17.412 0.012
53870.26801 17.53 0.013
53871.20701 17.545 0.01
53872.23942 17.561 0.011
53886.15222 17.784 0.004
53890.17855 18.021 0.017
53891.19798 18.03 0.01
53893.18192 18.141 0.006
53894.13987 18.189 0.009
53897.0812 18.298 0.009
53898.10721 18.363 0.009
