SN2006et 0.021178 10.6909166666667 -23.5584
filter BCSP9844
53986.19833 16.421 0.009
53988.06848 16.236 0.008
53991.15058 16.053 0.005
53994.22285 16.035 0.007
53998.17876 16.173 0.006
54001.12044 16.338 0.008
54003.13455 16.465 0.008
54007.16093 16.805 0.009
54008.13188 16.898 0.008
54012.02194 17.291 0.013
54013.11019 17.414 0.012
54017.26615 17.812 0.021
54023.2164 18.328 0.011
54024.05832 18.371 0.009
54025.17127 18.448 0.014
54029.18299 18.712 0.014
54039.16107 19.065 0.024
54044.12241 19.073 0.076
54046.06332 19.202 0.025
54052.09745 19.306 0.022
54060.03541 19.395 0.024
54066.10382 19.479 0.026
54091.05005 19.734 0.031
54099.03654 20.059 0.129
filter VCSP9844
53986.19833 16.309 0.008
53988.06848 16.124 0.007
53991.15058 15.92 0.006
53994.22285 15.878 0.006
53998.17876 15.908 0.005
54001.12044 16.01 0.01
54003.13455 16.074 0.007
54007.16093 16.288 0.008
54012.02194 16.587 0.008
54013.11019 16.641 0.008
54017.26615 16.813 0.015
54023.2164 17.253 0.014
54024.05832 17.213 0.004
54025.17127 17.277 0.009
54029.18299 17.532 0.009
54039.16107 18.001 0.014
54044.12241 18.126 0.033
54046.06332 18.158 0.015
54052.09745 18.311 0.014
54060.03541 18.487 0.015
54066.10382 18.639 0.018
54076.05093 18.852 0.02
54091.05005 19.19 0.023
filter rCSP9844
53983.13341 16.838 0.014
53986.19833 16.305 0.008
53988.06848 16.109 0.006
53991.15058 15.912 0.007
53994.22285 15.821 0.007
53998.17876 15.838 0.004
54001.12044 15.928 0.006
54003.13455 16.01 0.006
54007.16093 16.28 0.008
54012.02194 16.468 0.006
54013.11019 16.495 0.006
54017.26615 16.549 0.016
54023.2164 16.783 0.011
54024.05832 16.718 0.006
54029.18299 17.017 0.007
54033.18696 17.279 0.011
54039.16107 17.538 0.009
54044.12241 17.675 0.017
54046.06332 17.761 0.011
54052.09745 17.949 0.012
54060.03541 18.166 0.013
54066.10382 18.353 0.013
54076.05093 18.62 0.015
54091.05005 19.05 0.018
filter iCSP9844
53986.19833 16.537 0.01
53988.06848 16.358 0.008
53991.15058 16.312 0.008
53994.22285 16.375 0.007
53998.17876 16.475 0.006
54001.12044 16.566 0.01
54003.13455 16.69 0.008
54007.16093 16.963 0.01
54012.02194 17.015 0.009
54013.11019 17.006 0.01
54017.26615 16.9 0.016
54023.2164 16.968 0.014
54024.05832 16.859 0.006
54029.18299 17.06 0.009
54033.18696 17.327 0.012
54039.16107 17.671 0.014
54044.12241 17.747 0.023
54046.06332 17.949 0.013
54052.09745 18.16 0.017
54060.03541 18.476 0.02
54066.10382 18.643 0.017
54076.05093 19.016 0.022
54091.05005 19.454 0.036
