SN2006hb 0.015337 75.5052916666667 -21.132
filter BCSP9844
54013.30649 16.65 0.007
54014.34893 16.8 0.008
54017.35022 17.247 0.012
54018.34435 17.366 0.01
54020.37258 17.612 0.009
54025.32801 18.056 0.009
54029.31922 18.309 0.012
54038.33992 18.665 0.013
54042.28892 18.741 0.018
54049.30913 18.926 0.018
54068.2856 19.272 0.018
54076.23046 19.439 0.047
54085.19623 19.585 0.023
54091.26308 19.645 0.025
54096.18247 19.728 0.028
54099.16328 19.788 0.055
54104.2437 19.727 0.091
54108.20787 19.919 0.033
54119.1474 20.141 0.023
54121.14554 20.197 0.027
54125.1025 20.303 0.028
54133.12152 20.44 0.133
54136.14716 20.351 0.064
54143.08069 20.615 0.033
filter VCSP9844
54013.30649 15.946 0.005
54014.34893 16.007 0.009
54017.35022 16.294 0.011
54018.34435 16.373 0.007
54020.37258 16.556 0.009
54025.32801 16.973 0.008
54029.31922 17.283 0.009
54038.33992 17.692 0.01
54042.28892 17.837 0.013
54049.30913 18.01 0.015
54068.2856 18.534 0.016
54076.23046 18.723 0.024
54085.19623 18.975 0.019
54091.26308 19.106 0.022
54096.18247 19.238 0.022
54099.16328 19.389 0.068
54104.2437 19.331 0.071
54108.20787 19.539 0.034
54119.1474 19.778 0.032
54121.14554 19.817 0.034
54125.1025 19.916 0.038
54133.12152 19.968 0.105
54136.14716 19.955 0.062
54143.08069 20.245 0.044
filter rCSP9844
54013.30649 15.911 0.005
54017.35022 16.064 0.012
54018.34435 16.112 0.008
54020.37258 16.205 0.007
54025.32801 16.567 0.006
54029.31922 16.93 0.008
54038.33992 17.422 0.009
54040.29174 17.494 0.012
54042.28892 17.574 0.01
54049.30913 17.839 0.011
54068.2856 18.534 0.016
54076.23046 18.8 0.018
54085.19623 19.154 0.019
54091.26308 19.374 0.022
54096.18247 19.555 0.018
54099.16328 19.668 0.034
54104.2437 19.789 0.067
54108.20787 19.996 0.04
54119.1474 20.307 0.039
54121.14554 20.322 0.035
54125.1025 20.459 0.047
54131.17299 20.652 0.082
54133.12152 20.568 0.111
54136.14716 20.637 0.08
54143.08069 20.938 0.068
filter iCSP9844
54013.30649 16.401 0.007
54017.35022 16.322 0.018
54018.34435 16.356 0.011
54020.37258 16.355 0.009
54025.32801 16.533 0.008
54029.31922 16.919 0.009
54038.33992 17.481 0.01
54040.29174 17.585 0.015
54042.28892 17.667 0.014
54049.30913 17.967 0.014
54068.2856 18.685 0.018
54076.23046 18.91 0.026
54085.19623 19.193 0.024
54091.26308 19.417 0.032
54096.18247 19.51 0.03
54099.16328 19.615 0.043
54104.2437 19.7 0.071
54108.20787 19.842 0.042
54119.1474 20.066 0.057
54121.14554 20.208 0.065
54125.1025 20.201 0.052
54131.17299 20.399 0.074
54133.12152 20.278 0.103
54136.14716 20.448 0.086
54143.08069 20.551 0.063
