SN2006kf 0.020799 55.4602916666667 8.15693888888889
filter BCSP9844
54036.30016 17.07 0.007
54038.26588 16.901 0.007
54039.23876 16.839 0.007
54042.22302 16.825 0.009
54048.26265 17.262 0.009
54052.26575 17.819 0.009
54056.20111 18.412 0.01
54060.17436 18.914 0.014
54065.20214 19.416 0.023
54068.20135 19.602 0.041
54069.19648 19.619 0.035
54075.19124 19.77 0.092
54080.20086 20.115 0.054
54084.13564 20.155 0.039
54087.15745 20.233 0.038
54091.17336 20.194 0.04
54096.11748 20.311 0.072
54102.12904 20.223 0.15
54119.09634 20.868 0.049
54127.1274 21.136 0.176
filter VCSP9844
54036.30016 16.931 0.007
54038.26588 16.734 0.007
54039.23876 16.685 0.007
54042.22302 16.624 0.009
54048.26265 16.796 0.007
54052.26575 17.08 0.007
54056.20111 17.413 0.008
54060.17436 17.721 0.009
54065.20214 18.175 0.012
54068.20135 18.401 0.017
54069.19648 18.491 0.017
54075.19124 18.775 0.033
54080.20086 18.919 0.023
54084.13564 19.019 0.017
54087.15745 19.133 0.017
54091.17336 19.248 0.022
54096.11748 19.378 0.032
54102.12904 19.553 0.098
54119.09634 19.982 0.028
54127.1274 20.254 0.06
filter rCSP9844
54036.30016 16.769 0.007
54038.26588 16.596 0.007
54039.23876 16.555 0.006
54042.22302 16.499 0.007
54048.26265 16.751 0.006
54052.26575 17.02 0.008
54056.20111 17.154 0.006
54060.17436 17.294 0.009
54065.20214 17.689 0.01
54068.20135 17.966 0.011
54069.19648 18.046 0.012
54075.19124 18.36 0.015
54080.20086 18.582 0.016
54084.13564 18.741 0.014
54087.15745 18.841 0.013
54091.17336 18.992 0.018
54096.11748 19.146 0.026
54102.12904 19.403 0.072
54119.09634 19.945 0.026
54123.15767 20.09 0.04
54127.1274 20.378 0.067
filter iCSP9844
54036.30016 16.88 0.007
54038.26588 16.788 0.009
54039.23876 16.811 0.008
54042.22302 16.92 0.009
54048.26265 17.323 0.009
54052.26575 17.564 0.009
54056.20111 17.444 0.009
54060.17436 17.394 0.01
54065.20214 17.574 0.013
54068.20135 17.861 0.013
54069.19648 17.964 0.012
54075.19124 18.338 0.02
54080.20086 18.624 0.022
54084.13564 18.774 0.019
54087.15745 18.938 0.02
54091.17336 19.117 0.024
54096.11748 19.365 0.036
54102.12904 19.48 0.086
54119.09634 20.242 0.05
54127.1274 20.439 0.11
