SN2006ob 0.058254 27.9505 0.263416666666667
filter BCSP9844
54060.12911 18.408 0.012
54065.06558 18.377 0.013
54073.09504 19.101 0.052
54075.10564 19.425 0.046
54079.13473 20.036 0.038
54084.05179 20.586 0.084
54087.05476 21.012 0.05
54092.06575 21.225 0.063
54100.03799 21.462 0.272
54104.04623 21.464 0.242
54108.05758 21.804 0.11
54112.05912 21.901 0.104
54121.05617 22.213 0.23
filter VCSP9844
54060.12911 18.365 0.014
54065.06558 18.247 0.012
54073.09504 18.671 0.026
54075.10564 18.781 0.027
54079.13473 19.159 0.025
54084.05179 19.626 0.042
54087.05476 19.943 0.038
54092.06575 20.382 0.045
54100.03799 20.758 0.244
54104.04623 20.834 0.114
54108.05758 20.882 0.052
54112.05912 20.859 0.057
54121.05617 21.041 0.124
filter rCSP9844
54060.12911 18.382 0.013
54065.06558 18.224 0.011
54073.09504 18.592 0.024
54075.10564 18.753 0.022
54079.13473 18.887 0.015
54084.05179 19.149 0.025
54087.05476 19.419 0.024
54092.06575 19.828 0.031
54100.03799 20.085 0.101
54104.04623 20.357 0.061
54108.05758 20.406 0.029
54112.05912 20.515 0.04
54121.05617 20.661 0.063
filter iCSP9844
54060.12911 18.617 0.018
54065.06558 18.632 0.021
54073.09504 19.174 0.038
54075.10564 19.328 0.033
54079.13473 19.155 0.031
54084.05179 19.133 0.04
54087.05476 19.276 0.028
54092.06575 19.709 0.041
54100.03799 20.163 0.136
54104.04623 20.362 0.081
54108.05758 20.609 0.062
54112.05912 20.666 0.09
54121.05617 20.846 0.117
