SN2006ot 0.052155 33.7702083333333 -20.7662
filter BCSP9844
54065.15843 18.12 0.017
54066.20581 18.147 0.012
54069.065 18.265 0.018
54071.12508 18.432 0.019
54073.1353 18.563 0.029
54075.162 18.765 0.03
54079.17918 19.108 0.025
54084.08135 19.591 0.027
54091.13045 20.238 0.049
54096.03434 20.503 0.077
54099.06512 20.766 0.14
54106.07242 20.852 0.08
54112.15036 20.963 0.077
54119.05341 21.026 0.051
54123.0716 20.952 0.063
54127.06969 21.066 0.085
54131.10441 21.056 0.19
filter VCSP9844
54065.15843 17.884 0.014
54066.20581 17.921 0.013
54069.065 18.001 0.015
54071.12508 18.078 0.016
54073.1353 18.15 0.017
54075.162 18.244 0.017
54079.17918 18.458 0.017
54084.08135 18.739 0.023
54091.13045 19.26 0.025
54096.03434 19.619 0.048
54099.06512 19.675 0.056
54106.07242 19.993 0.05
54112.15036 20.037 0.049
54119.05341 20.15 0.034
54123.0716 20.255 0.05
54127.06969 20.214 0.052
54131.10441 20.23 0.066
filter rCSP9844
54065.15843 17.938 0.013
54066.20581 17.895 0.012
54069.065 17.891 0.014
54071.12508 17.977 0.014
54073.1353 18.036 0.014
54075.162 18.082 0.015
54079.17918 18.276 0.013
54084.08135 18.42 0.017
54091.13045 18.717 0.02
54096.03434 18.979 0.022
54099.06512 19.11 0.029
54106.07242 19.348 0.028
54112.15036 19.48 0.03
54119.05341 19.625 0.025
54123.0716 19.705 0.025
54127.06969 19.78 0.032
filter iCSP9844
54065.15843 18.213 0.017
54066.20581 18.195 0.016
54069.065 18.155 0.017
54071.12508 18.272 0.021
54073.1353 18.291 0.021
54075.162 18.394 0.022
54079.17918 18.528 0.021
54084.08135 18.489 0.022
54091.13045 18.639 0.023
54096.03434 18.774 0.025
54099.06512 18.966 0.03
54106.07242 19.264 0.033
54112.15036 19.471 0.049
54119.05341 19.745 0.032
54123.0716 19.767 0.035
54127.06969 19.994 0.052
