SN2007S 0.015024 150.13 4.40728055555556
filter BCSP9844
54133.32905 16.829 0.015
54137.28674 16.178 0.006
54143.25065 15.895 0.009
54153.26082 16.269 0.004
54154.14111 16.339 0.007
54158.19082 16.676 0.008
54160.15667 16.87 0.009
54161.16072 16.985 0.01
54165.20584 17.375 0.012
54166.1478 17.45 0.037
54169.17458 17.707 0.011
54174.23082 18.071 0.013
54185.1745 18.686 0.017
54194.11392 18.858 0.032
54199.09091 18.931 0.019
54203.19049 19.028 0.016
54213.11163 19.14 0.018
54246.02938 19.445 0.08
filter VCSP9844
54133.32905 16.468 0.011
54137.28674 15.86 0.006
54143.25065 15.545 0.011
54153.26082 15.684 0.005
54154.14111 15.725 0.007
54158.19082 15.957 0.007
54160.15667 16.082 0.007
54161.16072 16.128 0.007
54165.20584 16.328 0.008
54166.1478 16.369 0.008
54169.17458 16.516 0.009
54174.23082 16.745 0.006
54185.1745 17.38 0.009
54194.11392 17.676 0.014
54199.09091 17.798 0.016
54203.19049 17.904 0.012
54213.11163 18.156 0.014
54246.02938 18.888 0.032
filter rCSP9844
54133.32905 16.327 0.01
54137.28674 15.726 0.006
54143.25065 15.364 0.012
54147.21734 15.334 0.004
54154.14111 15.581 0.007
54158.19082 15.846 0.008
54160.15667 15.945 0.005
54161.16072 15.98 0.006
54165.20584 16.052 0.008
54166.1478 16.063 0.005
54169.17458 16.107 0.007
54174.23082 16.2 0.006
54185.1745 16.82 0.009
54194.11392 17.183 0.008
54199.09091 17.342 0.012
54203.19049 17.46 0.009
54213.11163 17.758 0.01
54224.05379 18.095 0.016
54246.02938 18.719 0.026
filter iCSP9844
54133.32905 16.425 0.012
54137.28674 15.832 0.006
54143.25065 15.756 0.016
54147.21734 15.866 0.007
54154.14111 16.184 0.008
54158.19082 16.461 0.01
54160.15667 16.51 0.007
54161.16072 16.491 0.01
54165.20584 16.441 0.009
54166.1478 16.428 0.008
54169.17458 16.371 0.009
54174.23082 16.311 0.006
54185.1745 16.807 0.009
54194.11392 17.243 0.01
54199.09091 17.463 0.015
54203.19049 17.629 0.012
54213.11163 17.973 0.014
54224.05379 18.332 0.017
54246.02938 18.99 0.035
