SN2007as 0.017896 141.9 -80.1776
filter B
54181.18515 15.976 0.005
54182.20814 15.992 0.005
54185.11216 16.102 0.006
54190.18526 16.478 0.007
54194.05655 16.925 0.009
54197.07994 17.319 0.009
54203.23173 17.994 0.011
54207.06782 18.353 0.012
54213.02164 18.794 0.02
54218.09402 19.011 0.04
54223.96733 19.144 0.044
54227.08494 19.194 0.04
54229.03393 19.232 0.023
54231.06766 19.189 0.02
54235.98684 19.323 0.032
54239.00711 19.341 0.022
54243.04277 19.411 0.032
54245.01582 19.409 0.04
54258.97921 19.602 0.034
filter V
54181.18515 15.823 0.006
54182.20814 15.804 0.007
54185.11216 15.833 0.006
54190.18526 16.049 0.006
54194.05655 16.325 0.007
54197.07994 16.52 0.007
54203.23173 16.855 0.007
54207.06782 17.124 0.009
54213.02164 17.587 0.009
54218.09402 17.839 0.013
54223.96733 18.013 0.016
54227.08494 18.125 0.015
54229.03393 18.206 0.013
54231.06766 18.244 0.016
54235.98684 18.414 0.026
54239.00711 18.464 0.013
54243.04277 18.614 0.021
54245.01582 18.64 0.017
54258.97921 18.958 0.019
filter r
54181.18515 16.037 0.009
54182.20814 16.021 0.01
54185.11216 16.043 0.008
54190.18526 16.378 0.008
54194.05655 16.689 0.009
54197.07994 16.789 0.011
54203.23173 16.826 0.011
54207.06782 17.002 0.01
54213.02164 17.45 0.01
54218.09402 17.747 0.011
54223.96733 17.954 0.012
54227.08494 18.072 0.012
54229.03393 18.144 0.011
54231.06766 18.166 0.014
54235.98684 18.368 0.013
54239.00711 18.511 0.012
54243.04277 18.642 0.016
54245.01582 18.676 0.017
54258.97921 19.145 0.02
filter i
54181.18515 16.615 0.009
54182.20814 16.643 0.011
54185.11216 16.693 0.009
54190.18526 17.138 0.01
54194.05655 17.411 0.011
54197.07994 17.426 0.012
54203.23173 17.156 0.011
54207.06782 17.12 0.011
54213.02164 17.549 0.011
54218.09402 17.888 0.013
54223.96733 18.189 0.013
54227.08494 18.328 0.017
54229.03393 18.41 0.014
54231.06766 18.482 0.017
54235.98684 18.7 0.02
54239.00711 18.835 0.026
54243.04277 19.005 0.027
54245.01582 19.077 0.028
54258.97921 19.505 0.044
