SN2007bd 0.031939 127.889 -1.19943888888889
filter BCSP9844
54197.0233 17.739 0.01
54199.03381 17.231 0.009
54206.09745 16.653 0.02
54207.03751 16.665 0.007
54212.99226 16.958 0.007
54218.01312 17.408 0.01
54223.99077 18.159 0.015
54227.04769 18.483 0.02
54234.98034 19.293 0.022
54238.97837 19.606 0.033
54244.97459 19.868 0.063
54258.94879 20.113 0.049
54418.29652 22.411 0.228
54422.30956 22.63 0.247
filter VCSP9844
54197.0233 17.717 0.01
54199.03381 17.254 0.01
54206.09745 16.648 0.011
54207.03751 16.636 0.012
54212.99226 16.807 0.007
54218.01312 17.108 0.009
54223.99077 17.478 0.01
54227.04769 17.65 0.01
54234.98034 18.283 0.012
54238.97837 18.611 0.02
54244.97459 18.858 0.03
54258.94879 19.322 0.028
54418.29652 22.114 0.231
54422.30956 22.334 0.242
filter rCSP9844
54197.0233 17.67 0.009
54199.03381 17.171 0.011
54206.09745 16.63 0.016
54207.03751 16.605 0.007
54212.99226 16.793 0.006
54218.01312 17.207 0.007
54223.99077 17.408 0.009
54227.04769 17.44 0.009
54234.98034 17.842 0.012
54238.97837 18.131 0.01
54244.97459 18.428 0.016
54258.94879 18.938 0.025
54418.29652 22.82 0.335
54422.30956 22.553 0.237
filter iCSP9844
54197.0233 17.792 0.015
54199.03381 17.382 0.017
54206.09745 17.219 0.047
54207.03751 17.257 0.014
54212.99226 17.479 0.011
54218.01312 18.028 0.018
54223.99077 18.021 0.016
54227.04769 17.85 0.015
54234.98034 17.926 0.015
54238.97837 18.203 0.021
54244.97459 18.572 0.025
54258.94879 19.262 0.046
54418.29652 21.472 0.234
54422.30956 21.626 0.222
