SN2007ca 0.01507 202.774 -15.1018
filter B
54218.16877 16.867 0.008
54224.20178 16.214 0.011
54227.21575 16.162 0.007
54229.17624 16.191 0.006
54231.22935 16.272 0.007
54232.18573 16.316 0.006
54235.15065 16.469 0.009
54239.1558 16.772 0.007
54243.188 17.174 0.008
54246.13015 17.443 0.01
54255.18582 18.34 0.022
54259.1089 18.604 0.023
filter V
54218.16877 16.603 0.008
54224.20178 15.916 0.007
54227.21575 15.847 0.007
54229.17624 15.857 0.006
54231.22935 15.882 0.006
54232.18573 15.911 0.006
54235.15065 16.023 0.009
54239.1558 16.218 0.006
54243.188 16.45 0.006
54246.13015 16.595 0.008
54255.18582 17.09 0.008
54259.1089 17.316 0.01
filter r
54218.16877 16.448 0.006
54224.20178 15.834 0.009
54227.21575 15.746 0.005
54229.17624 15.739 0.004
54231.22935 15.786 0.004
54232.18573 15.807 0.004
54235.15065 15.942 0.007
54239.1558 16.219 0.006
54243.188 16.462 0.005
54246.13015 16.532 0.005
54255.18582 16.681 0.006
54259.1089 16.825 0.006
filter i
54218.16877 16.511 0.006
54224.20178 16.082 0.014
54227.21575 16.133 0.006
54229.17624 16.215 0.005
54231.22935 16.294 0.007
54232.18573 16.325 0.006
54235.15065 16.482 0.01
54239.1558 16.845 0.009
54243.188 17.047 0.007
54246.13015 17.025 0.009
54255.18582 16.808 0.008
54259.1089 16.816 0.009
