SN2007jg 0.036577 52.4617916666667 0.0568333333333333
filter B
54363.30672 17.728 0.009
54364.33985 17.675 0.009
54365.36091 17.651 0.009
54368.32957 17.684 0.016
54376.29012 18.261 0.011
54378.35722 18.503 0.014
54380.34182 18.781 0.019
54383.26442 19.104 0.018
54385.3508 19.366 0.022
54392.33038 19.955 0.029
54394.26627 20.075 0.037
54395.31087 20.137 0.271
54397.24264 20.239 0.097
54403.32169 20.539 0.108
54411.24089 20.885 0.064
54413.23576 20.891 0.074
54417.23275 20.954 0.065
54421.19161 20.985 0.064
54423.17377 20.84 0.104
54425.20951 20.914 0.17
filter V
54363.30672 17.631 0.009
54364.33985 17.583 0.008
54365.36091 17.544 0.008
54368.32957 17.511 0.014
54376.29012 17.814 0.008
54378.35722 17.962 0.01
54380.34182 18.11 0.011
54383.26442 18.311 0.012
54385.3508 18.403 0.012
54392.33038 18.825 0.017
54394.26627 18.982 0.018
54395.31087 19.088 0.09
54397.24264 19.125 0.031
54403.32169 19.534 0.044
54411.24089 19.91 0.028
54413.23576 19.852 0.037
54417.23275 20.004 0.033
54421.19161 20.18 0.036
54423.17377 20.105 0.063
54425.20951 20.028 0.089
filter r
54363.30672 17.624 0.014
54364.33985 17.56 0.01
54365.36091 17.499 0.01
54368.32957 17.449 0.014
54376.29012 17.816 0.009
54378.35722 17.984 0.014
54380.34182 18.095 0.016
54383.26442 18.221 0.015
54385.3508 18.254 0.016
54392.33038 18.37 0.017
54394.26627 18.497 0.017
54395.31087 18.527 0.031
54397.24264 18.679 0.02
54403.32169 19.108 0.025
54411.24089 19.493 0.033
54413.23576 19.682 0.047
54417.23275 19.738 0.042
54421.19161 19.877 0.046
54423.17377 19.865 0.048
54425.20951 19.915 0.071
filter i
54363.30672 17.988 0.019
54364.33985 18.014 0.022
54365.36091 18.03 0.018
54368.32957 18.12 0.025
54376.29012 18.687 0.028
54378.35722 18.816 0.036
54380.34182 18.904 0.038
54383.26442 18.898 0.04
54385.3508 18.921 0.043
54392.33038 18.647 0.032
54394.26627 18.644 0.032
54397.24264 18.758 0.028
54403.32169 19.297 0.043
54411.24089 19.772 0.059
54417.23275 20.005 0.079
54421.19161 20.312 0.108
54423.17377 20.459 0.123
54425.20951 20.664 0.172
