SN2008R 0.012887 45.9737916666667 -11.9943
filter BCSP9844
54493.1176 15.559 0.006
54494.07097 15.531 0.007
54497.08145 15.653 0.006
54499.06953 15.842 0.006
54508.0644 17.185 0.009
54512.04042 17.686 0.014
54517.06542 18.118 0.028
54519.04794 18.258 0.017
54521.02312 18.359 0.014
54523.00785 18.47 0.013
54527.00207 18.6 0.016
filter VCSP9844
54493.1176 15.447 0.006
54494.07097 15.41 0.009
54497.08145 15.383 0.006
54499.06953 15.436 0.006
54508.0644 16.148 0.007
54512.04042 16.491 0.008
54517.06542 16.997 0.011
54519.04794 17.139 0.01
54521.02312 17.265 0.009
54523.00785 17.374 0.009
54527.00207 17.533 0.011
54532.0134 17.719 0.011
filter rCSP9844
54493.1176 15.384 0.006
54494.07097 15.349 0.007
54497.08145 15.31 0.006
54499.06953 15.381 0.004
54508.0644 15.892 0.005
54512.04042 16.09 0.005
54515.06499 16.366 0.008
54519.04794 16.753 0.008
54521.02312 16.898 0.006
54523.00785 17.013 0.008
54527.00207 17.219 0.009
54532.0134 17.406 0.008
filter iCSP9844
54493.1176 15.706 0.007
54494.07097 15.724 0.011
54497.08145 15.773 0.007
54499.06953 15.871 0.006
54508.0644 16.122 0.007
54512.04042 16.124 0.006
54515.06499 16.304 0.011
54519.04794 16.691 0.009
54521.02312 16.852 0.008
54523.00785 17.001 0.008
54527.00207 17.207 0.01
54532.0134 17.47 0.011
