SN2008bq 0.034436 100.26 -38.0386
filter BCSP9844
54561.97557 17.028 0.007
54566.00806 17.123 0.01
54567.9727 17.186 0.009
54568.9938 17.247 0.009
54569.97779 17.293 0.008
54571.96904 17.429 0.009
54572.99145 17.504 0.009
54573.96351 17.591 0.011
54574.99168 17.718 0.012
54575.9655 17.81 0.013
54579.97782 18.249 0.011
54588.99494 19.137 0.017
54590.95522 19.288 0.018
54594.96523 19.579 0.024
54598.96595 19.845 0.035
54605.95005 20.173 0.189
filter VCSP9844
54561.97557 16.939 0.006
54566.00806 16.954 0.009
54567.9727 16.992 0.008
54568.9938 17.013 0.007
54569.97779 17.046 0.008
54571.96904 17.129 0.008
54572.99145 17.171 0.008
54573.96351 17.219 0.012
54574.99168 17.275 0.011
54575.9655 17.344 0.009
54579.97782 17.597 0.009
54588.99494 18.094 0.01
54590.95522 18.196 0.013
54594.96523 18.437 0.012
54598.96595 18.705 0.016
54605.95005 19.027 0.031
filter rCSP9844
54561.97557 16.875 0.006
54566.00806 16.821 0.01
54567.9727 16.866 0.008
54568.9938 16.903 0.007
54569.97779 16.943 0.007
54571.96904 17.023 0.008
54572.99145 17.089 0.007
54573.96351 17.143 0.009
54574.99168 17.206 0.009
54575.9655 17.277 0.008
54579.97782 17.453 0.009
54588.99494 17.634 0.008
54590.95522 17.706 0.011
54594.96523 17.892 0.009
54598.96595 18.185 0.01
54605.95005 18.529 0.02
filter iCSP9844
54561.97557 17.391 0.009
54566.00806 17.478 0.014
54567.9727 17.516 0.011
54568.9938 17.554 0.012
54569.97779 17.582 0.01
54571.96904 17.698 0.011
54572.99145 17.769 0.011
54573.96351 17.874 0.016
54574.99168 17.947 0.013
54575.9655 17.998 0.013
54579.97782 18.094 0.014
54588.99494 17.938 0.01
54590.95522 17.942 0.017
54594.96523 17.947 0.011
54598.96595 18.212 0.013
54605.95005 18.677 0.023
