SN2008hv 0.013581 136.892 3.39225
filter BCSP9844
54806.28192 16.492 0.007
54808.29569 15.769 0.005
54809.28356 15.53 0.005
54810.28794 15.342 0.006
54813.28424 15.006 0.006
54817.26045 14.909 0.006
54818.25787 14.938 0.006
54827.24825 15.585 0.004
54830.22596 15.963 0.006
54831.26196 16.1 0.005
54834.32137 16.496 0.006
54837.29765 16.847 0.007
54838.29123 16.956 0.008
54839.18042 17.071 0.007
54840.23017 17.165 0.01
54841.23294 17.293 0.012
54842.34796 17.387 0.011
54844.27229 17.526 0.017
54856.24627 18.036 0.011
54867.20131 18.272 0.011
54870.16538 18.316 0.022
54874.12874 18.381 0.018
54878.13951 18.454 0.013
54884.16258 18.548 0.011
54895.07915 18.707 0.01
filter VCSP9844
54806.28192 16.327 0.006
54808.29569 15.691 0.005
54809.28356 15.465 0.006
54810.28794 15.296 0.005
54813.28424 14.959 0.005
54817.26045 14.822 0.006
54818.25787 14.826 0.007
54827.24825 15.25 0.004
54830.22596 15.454 0.007
54831.26196 15.508 0.005
54834.32137 15.702 0.006
54837.29765 15.894 0.006
54838.29123 15.945 0.007
54839.18042 16.043 0.007
54840.23017 16.122 0.007
54841.23294 16.203 0.009
54842.34796 16.303 0.006
54844.27229 16.458 0.009
54856.24627 17.047 0.011
54867.20131 17.355 0.01
54870.16538 17.469 0.009
54874.12874 17.579 0.012
54878.13951 17.67 0.011
54884.16258 17.804 0.011
54895.07915 18.127 0.008
filter rCSP9844
54806.28192 16.379 0.009
54808.29569 15.728 0.004
54809.28356 15.494 0.008
54810.28794 15.295 0.007
54813.28424 15.012 0.005
54817.26045 14.87 0.007
54818.25787 14.861 0.007
54827.24825 15.44 0.004
54830.22596 15.602 0.009
54831.26196 15.631 0.007
54834.32137 15.683 0.008
54837.29765 15.729 0.004
54838.29123 15.742 0.008
54839.18042 15.798 0.006
54840.23017 15.859 0.007
54841.23294 15.924 0.008
54842.34796 16.014 0.005
54844.27229 16.162 0.008
54856.24627 16.826 0.01
54867.20131 17.239 0.008
54870.16538 17.353 0.01
54874.12874 17.466 0.009
54878.13951 17.601 0.014
54884.16258 17.783 0.017
54895.07915 18.18 0.01
filter iCSP9844
54806.28192 16.705 0.009
54808.29569 15.984 0.006
54809.28356 15.739 0.01
54810.28794 15.558 0.009
54813.28424 15.394 0.006
54817.26045 15.531 0.009
54818.25787 15.54 0.008
54827.24825 16.248 0.007
54830.22596 16.325 0.009
54831.26196 16.305 0.009
54834.32137 16.211 0.009
54837.29765 16.11 0.006
54838.29123 16.054 0.01
54839.18042 16.053 0.008
54840.23017 16.05 0.009
54841.23294 16.076 0.009
54842.34796 16.131 0.006
54844.27229 16.265 0.009
54856.24627 17.05 0.013
54867.20131 17.52 0.015
54870.16538 17.656 0.015
54874.12874 17.816 0.015
54878.13951 17.966 0.022
54884.16258 18.152 0.024
54895.07915 18.57 0.017
