SN2008ia 0.022597 132.646 -61.2779
filter B
54809.25527 16.828 0.008
54810.33148 16.749 0.009
54813.20101 16.737 0.009
54818.22786 16.936 0.009
54821.27591 17.195 0.009
54830.19575 18.315 0.013
54831.23247 18.419 0.015
54834.23865 18.705 0.021
54838.26162 19.123 0.024
54839.20517 19.21 0.03
54840.20037 19.313 0.035
54841.16817 19.394 0.044
54845.35624 19.849 0.069
54855.31562 19.962 0.044
54856.21615 19.924 0.047
filter V
54809.25527 16.645 0.009
54810.33148 16.572 0.009
54813.20101 16.502 0.009
54818.22786 16.616 0.009
54821.27591 16.764 0.009
54830.19575 17.372 0.011
54831.23247 17.433 0.01
54834.23865 17.599 0.012
54838.26162 17.952 0.016
54839.20517 18.037 0.013
54840.20037 18.098 0.014
54841.16817 18.208 0.017
54845.35624 18.475 0.02
54855.31562 18.848 0.028
54856.21615 18.875 0.023
filter r
54809.25527 16.542 0.009
54810.33148 16.511 0.009
54813.20101 16.402 0.007
54818.22786 16.52 0.009
54821.27591 16.824 0.021
54830.19575 17.186 0.009
54831.23247 17.205 0.01
54834.23865 17.256 0.009
54838.26162 17.595 0.029
54839.20517 17.576 0.012
54840.20037 17.66 0.011
54841.16817 17.721 0.014
54845.35624 17.991 0.016
54855.31562 18.471 0.019
54856.21615 18.462 0.018
filter i
54809.25527 16.824 0.01
54810.33148 16.831 0.01
54813.20101 16.915 0.009
54818.22786 17.094 0.012
54821.27591 17.387 0.021
54830.19575 17.519 0.018
54831.23247 17.532 0.013
54834.23865 17.444 0.017
54838.26162 17.441 0.018
54839.20517 17.536 0.012
54840.20037 17.61 0.017
54841.16817 17.74 0.017
54845.35624 18.194 0.058
54855.31562 18.632 0.03
54856.21615 18.5 0.042
