SN2009F 0.012909 74.8482083333333 -11.1306
filter BCSP9844
54840.06633 17.424 0.01
54841.08729 17.393 0.012
54842.05295 17.383 0.01
54845.15937 17.62 0.011
54848.15548 18.143 0.012
54855.18221 19.192 0.025
54856.14877 19.292 0.022
54859.16371 19.511 0.033
54867.13284 19.739 0.065
54870.10723 19.978 0.089
54871.13354 19.928 0.099
54873.07786 19.978 0.054
54879.13118 20.159 0.042
54884.11327 20.381 0.057
filter VCSP9844
54840.06633 16.835 0.009
54841.08729 16.742 0.009
54842.05295 16.679 0.006
54845.15937 16.663 0.007
54848.15548 16.898 0.009
54855.18221 17.743 0.01
54856.14877 17.826 0.013
54859.16371 18.079 0.014
54867.13284 18.56 0.023
54870.10723 18.706 0.025
54871.13354 18.656 0.028
54872.13756 18.83 0.038
54873.07786 18.837 0.023
54879.13118 19.042 0.025
54884.11327 19.204 0.023
filter rCSP9844
54840.06633 16.786 0.007
54841.08729 16.663 0.007
54842.05295 16.508 0.044
54845.15937 16.439 0.006
54848.15548 16.562 0.008
54855.18221 17.248 0.008
54856.14877 17.306 0.009
54859.16371 17.618 0.009
54867.13284 18.169 0.013
54871.13354 18.448 0.023
54873.07786 18.524 0.015
54879.13118 18.91 0.019
54884.11327 19.149 0.022
filter iCSP9844
54840.06633 16.812 0.007
54841.08729 16.698 0.009
54842.05295 16.607 0.007
54845.15937 16.481 0.006
54848.15548 16.56 0.009
54855.18221 17.003 0.009
54856.14877 17.131 0.013
54859.16371 17.463 0.011
54867.13284 18.007 0.015
54871.13354 18.273 0.022
54873.07786 18.393 0.017
54879.13118 18.663 0.021
54884.11327 18.898 0.025
