SN2004dt 0.018812 30.5532083333333 0.0976388888888889
filter u
53249.26997 16.63 0.013
53250.29201 16.782 0.012
53251.31405 16.886 0.011
53252.34789 17.03 0.011
53253.26951 17.15 0.011
53256.22375 17.627 0.009
53257.21014 17.767 0.013
53258.24234 17.913 0.011
53259.25928 18.062 0.011
53260.28264 18.216 0.011
53261.19531 18.35 0.013
53262.19022 18.446 0.014
53263.24848 18.602 0.016
53264.22499 18.707 0.019
53265.26678 18.802 0.015
53266.21198 18.847 0.015
53267.22001 18.945 0.022
53268.22471 19.016 0.018
53271.27227 19.13 0.023
53272.25135 19.12 0.026
53273.2777 19.105 0.032
53274.19874 19.169 0.039
53275.21882 19.297 0.061
53276.22678 19.114 0.058
53277.16295 19.32 0.095
53279.18153 19.272 0.044
53280.19347 19.321 0.031
53281.20693 19.302 0.028
53282.17868 19.39 0.026
53287.16703 19.433 0.021
53289.23863 19.446 0.019
53291.1723 19.479 0.021
53293.20307 19.52 0.032
53294.26838 19.584 0.026
53295.22655 19.517 0.027
53299.16248 19.64 0.027
53305.24398 19.761 0.081
53323.2136 20.004 0.16
53324.16089 20.078 0.039
53329.16508 20.172 0.053
53331.09552 20.194 0.078
53341.07471 20.406 0.043
53345.10192 20.531 0.049
53349.07786 20.68 0.059
filter B
53249.26997 15.769 0.006
53250.29201 15.848 0.008
53251.31405 15.949 0.009
53252.34789 16.047 0.006
53253.26951 16.151 0.013
53256.22375 16.568 0.006
53257.21014 16.705 0.008
53258.24234 16.854 0.007
53259.25928 16.998 0.006
53260.28264 17.132 0.008
53261.19531 17.226 0.013
53262.19022 17.383 0.009
53263.24848 17.513 0.014
53264.22499 17.607 0.015
53265.26678 17.707 0.014
53266.21198 17.797 0.009
53267.22001 17.859 0.012
53268.22471 17.901 0.009
53269.17606 17.955 0.017
53270.18012 17.997 0.011
53271.27227 18.035 0.011
53272.25135 18.071 0.012
53273.2777 18.11 0.012
53274.19874 18.124 0.016
53275.21882 18.144 0.022
53276.22678 18.163 0.026
53277.16295 18.174 0.031
53279.18153 18.204 0.019
53280.19347 18.206 0.016
53281.20693 18.264 0.016
53284.30732 18.304 0.013
53287.16703 18.321 0.009
53289.23863 18.349 0.01
53291.1723 18.361 0.01
53293.20307 18.347 0.026
53294.26838 18.427 0.01
53295.22655 18.43 0.01
53299.16248 18.471 0.012
53324.16089 18.773 0.01
53329.16508 18.845 0.015
53331.09552 18.87 0.02
53341.07471 19.023 0.013
53345.10192 19.115 0.014
53349.07786 19.141 0.012
53365.09524 19.434 0.035
filter V
53249.26997 15.576 0.006
53250.29201 15.629 0.009
53251.31405 15.672 0.009
53252.34789 15.719 0.005
53253.26951 15.774 0.005
53256.22375 15.96 0.01
53257.21014 16.016 0.009
53258.24234 16.08 0.008
53259.25928 16.159 0.005
53260.28264 16.239 0.008
53261.19531 16.315 0.011
53262.19022 16.402 0.01
53263.24848 16.524 0.013
53264.22499 16.59 0.013
53265.26678 16.664 0.009
53266.21198 16.742 0.007
53267.22001 16.805 0.008
53268.22471 16.851 0.007
53269.17606 16.928 0.007
53270.18012 16.955 0.006
53271.27227 16.997 0.007
53272.25135 17.03 0.008
53273.2777 17.062 0.009
53274.19874 17.074 0.009
53275.21882 17.119 0.009
53276.22678 17.139 0.009
53277.16295 17.157 0.016
53279.18153 17.216 0.011
53280.19347 17.252 0.012
53281.20693 17.273 0.011
53284.30732 17.321 0.043
53287.16703 17.412 0.008
53289.23863 17.452 0.009
53291.1723 17.505 0.008
53293.20307 17.527 0.009
53294.26838 17.564 0.007
53295.22655 17.579 0.011
53299.16248 17.679 0.011
53324.16089 18.202 0.009
53329.16508 18.299 0.014
53331.09552 18.33 0.015
53341.07471 18.56 0.012
53345.10192 18.641 0.011
53349.07786 18.724 0.013
53365.09524 19.07 0.023
filter g
53249.26997 15.593 0.004
53250.29201 15.661 0.008
53251.31405 15.768 0.008
53252.34789 15.835 0.005
53253.26951 15.91 0.004
53256.22375 16.237 0.005
53257.21014 16.355 0.008
53258.24234 16.487 0.005
53259.25928 16.622 0.004
53260.28264 16.732 0.008
53261.19531 16.847 0.008
53262.19022 16.966 0.011
53263.24848 17.077 0.012
53264.22499 17.206 0.01
53265.26678 17.315 0.008
53266.21198 17.378 0.005
53267.22001 17.452 0.008
53268.22471 17.497 0.009
53271.27227 17.642 0.008
