SN2004eo 0.014734 308.226 9.92853055555556
filter u
53266.00009 18.515 0.017
53266.99341 17.889 0.019
53267.99226 17.381 0.017
53270.99156 16.499 0.019
53271.99631 16.339 0.019
53273.00831 16.207 0.019
53273.98781 16.126 0.02
53274.98553 16.128 0.019
53276.05834 16.086 0.021
53276.98285 16.077 0.019
53277.98707 16.093 0.017
53278.99536 16.124 0.017
53279.98635 16.212 0.017
53280.98502 16.307 0.017
53281.99108 16.418 0.017
53287.04681 17.102 0.017
53288.0403 17.281 0.017
53289.05924 17.438 0.017
53290.04845 17.615 0.018
53291.03176 17.767 0.017
53292.03583 17.96 0.017
53293.99236 18.285 0.018
53294.98372 18.395 0.018
53298.01036 18.772 0.022
53299.99014 18.998 0.055
53300.9911 19.016 0.038
53301.9906 19.074 0.045
53302.9977 19.134 0.042
53304.99323 19.344 0.047
53307.02942 19.397 0.075
53308.00086 19.46 0.028
53308.99351 19.531 0.028
53310.00069 19.6 0.031
53310.99852 19.632 0.028
53312.00025 19.66 0.028
53321.03175 20.056 0.084
filter B
53266.00009 17.574 0.017
53266.99341 17.117 0.017
53267.99226 16.736 0.017
53269.0416 16.456 0.017
53270.03686 16.203 0.008
53270.99156 16.018 0.017
53271.99631 15.857 0.017
53273.00831 15.742 0.017
53273.98781 15.657 0.017
53274.98553 15.583 0.017
53276.05834 15.538 0.019
53276.98285 15.501 0.017
53277.98707 15.489 0.017
53278.99536 15.491 0.017
53279.98635 15.517 0.017
53280.98502 15.557 0.017
53287.04681 16.075 0.017
53288.0403 16.19 0.017
53289.05924 16.314 0.017
53290.04845 16.447 0.017
53291.03176 16.583 0.017
53292.03583 16.716 0.017
53293.99236 16.983 0.017
53294.98372 17.104 0.017
53298.01036 17.456 0.017
53299.99014 17.642 0.017
53300.9911 17.71 0.017
53301.9906 17.802 0.017
53302.9977 17.919 0.017
53304.00034 17.952 0.036
53304.99323 18 0.028
53307.02942 18.166 0.033
53308.00086 18.215 0.017
53308.99351 18.281 0.017
53310.00069 18.332 0.017
53310.99852 18.372 0.017
53329.01678 18.879 0.035
53341.0224 19.001 0.038
filter V
53266.00009 17.298 0.016
53266.99341 16.917 0.016
53267.99226 16.613 0.016
53269.0416 16.331 0.017
53270.03686 16.115 0.016
53270.99156 15.94 0.016
53271.99631 15.784 0.016
53273.00831 15.67 0.017
53273.98781 15.578 0.016
53274.98553 15.505 0.017
53276.05834 15.452 0.017
53276.98285 15.404 0.016
53277.98707 15.375 0.016
53278.99536 15.366 0.016
53279.98635 15.362 0.016
53280.98502 15.367 0.016
53285.04721 15.471 0.019
53287.04681 15.566 0.017
53288.0403 15.632 0.017
53289.05924 15.695 0.016
53290.04845 15.773 0.016
53291.03176 15.853 0.016
53292.03583 15.931 0.016
53293.99236 16.073 0.017
53294.98372 16.155 0.016
53298.01036 16.356 0.016
53299.99014 16.492 0.016
53300.9911 16.554 0.017
53301.9906 16.616 0.016
53302.9977 16.683 0.016
53304.00034 16.835 0.034
53304.99323 16.829 0.017
53307.02942 16.985 0.017
53308.00086 17.059 0.016
53308.99351 17.125 0.016
53310.00069 17.196 0.016
53310.99852 17.25 0.016
53329.01678 17.856 0.016
53341.0224 18.104 0.025
filter g
53266.00009 17.405 0.016
53266.99341 16.99 0.016
53267.99226 16.63 0.016
53270.99156 15.904 0.016
53271.99631 15.758 0.017
53273.00831 15.637 0.017
53273.98781 15.551 0.016
53274.98553 15.498 0.018
53276.98285 15.392 0.016
53277.98707 15.352 0.017
53278.99536 15.341 0.016
53279.98635 15.385 0.016
53280.98502 15.406 0.016
53281.99108 15.406 0.016
53287.04681 15.773 0.016
53288.0403 15.855 0.016
53289.05924 15.969 0.016
53290.04845 16.065 0.016
53291.03176 16.178 0.016
53292.03583 16.291 0.016
53293.99236 16.532 0.016
53294.98372 16.638 0.017
53298.01036 16.955 0.016
53299.99014 17.142 0.017
53300.9911 17.233 0.017
53301.9906 17.343 0.017
53302.9977 17.401 0.017
53304.00034 17.49 0.017
53304.99323 17.573 0.017
53307.02942 17.668 0.017
53308.00086 17.773 0.016
53308.99351 17.828 0.017
53310.00069 17.874 0.016
53310.99852 17.917 0.017
53312.00025 17.979 0.016
53321.03175 18.248 0.016
53329.01678 18.333 0.019
53341.0224 18.601 0.027
filter r
53266.00009 17.198 0.016
53266.99341 16.826 0.016
53267.99226 16.517 0.016
53270.99156 15.844 0.016
53271.99631 15.707 0.016
53273.00831 15.592 0.016
53273.98781 15.509 0.016
53274.98553 15.448 0.017
53276.05834 15.391 0.016
53276.98285 15.372 0.016
53277.98707 15.344 0.016
53278.99536 15.323 0.016
53279.98635 15.316 0.016
53280.98502 15.319 0.016
53281.99108 15.321 0.016
53287.04681 15.552 0.016
53288.0403 15.613 0.016
53289.05924 15.684 0.016
53290.04845 15.735 0.016
53291.03176 15.783 0.016
53292.03583 15.823 0.016
53293.99236 15.891 0.017
53294.98372 15.923 0.016
53298.01036 16.017 0.016
53299.99014 16.096 0.017
53300.9911 16.141 0.016
53301.9906 16.187 0.016
53302.9977 16.253 0.016
53304.00034 16.307 0.017
53304.99323 16.375 0.016
53307.02942 16.533 0.016
53308.00086 16.613 0.016
53308.99351 16.689 0.016
53310.00069 16.758 0.016
53310.99852 16.827 0.016
53312.00025 16.886 0.016
53321.03175 17.273 0.016
53329.01678 17.529 0.016
53341.0224 17.916 0.016
filter i
53266.00009 17.364 0.016
53266.99341 16.979 0.016
53267.99226 16.651 0.016
53270.99156 16.015 0.017
53271.99631 15.895 0.016
53273.00831 15.796 0.016
53273.98781 15.751 0.017
53274.98553 15.72 0.017
53276.05834 15.719 0.016
53276.98285 15.752 0.016
53277.98707 15.788 0.016
53278.99536 15.818 0.016
53279.98635 15.841 0.017
53280.98502 15.854 0.017
53281.99108 15.879 0.016
53287.04681 16.122 0.016
53288.0403 16.179 0.017
53289.05924 16.216 0.017
53290.04845 16.244 0.016
53291.03176 16.245 0.017
53292.03583 16.233 0.016
53293.99236 16.2 0.017
53294.98372 16.195 0.016
53298.01036 16.182 0.016
53299.99014 16.196 0.017
53300.9911 16.218 0.017
53301.9906 16.238 0.017
53302.9977 16.248 0.016
53304.00034 16.248 0.017
53304.99323 16.327 0.016
53307.02942 16.448 0.017
53308.00086 16.533 0.017
53308.99351 16.624 0.017
53310.00069 16.703 0.017
53310.99852 16.777 0.017
53312.00025 16.852 0.017
53321.03175 17.299 0.016
53329.01678 17.612 0.016
53341.0224 18.049 0.027
filter Y
53269.0416 16.459 0.018
53270.03686 16.21 0.017
53270.99156 16.058 0.006
53271.99631 15.962 0.006
53276.98285 15.957 0.007
53280.98502 16.276 0.006
53300.9911 15.843 0.005
53306.03432 15.704 0.008
filter J
53269.0416 16.056 0.007
53270.03686 15.912 0.028
53270.99156 15.757 0.018
53271.99631 15.654 0.013
53276.98285 15.584 0.005
53280.98502 15.857 0.013
53300.9911 16.669 0.012
53306.03432 16.473 0.012
53338.02057 18.951 0.154
filter H
53269.0416 16.123 0.044
53270.03686 16.041 0.021
53270.99156 15.909 0.009
53271.99631 15.796 0.027
53276.98285 15.837 0.018
53280.98502 16.048 0.029
53300.9911 15.897 0.012
