SN2004gu 0.046897 191.603 11.9489
filter uCSP3014
53361.32773 18.096 0.019
53362.35264 18.137 0.027
53363.3463 18.202 0.093
53365.33018 18.377 0.04
53372.33591 18.896 0.036
53373.33679 18.948 0.07
53377.3413 19.495 0.035
53381.32876 20.116 0.057
53384.31266 20.322 0.069
53386.3 20.593 0.056
53387.28529 20.481 0.076
53390.33487 20.898 0.098
53393.31457 21.258 0.117
53394.3034 21.016 0.183
filter BCSP3014
53361.32773 17.567 0.024
53363.3463 17.59 0.022
53365.33018 17.634 0.024
53369.34434 17.746 0.032
53372.33591 17.965 0.025
53373.33679 18.034 0.025
53376.34037 18.285 0.04
53380.33936 18.708 0.051
53381.32876 18.816 0.031
53384.31266 19.105 0.027
53385.34303 19.154 0.031
53386.3 19.343 0.027
53387.28529 19.388 0.028
53388.31181 19.518 0.031
53391.30773 19.755 0.033
53393.31457 19.803 0.045
53394.3034 19.962 0.049
53399.31991 20.224 0.079
53401.3125 20.255 0.086
53402.34741 20.419 0.043
53403.30038 20.527 0.051
53404.32008 20.416 0.04
53406.31678 20.595 0.038
53408.30175 20.549 0.038
53410.31676 20.712 0.038
filter VCSP3014
53357.3485 17.453 0.02
53361.32773 17.384 0.015
53363.3463 17.383 0.01
53365.33018 17.412 0.013
53369.34434 17.508 0.014
53373.33679 17.692 0.011
53376.34037 17.871 0.01
53380.33936 18.061 0.012
53381.32876 18.126 0.017
53384.31266 18.284 0.01
53385.34303 18.326 0.012
53386.3 18.389 0.012
53387.28529 18.456 0.013
53388.31181 18.481 0.013
53390.33487 18.585 0.016
53391.30773 18.671 0.015
53393.31457 18.762 0.018
53394.3034 18.774 0.02
53399.31991 19.074 0.025
53401.3125 19.202 0.035
53402.34741 19.234 0.018
53403.30038 19.332 0.018
53404.32008 19.388 0.018
53406.31678 19.451 0.016
53408.30175 19.507 0.016
53410.31676 19.505 0.02
filter gCSP3014
53357.3485 17.503 0.009
53361.32773 17.414 0.016
53362.35264 17.417 0.009
53365.33018 17.419 0.01
53369.34434 17.583 0.013
53372.33591 17.709 0.01
53373.33679 17.791 0.01
53376.34037 18.061 0.011
53377.3413 18.16 0.015
53380.33936 18.433 0.019
53381.32876 18.51 0.019
53384.31266 18.817 0.025
53386.3 18.997 0.025
53387.28529 19.108 0.028
53388.31181 19.155 0.027
53390.33487 19.314 0.031
53393.31457 19.497 0.026
53394.3034 19.643 0.049
53399.31991 19.693 0.032
53402.34741 20.002 0.025
53403.30038 20.045 0.027
53404.32008 19.954 0.02
53406.31678 20.191 0.035
53408.30175 20.185 0.029
53409.3542 20.159 0.024
53410.31676 20.349 0.039
filter rCSP3014
53357.3485 17.533 0.009
53361.32773 17.379 0.009
53362.35264 17.355 0.011
53363.3463 17.34 0.011
53365.33018 17.35 0.01
53369.34434 17.459 0.011
53372.33591 17.619 0.011
53373.33679 17.68 0.011
53376.34037 17.849 0.011
53377.3413 17.915 0.012
53380.33936 18.007 0.01
53381.32876 18.044 0.012
53384.31266 18.101 0.011
53385.34303 18.101 0.012
53386.3 18.148 0.011
53387.28529 18.142 0.01
53390.33487 18.19 0.014
53393.31457 18.306 0.012
53394.3034 18.329 0.015
53395.30855 18.373 0.017
53399.31991 18.589 0.018
53401.3125 18.691 0.018
53402.34741 18.726 0.016
53403.30038 18.815 0.012
53404.32008 18.893 0.022
53406.31678 18.946 0.02
53408.30175 18.999 0.017
53409.3542 19.026 0.024
53410.31676 19.087 0.013
filter iCSP3014
53357.3485 17.917 0.016
53361.32773 17.933 0.015
53362.35264 17.913 0.033
53363.3463 17.968 0.016
53365.33018 18.021 0.022
53369.34434 18.104 0.019
53372.33591 18.346 0.022
53373.33679 18.395 0.024
53376.34037 18.641 0.017
53377.3413 18.658 0.021
53380.33936 18.699 0.02
53381.32876 18.728 0.018
53384.31266 18.681 0.022
53385.34303 18.645 0.022
53386.3 18.65 0.018
53387.28529 18.598 0.017
53390.33487 18.503 0.019
53393.31457 18.447 0.018
53394.3034 18.49 0.02
53399.31991 18.614 0.033
53401.3125 18.772 0.028
53403.30038 18.906 0.021
53404.32008 19.097 0.039
53406.31678 19.174 0.035
53408.30175 19.168 0.021
53409.3542 19.334 0.037
53410.31676 19.247 0.022
filter YCSP3014
53374.36363 18.597 0.035
53378.35029 18.582 0.043
53386.3 18.206 0.016
53392.36659 17.962 0.037
53398.34658 17.681 0.024
53405.3803 17.905 0.037
53413.37773 18.393 0.037
53424.36844 18.918 0.034
filter JCSP3014
53374.36363 19.042 0.038
53378.35029 19.269 0.063
53386.3 19.269 0.053
53392.36659 19.107 0.039
53398.34658 18.584 0.03
53405.3803 18.916 0.037
53424.36844 20.232 0.112
filter HCSP3014
53378.35029 19.11 0.129
53386.3 18.465 0.032
53392.36659 18.118 0.038
53398.34658 18.366 0.032
53405.3803 18.772 0.051
53413.37773 18.844 0.105
53424.36844 19.482 0.113
