SN2005ag 0.08002 224.182 9.32846944444444
filter B
53412.31419 18.568 0.01
53413.31425 18.539 0.014
53414.35346 18.58 0.009
53415.34631 18.577 0.012
53416.34252 18.596 0.009
53417.337 18.638 0.011
53418.35192 18.705 0.011
53419.35082 18.758 0.011
53420.37684 18.725 0.036
53421.363 18.865 0.015
53422.30781 18.918 0.014
53424.30926 19.07 0.029
53425.29053 19.196 0.06
53426.34115 19.259 0.045
53427.3362 19.312 0.04
53428.35331 19.426 0.039
53429.32434 19.456 0.068
53430.35036 19.655 0.037
53431.37155 19.844 0.05
53432.3596 19.939 0.041
53436.30581 20.412 0.037
53444.34488 21.186 0.049
53445.3335 21.235 0.042
53446.34374 21.175 0.062
53452.27754 21.518 0.158
53453.23053 21.626 0.226
53454.27017 21.553 0.274
53456.31566 21.704 0.284
53457.29998 21.51 0.211
53458.29913 22.089 0.311
53459.32038 21.895 0.255
53460.25462 21.814 0.183
53464.3241 22.02 0.139
53465.32425 21.816 0.096
53466.33324 21.994 0.204
53467.30764 21.876 0.077
53468.27591 21.941 0.054
53472.33478 21.949 0.072
53474.26446 21.913 0.078
53475.3049 22.083 0.068
53477.22392 21.971 0.064
53478.30571 22.036 0.125
53479.31678 21.909 0.073
53480.33477 22.219 0.233
filter V
53412.31419 18.508 0.017
53413.31425 18.48 0.016
53414.35346 18.488 0.011
53415.34631 18.491 0.013
53416.34252 18.51 0.011
53417.337 18.514 0.013
53418.35192 18.526 0.013
53419.35082 18.568 0.013
53420.37684 18.6 0.033
53421.363 18.634 0.014
53422.30781 18.653 0.015
53424.30926 18.763 0.028
53425.29053 18.839 0.044
53426.34115 18.784 0.033
53427.3362 18.909 0.029
53428.35331 18.996 0.034
53429.32434 18.914 0.051
53430.35036 19.091 0.028
53431.37155 19.196 0.031
53432.3596 19.244 0.026
53436.30581 19.529 0.021
53444.34488 20.125 0.032
53445.3335 20.184 0.031
53446.34374 20.168 0.032
53452.27754 20.634 0.082
53453.23053 20.63 0.093
53455.32534 20.648 0.156
53456.31566 20.653 0.09
53457.29998 20.9 0.124
53458.29913 20.744 0.095
53459.32038 20.898 0.081
53460.25462 20.987 0.097
53464.3241 20.975 0.083
53465.32425 20.951 0.051
53466.33324 20.99 0.058
53467.30764 20.989 0.047
53468.27591 21.017 0.032
53472.33478 21.09 0.04
53474.26446 21.06 0.036
53475.3049 21.117 0.046
53477.22392 21.102 0.044
