SN2005al 0.013286 207.501 -30.5762
filter uCSP3014
53429.24553 15.629 0.01
53430.28633 15.634 0.007
53431.3124 15.684 0.007
53432.29869 15.737 0.009
53436.28381 16.082 0.007
53444.30596 17.172 0.014
53445.30799 17.333 0.015
53446.31602 17.488 0.015
53452.25518 18.323 0.026
53453.19335 18.376 0.026
53454.23798 18.429 0.034
53455.2798 18.559 0.043
53456.28346 18.636 0.037
53457.25736 18.687 0.033
53458.25329 18.767 0.026
53459.2828 18.854 0.024
53460.21603 18.903 0.022
53461.18788 18.921 0.023
53464.29258 19.118 0.02
53465.28974 19.101 0.019
53466.29789 19.174 0.022
53467.27454 19.176 0.02
53468.24052 19.223 0.016
53473.20022 19.361 0.018
53474.32696 19.342 0.027
53475.21155 19.383 0.017
53476.3056 19.395 0.021
53477.33839 19.389 0.026
53478.25943 19.492 0.025
53479.23318 19.468 0.027
53480.23751 19.465 0.028
53483.23172 19.595 0.066
53490.21504 19.684 0.029
53491.21922 19.727 0.032
53512.27496 20.031 0.189
filter BCSP3014
53429.24553 15.076 0.006
53430.28633 15.072 0.006
53431.3124 15.087 0.006
53432.29869 15.121 0.007
53436.28381 15.346 0.004
53444.30596 16.173 0.01
53445.30799 16.305 0.008
53446.31602 16.424 0.006
53452.25518 17.123 0.01
53453.19335 17.218 0.009
53454.23798 17.344 0.015
53455.2798 17.428 0.019
53456.28346 17.513 0.014
53457.25736 17.58 0.015
53458.25329 17.7 0.014
53459.2828 17.761 0.014
53460.21603 17.827 0.014
53461.18788 17.872 0.014
53464.29258 18.031 0.014
53465.28974 18.074 0.009
53466.29789 18.089 0.009
53467.27454 18.13 0.008
53468.24052 18.154 0.009
53473.20022 18.273 0.008
53474.32696 18.306 0.009
53475.21155 18.317 0.009
53476.3056 18.343 0.009
53477.33839 18.369 0.009
53478.25943 18.386 0.009
53479.23318 18.416 0.012
53480.23751 18.413 0.011
53483.23172 18.487 0.025
53490.21504 18.587 0.012
53491.21922 18.606 0.011
53512.27496 18.807 0.045
filter VCSP3014
53429.24553 15.089 0.006
53430.28633 15.076 0.007
53431.3124 15.077 0.007
53432.29869 15.086 0.007
53436.28381 15.223 0.004
53444.30596 15.742 0.008
53445.30799 15.816 0.008
53446.31602 15.866 0.007
53452.25518 16.222 0.009
53453.19335 16.294 0.009
53454.23798 16.373 0.009
53455.2798 16.492 0.011
