SN2005bg 0.024159 184.322 16.3716
filter uCSP3014
53472.14799 16.579 0.008
53473.13338 16.673 0.008
53474.12585 16.757 0.009
53475.16103 16.835 0.01
53476.15131 16.958 0.012
53477.16807 17.042 0.013
53478.19573 17.145 0.011
53480.17941 17.298 0.015
53481.13916 17.374 0.021
53483.15863 17.662 0.024
53489.12219 18.528 0.033
53490.13706 18.515 0.048
53491.10688 18.795 0.031
filter BCSP3014
53471.13923 15.986 0.005
53472.14799 16.018 0.006
53473.13338 16.053 0.006
53474.12585 16.1 0.006
53475.16103 16.151 0.006
53476.15131 16.198 0.008
53477.16807 16.265 0.007
53478.19573 16.335 0.007
53480.17941 16.497 0.008
53481.13916 16.575 0.008
53483.15863 16.792 0.008
53484.18339 16.894 0.012
53489.12219 17.433 0.009
53490.13706 17.585 0.009
53491.10688 17.641 0.014
53512.09042 18.932 0.035
filter VCSP3014
53471.13923 15.901 0.006
53472.14799 15.919 0.006
53473.13338 15.951 0.007
53474.12585 15.952 0.007
53475.16103 15.999 0.007
53476.15131 16.019 0.009
53477.16807 16.109 0.01
53478.19573 16.144 0.008
53480.17941 16.231 0.009
53481.13916 16.336 0.008
53483.15863 16.46 0.01
53484.18339 16.506 0.011
53489.12219 16.768 0.008
53490.13706 16.813 0.01
53491.10688 16.872 0.012
53512.09042 18.038 0.02
filter gCSP3014
53472.14799 15.938 0.005
53473.13338 15.962 0.006
53474.12585 16.022 0.006
53475.16103 16.076 0.007
53476.15131 16.083 0.01
53477.16807 16.091 0.009
53478.19573 16.244 0.009
53480.17941 16.324 0.008
53481.13916 16.396 0.007
53483.15863 16.567 0.009
53484.18339 16.643 0.022
53489.12219 17.123 0.008
53490.13706 17.214 0.009
53491.10688 17.248 0.012
53512.09042 18.774 0.027
filter rCSP3014
53472.14799 16.009 0.009
53473.13338 15.943 0.006
53474.12585 15.998 0.006
53475.16103 16.042 0.006
53476.15131 16.057 0.009
53477.16807 16.199 0.013
53478.19573 16.172 0.009
53480.17941 16.337 0.009
53481.13916 16.459 0.008
53483.15863 16.589 0.009
53484.18339 16.63 0.018
53489.12219 16.77 0.007
53490.13706 16.757 0.009
53491.10688 16.74 0.011
53512.09042 17.675 0.011
filter iCSP3014
53472.14799 16.695 0.013
53473.13338 16.69 0.011
53474.12585 16.757 0.013
53475.16103 16.797 0.012
53476.15131 16.798 0.015
53477.16807 16.939 0.015
53478.19573 17.03 0.014
53480.17941 17.118 0.013
53481.13916 17.3 0.015
53483.15863 17.437 0.016
53484.18339 17.484 0.023
53489.12219 17.487 0.017
53490.13706 17.365 0.015
53491.10688 17.3 0.016
53512.09042 17.881 0.016
