SN2005el 0.014885 77.953 5.19428055555556
filter u
53639.35715 16.156 0.006
53641.35794 15.837 0.006
53644.34709 15.677 0.007
53655.32469 16.579 0.008
53659.27732 17.159 0.014
53663.29794 17.863 0.021
53665.32207 18.185 0.018
53666.28081 18.298 0.017
53669.31177 18.639 0.018
53671.32078 18.814 0.018
53673.30714 18.955 0.021
53675.32776 19.025 0.028
53682.31219 19.31 0.049
53683.3022 19.333 0.034
53687.26951 19.459 0.05
53689.29744 19.393 0.078
53690.31944 19.547 0.136
53694.31434 19.648 0.057
53698.2601 19.709 0.038
53699.25381 19.737 0.037
53702.24843 19.746 0.034
53712.22774 20.104 0.041
53721.20316 20.159 0.128
53730.24008 20.381 0.076
filter B
53639.35715 15.869 0.006
53641.35794 15.573 0.006
53644.34709 15.322 0.006
53655.32469 15.779 0.006
53659.27732 16.256 0.007
53663.29794 16.782 0.005
53665.32207 17.043 0.009
53666.28081 17.148 0.009
53669.31177 17.521 0.009
53671.32078 17.718 0.009
53673.30714 17.865 0.009
53675.32776 17.985 0.012
53682.31219 18.307 0.02
53683.3022 18.355 0.011
53687.26951 18.451 0.024
53689.29744 18.486 0.032
53690.31944 18.569 0.042
53694.31434 18.611 0.027
53698.2601 18.681 0.022
53699.25381 18.696 0.018
53702.24843 18.798 0.018
53712.22774 18.921 0.02
53721.20316 19.086 0.056
53730.24008 19.213 0.025
filter V
53639.35715 15.822 0.006
53641.35794 15.518 0.004
53644.34709 15.277 0.006
53655.32469 15.533 0.006
53659.27732 15.836 0.005
53663.29794 16.098 0.005
53665.32207 16.224 0.006
53666.28081 16.283 0.006
53669.31177 16.528 0.004
53671.32078 16.682 0.005
53673.30714 16.83 0.008
53675.32776 17.001 0.01
53682.31219 17.344 0.017
53683.3022 17.396 0.008
53687.26951 17.526 0.013
53689.29744 17.578 0.016
53690.31944 17.612 0.017
53694.31434 17.744 0.016
53698.2601 17.857 0.01
53699.25381 17.869 0.011
53702.24843 17.957 0.011
53712.22774 18.25 0.013
53721.20316 18.475 0.03
53730.24008 18.755 0.019
filter g
53639.35715 15.771 0.009
53641.35794 15.454 0.004
53644.34709 15.198 0.009
53655.32469 15.575 0.005
53659.27732 15.943 0.004
53663.29794 16.368 0.006
53665.32207 16.602 0.006
53666.28081 16.718 0.006
53669.31177 17.074 0.004
53671.32078 17.272 0.006
53673.30714 17.438 0.007
53675.32776 17.57 0.009
53682.31219 17.88 0.016
53683.3022 17.919 0.009
53687.26951 18.031 0.012
53689.29744 18.084 0.016
53690.31944 18.104 0.028
53694.31434 18.193 0.014
53698.2601 18.266 0.011
53699.25381 18.289 0.01
53702.24843 18.339 0.01
