SN2005hc 0.044983 29.1997916666667 0.213722222222222
filter uCSP3014
53662.19344 18.029 0.033
53663.16912 17.891 0.018
53665.13905 17.906 0.013
53666.20376 17.9 0.016
53669.13616 18.041 0.014
53671.22008 18.22 0.016
53673.20068 18.378 0.017
53675.18432 18.565 0.018
53684.18272 19.608 0.044
53687.18621 20.172 0.11
53690.2038 20.227 0.221
filter BCSP3014
53662.19344 17.519 0.013
53663.16912 17.471 0.008
53665.13905 17.406 0.006
53666.20376 17.392 0.007
53669.13616 17.434 0.006
53671.22008 17.506 0.007
53673.20068 17.617 0.008
53675.18432 17.728 0.008
53682.22921 18.378 0.045
53684.18272 18.543 0.012
53687.18621 18.858 0.02
53690.2038 19.156 0.041
53695.2411 19.568 0.03
53699.13625 19.908 0.021
53703.17432 20.187 0.026
53713.03435 20.468 0.047
53722.12309 20.637 0.06
53726.11581 20.681 0.039
53730.13913 20.745 0.042
53737.07252 20.904 0.037
53739.11188 20.857 0.044
53740.09823 20.977 0.055
53746.0741 21.151 0.179
53751.10286 21.119 0.219
filter VCSP3014
53662.19344 17.547 0.011
53663.16912 17.5 0.009
53665.13905 17.415 0.007
53666.20376 17.396 0.008
53669.13616 17.394 0.007
53671.22008 17.413 0.007
53673.20068 17.453 0.01
53675.18432 17.527 0.01
53682.22921 17.916 0.016
53684.18272 18.003 0.011
53687.18621 18.16 0.013
53690.2038 18.37 0.021
53695.2411 18.641 0.015
53699.13625 18.875 0.015
53703.17432 19.127 0.016
53713.03435 19.575 0.022
53722.12309 19.791 0.03
53726.11581 19.876 0.023
53730.13913 20.01 0.023
53737.07252 20.126 0.029
53739.11188 20.186 0.031
53740.09823 20.127 0.034
53746.0741 20.296 0.065
53751.10286 20.432 0.098
53755.09073 20.515 0.063
filter gCSP3014
53662.19344 17.437 0.01
53663.16912 17.38 0.007
53665.13905 17.308 0.006
53666.20376 17.28 0.007
53669.13616 17.32 0.005
53671.22008 17.372 0.007
53673.20068 17.452 0.007
53675.18432 17.556 0.007
53682.22921 18.078 0.029
53684.18272 18.272 0.012
53687.18621 18.541 0.02
53690.2038 18.846 0.025
53695.2411 19.186 0.018
53699.13625 19.548 0.013
53703.17432 19.808 0.016
53713.03435 20.182 0.025
53730.13913 20.374 0.026
53737.07252 20.549 0.026
53739.11188 20.555 0.028
53740.09823 20.553 0.026
53746.0741 20.59 0.06
53751.10286 20.781 0.159
53755.09073 20.68 0.037
filter rCSP3014
53662.19344 17.57 0.01
53663.16912 17.512 0.009
53665.13905 17.419 0.008
53666.20376 17.389 0.007
53669.13616 17.367 0.006
53671.22008 17.374 0.007
53673.20068 17.439 0.009
53675.18432 17.514 0.008
53682.22921 17.872 0.019
53684.18272 17.975 0.011
53687.18621 18.044 0.015
53690.2038 18.075 0.015
53695.2411 18.22 0.011
53699.13625 18.371 0.01
53703.17432 18.62 0.012
53713.03435 19.115 0.014
53730.13913 19.582 0.019
53737.07252 19.819 0.019
53739.11188 19.859 0.02
53740.09823 19.835 0.025
53746.0741 19.988 0.032
53751.10286 20.231 0.086
53755.09073 20.295 0.03
filter iCSP3014
53662.19344 17.971 0.017
53663.16912 17.947 0.012
53665.13905 17.988 0.012
53666.20376 17.972 0.012
53669.13616 18.033 0.009
53671.22008 18.061 0.014
53673.20068 18.105 0.016
53675.18432 18.205 0.015
53682.22921 18.662 0.089
53684.18272 18.75 0.017
53687.18621 18.727 0.025
53690.2038 18.662 0.021
53695.2411 18.619 0.015
53699.13625 18.566 0.019
53703.17432 18.75 0.018
53713.03435 19.343 0.024
53722.12309 19.65 0.031
53726.11581 19.939 0.034
53730.13913 19.994 0.04
53737.07252 20.319 0.045
53739.11188 20.296 0.057
53740.09823 20.377 0.052
filter YCSP3014
53661.18965 17.793 0.037
53664.1395 17.883 0.034
53668.13498 18.116 0.036
53670.17324 18.233 0.05
53672.22662 18.4 0.078
53674.26351 18.471 0.06
53676.24161 18.516 0.085
53678.12312 18.479 0.084
53685.19595 18.392 0.049
53692.13786 18.177 0.044
53696.19674 18.057 0.038
53704.10644 17.809 0.035
53710.14365 18.158 0.071
filter JCSP3014
53661.18965 17.814 0.068
53664.1395 17.862 0.043
53668.13498 18.012 0.053
53670.17324 18.121 0.061
53672.22662 18.444 0.097
53674.26351 18.841 0.166
53685.19595 19.072 0.153
53692.13786 18.957 0.159
53696.19674 18.879 0.119
53704.10644 18.514 0.139
53710.14365 19.096 0.209
filter HCSP3014
53661.18965 17.785 0.116
53664.1395 18.051 0.117
53668.13498 18.027 0.102
53672.22662 18.555 0.264
53674.26351 18.615 0.205
53676.24161 18.521 0.267
53685.19595 18.48 0.189
53692.13786 18.389 0.21
53696.19674 18.056 0.142
