SN2005iq 0.032929 359.635 -18.7092
filter uCSP3014
53682.03732 17.379 0.016
53683.04882 17.288 0.014
53684.08633 17.248 0.015
53687.03535 17.309 0.019
53689.11806 17.434 0.02
53690.06398 17.541 0.021
53694.10385 18.028 0.021
53695.10682 18.095 0.02
53698.06705 18.518 0.03
53699.09681 18.751 0.032
53702.10265 19.163 0.042
53706.12631 19.658 0.063
53721.06836 20.74 0.195
53726.0874 20.639 0.171
53730.07961 21.112 0.208
53738.03101 21.618 0.253
filter BCSP3014
53682.03732 17.117 0.009
53683.04882 17.015 0.009
53684.08633 16.935 0.01
53687.03535 16.838 0.01
53689.11806 16.863 0.011
53690.06398 16.903 0.009
53694.10385 17.167 0.009
53695.10682 17.25 0.009
53698.06705 17.562 0.009
53699.09681 17.664 0.01
53702.10265 18.045 0.012
53706.12631 18.583 0.017
53716.10135 19.37 0.078
53721.06836 19.713 0.058
53726.0874 19.945 0.049
53730.07961 20.141 0.031
53738.03101 20.328 0.047
53746.03825 20.357 0.116
53755.03675 20.547 0.06
filter VCSP3014
53682.03732 17.175 0.009
53683.04882 17.08 0.011
53684.08633 17.003 0.01
53687.03535 16.876 0.006
53689.11806 16.859 0.012
53690.06398 16.864 0.01
53694.10385 17.011 0.009
53695.10682 17.07 0.009
53698.06705 17.263 0.009
53699.09681 17.33 0.009
53702.10265 17.537 0.011
53706.12631 17.806 0.011
53716.10135 18.517 0.027
53721.06836 18.851 0.033
53726.0874 19.105 0.028
53730.07961 19.236 0.021
53738.03101 19.422 0.022
53746.03825 19.67 0.054
53750.0408 19.684 0.092
53755.03675 19.863 0.051
filter gCSP3014
53682.03732 17.034 0.007
53683.04882 16.931 0.009
53684.08633 16.857 0.009
53687.03535 16.733 0.008
53689.11806 16.758 0.01
53690.06398 16.793 0.009
53694.10385 16.985 0.009
53695.10682 17.057 0.008
53698.06705 17.304 0.006
53699.09681 17.414 0.008
53702.10265 17.742 0.009
53706.12631 18.193 0.01
53716.10135 19.102 0.043
53721.06836 19.452 0.031
53726.0874 19.597 0.023
53730.07961 19.763 0.027
53738.03101 19.858 0.076
53746.03825 20.066 0.065
53750.0408 20.173 0.115
53755.03675 20.213 0.08
filter rCSP3014
53682.03732 17.194 0.008
53683.04882 17.103 0.011
53684.08633 17.011 0.01
53687.03535 16.907 0.012
53689.11806 16.876 0.011
53690.06398 16.896 0.011
53694.10385 17.061 0.01
53695.10682 17.136 0.008
53698.06705 17.371 0.008
53699.09681 17.437 0.008
53702.10265 17.59 0.009
53706.12631 17.666 0.009
53716.10135 18.071 0.018
53721.06836 18.477 0.016
53726.0874 18.684 0.014
53730.07961 18.881 0.018
53738.03101 19.159 0.028
53746.03825 19.425 0.031
53750.0408 19.52 0.064
53755.03675 19.706 0.046
filter iCSP3014
53682.03732 17.416 0.011
53683.04882 17.337 0.013
53684.08633 17.333 0.014
53687.03535 17.409 0.014
53689.11806 17.492 0.017
53690.06398 17.497 0.013
53694.10385 17.769 0.015
53695.10682 17.874 0.015
53698.06705 18.17 0.017
53699.09681 18.242 0.017
53702.10265 18.313 0.013
53706.12631 18.196 0.016
53716.10135 18.145 0.021
53721.06836 18.559 0.023
53726.0874 18.918 0.027
53730.07961 19.15 0.03
53738.03101 19.458 0.033
53746.03825 19.72 0.054
53750.0408 19.941 0.087
filter YCSP3014
53685.07325 17.223 0.021
53686.11447 17.284 0.022
53688.1011 17.465 0.027
53692.04676 17.764 0.057
53696.09263 18.042 0.034
53700.1375 18.148 0.046
53705.11553 17.868 0.034
53710.05002 17.627 0.043
53715.09148 17.404 0.033
53718.06461 17.468 0.022
53732.08012 18.323 0.044
filter JCSP3014
53685.07325 17.292 0.045
53686.11447 17.279 0.036
53688.1011 17.389 0.034
53692.04676 17.964 0.074
53696.09263 18.523 0.109
53700.1375 18.943 0.22
53705.11553 18.841 0.199
53710.05002 18.669 0.133
53715.09148 18.688 0.114
53721.06836 18.724 0.059
53732.08012 19.647 0.429
filter HCSP3014
53685.07325 17.358 0.068
53686.11447 17.487 0.078
53688.1011 17.82 0.082
53692.04676 17.997 0.155
53696.09263 18.03 0.166
53700.1375 18.054 0.191
53705.11553 18.256 0.258
53710.05002 17.9 0.097
53715.09148 17.902 0.13
53718.06461 18.207 0.182
53721.06836 18.221 0.06
filter KCSP3014
53721.06836 18.011 0.099
