SN2005kc 0.01389 338.531 5.56841944444444
filter u
53687.00777 17.986 0.028
53689.05899 17.337 0.023
53694.07289 16.753 0.011
53695.0828 16.758 0.017
53698.04608 16.785 0.016
53699.03235 16.855 0.016
53702.04204 17.131 0.018
53712.02021 18.427 0.034
53716.02969 19.177 0.092
53720.03603 19.632 0.14
filter B
53687.00777 17.266 0.016
53689.05899 16.732 0.013
53690.03215 16.567 0.012
53694.07289 16.146 0.009
53695.0828 16.087 0.009
53698.04608 16.039 0.008
53699.03235 16.059 0.01
53702.04204 16.19 0.009
53706.04878 16.497 0.01
53712.02021 17.177 0.013
53716.02969 17.691 0.02
53720.03603 18.138 0.036
53728.03398 18.744 0.035
filter V
53687.00777 17.012 0.012
53689.05899 16.502 0.01
53690.03215 16.346 0.008
53694.07289 15.892 0.007
53695.0828 15.853 0.009
53698.04608 15.767 0.006
53699.03235 15.754 0.007
53702.04204 15.806 0.006
53706.04878 15.938 0.006
53712.02021 16.337 0.01
53716.02969 16.624 0.01
53720.03603 16.848 0.011
53728.03398 17.353 0.014
filter g
53687.00777 17.092 0.009
53689.05899 16.588 0.01
53690.03215 16.414 0.006
53694.07289 15.99 0.008
53695.0828 15.94 0.008
53698.04608 15.868 0.005
53699.03235 15.883 0.008
53702.04204 15.969 0.005
53706.04878 16.188 0.008
53712.02021 16.722 0.009
53716.02969 17.158 0.01
53720.03603 17.548 0.013
53728.03398 18.223 0.016
filter r
53687.00777 16.792 0.01
53689.05899 16.293 0.009
53690.03215 16.13 0.007
53694.07289 15.723 0.008
53695.0828 15.667 0.007
53698.04608 15.612 0.005
53699.03235 15.598 0.007
53702.04204 15.631 0.005
53706.04878 15.823 0.008
53712.02021 16.192 0.009
53716.02969 16.309 0.006
53720.03603 16.382 0.007
filter i
53687.00777 16.801 0.012
53689.05899 16.339 0.01
53690.03215 16.193 0.008
53694.07289 15.888 0.008
53695.0828 15.888 0.009
53698.04608 15.985 0.006
53699.03235 16 0.009
53702.04204 16.096 0.007
53706.04878 16.318 0.01
53712.02021 16.618 0.011
53716.02969 16.546 0.01
53720.03603 16.473 0.009
53728.03398 16.644 0.011
filter Y
53688.05307 16.108 0.015
53691.05565 15.717 0.011
53693.0567 15.591 0.025
53696.01185 15.687 0.02
53701.06392 16.089 0.016
53705.01242 16.326 0.016
53710.00824 16.352 0.016
53714.02535 16.137 0.014
53718.02303 15.899 0.011
filter J
53688.05307 15.967 0.027
53691.05565 15.569 0.015
53693.0567 15.448 0.016
53696.01185 15.495 0.013
53701.06392 15.83 0.023
53705.01242 16.36 0.023
53710.00824 17.004 0.06
53714.02535 16.895 0.043
53718.02303 16.84 0.039
filter H
53688.05307 16.02 0.025
53691.05565 15.719 0.022
53693.0567 15.6 0.03
53696.01185 15.7 0.016
53701.06392 15.962 0.029
53705.01242 16.103 0.024
53710.00824 16.097 0.032
53714.02535 15.937 0.031
