SN2005ke 0.004483 53.7680833333333 -24.9441
filter uCSP3014
53689.17603 17.477 0.025
53690.25623 16.912 0.016
53694.25046 16.278 0.012
53695.21153 16.235 0.013
53698.21365 16.178 0.011
53699.21282 16.221 0.014
53702.20325 16.559 0.014
53703.26363 16.712 0.015
53706.21204 17.249 0.018
53707.316 17.453 0.022
53712.20721 18.061 0.025
53713.17412 18.121 0.027
53716.15477 18.233 0.034
53720.17648 18.367 0.038
53721.13244 18.435 0.037
53725.21565 18.5 0.034
53730.21307 18.659 0.035
53736.16752 18.832 0.041
53737.16767 18.863 0.041
53741.13992 19.019 0.053
53746.16714 19.206 0.055
53750.10468 19.152 0.062
53755.0946 19.378 0.051
53761.18781 19.623 0.081
53763.07936 19.719 0.062
53764.09666 19.735 0.081
53765.07773 19.793 0.058
53771.06299 19.937 0.073
53773.06804 20.118 0.094
53774.91269 20.175 0.128
53778.0562 20.305 0.158
53784.01455 20.236 0.076
53786.01684 20.453 0.107
53798.03147 20.819 0.135
53818.99323 21.253 0.198
53967.37067 22.41 0.194
filter BCSP3014
53689.17603 16.629 0.012
53690.25623 16.139 0.01
53694.25046 15.209 0.008
53695.21153 15.095 0.008
53698.21365 14.893 0.006
53699.21282 14.919 0.011
53702.20325 15.116 0.011
53703.26363 15.289 0.013
53706.21204 15.75 0.014
53707.316 15.917 0.008
53712.20721 16.568 0.011
53713.17412 16.631 0.013
53716.15477 16.838 0.008
53720.17648 17.028 0.012
53721.13244 17.087 0.011
53725.21565 17.228 0.011
53730.21307 17.369 0.011
53736.16752 17.516 0.014
53737.16767 17.551 0.013
53741.13992 17.63 0.01
53746.16714 17.744 0.017
53750.10468 17.816 0.016
53755.0946 17.93 0.015
53761.18781 18.083 0.015
53763.07936 18.096 0.016
53764.09666 18.111 0.015
53765.07773 18.138 0.02
53767.04201 18.174 0.012
53771.06299 18.249 0.016
53773.06804 18.279 0.016
53774.91269 18.331 0.021
53778.0562 18.37 0.024
53784.01455 18.507 0.016
53786.01684 18.532 0.023
53798.03147 18.804 0.023
53804.05899 18.859 0.029
53809.0347 19.043 0.082
53818.99323 19.14 0.025
53967.37067 21.375 0.072
filter VCSP3014
53689.17603 16.222 0.009
