SN2006D 0.009641 193.141 -9.77521944444445
filter u
53751.33112 15.265 0.013
53752.36057 15.118 0.016
53754.25535 15.017 0.013
53760.28859 15.299 0.01
53761.29549 15.42 0.01
53762.30101 15.532 0.011
53763.29609 15.634 0.013
53764.34084 15.791 0.012
53765.3248 15.919 0.012
53772.30865 16.954 0.013
53773.22236 17.076 0.011
53774.32565 17.236 0.014
53778.37725 17.69 0.019
53781.23803 17.925 0.032
53783.23401 18.033 0.037
53785.33137 18.084 0.024
53786.37192 18.147 0.034
53790.31448 18.358 0.022
53795.34324 18.552 0.027
53798.30986 18.542 0.048
53799.31014 18.648 0.028
53802.30953 18.73 0.027
53804.35137 18.714 0.033
53805.30367 18.752 0.029
53815.23892 18.962 0.033
53818.30872 19.096 0.026
53819.29685 19.093 0.021
53824.26696 19.215 0.026
53828.3422 19.356 0.023
53831.22915 19.438 0.027
53835.24086 19.543 0.048
53840.17409 19.616 0.068
filter B
53751.33112 14.754 0.006
53752.36057 14.606 0.005
53754.25535 14.421 0.006
53760.28859 14.406 0.006
53761.29549 14.475 0.005
53762.30101 14.562 0.005
53763.29609 14.652 0.006
53764.34084 14.761 0.006
53765.3248 14.864 0.006
53767.34671 15.084 0.004
53772.30865 15.73 0.006
53773.22236 15.842 0.004
53774.32565 15.982 0.006
53778.37725 16.433 0.009
53785.33137 16.97 0.009
53786.37192 17.03 0.01
53788.36824 17.142 0.007
53790.31448 17.225 0.009
53795.34324 17.43 0.011
53798.30986 17.483 0.01
53799.31014 17.49 0.01
53802.30953 17.558 0.011
53804.35137 17.613 0.011
53805.30367 17.625 0.011
53809.25089 17.683 0.021
53815.23892 17.803 0.014
53818.30872 17.852 0.014
53819.29685 17.896 0.011
53824.26696 17.957 0.009
53828.3422 18.047 0.006
53831.22915 18.103 0.011
53835.24086 18.159 0.013
53840.17409 18.252 0.017
53845.17972 18.288 0.013
53850.18673 18.393 0.013
53858.12213 18.539 0.015
53861.11803 18.588 0.016
53862.18779 18.599 0.016
53870.15149 18.758 0.032
filter V
53751.33112 14.702 0.006
53752.36057 14.55 0.005
53754.25535 14.343 0.006
53760.28859 14.207 0.006
53761.29549 14.23 0.005
53762.30101 14.262 0.006
53763.29609 14.311 0.006
53764.34084 14.371 0.006
53765.3248 14.424 0.006
53767.34671 14.57 0.004
53772.30865 14.949 0.004
53773.22236 15.021 0.004
53774.32565 15.102 0.006
53778.37725 15.401 0.007
53781.23803 15.585 0.017
53783.23401 15.723 0.01
