SN2006ax 0.017957 171.014 -12.2914
filter u
53815.12534 17.637 0.017
53818.18473 16.321 0.013
53819.21164 16.072 0.014
53823.15933 15.612 0.013
53824.15863 15.578 0.011
53828.01412 15.641 0.009
53831.13384 15.886 0.014
53832.13708 16.017 0.013
53834.22289 16.253 0.013
53835.06483 16.331 0.014
53838.15572 16.83 0.038
53840.11692 16.978 0.018
53841.17657 17.128 0.013
53845.05674 17.663 0.013
53850.11295 18.305 0.017
53858.06043 18.906 0.022
53861.05604 19.104 0.029
53866.04514 19.219 0.041
53867.11295 19.325 0.052
53870.06329 19.382 0.049
53871.03191 19.324 0.035
filter B
53815.12534 16.74 0.009
53816.27134 16.362 0.008
53818.18473 15.88 0.009
53819.21164 15.69 0.009
53821.09793 15.438 0.004
53823.15933 15.287 0.007
53824.15863 15.213 0.006
53828.01412 15.188 0.004
53831.13384 15.285 0.008
53832.13708 15.335 0.006
53834.22289 15.468 0.007
53835.06483 15.534 0.007
53838.15572 15.809 0.011
53840.11692 15.98 0.008
53841.17657 16.102 0.007
53845.05674 16.53 0.008
53850.11295 17.078 0.007
53858.06043 17.726 0.009
53861.05604 17.862 0.012
53866.04514 18.066 0.015
53867.11295 18.14 0.02
53870.06329 18.191 0.013
53871.03191 18.215 0.013
53872.02929 18.247 0.013
53890.05429 18.545 0.016
53890.98794 18.584 0.02
53892.00372 18.607 0.011
53898.00704 18.671 0.01
filter V
53815.12534 16.752 0.01
53818.18473 15.967 0.008
53819.21164 15.783 0.009
53823.15933 15.36 0.007
53824.15863 15.287 0.006
53828.01412 15.205 0.002
53831.13384 15.255 0.008
53832.13708 15.287 0.006
53834.22289 15.365 0.006
53835.06483 15.397 0.006
53838.15572 15.567 0.006
53840.11692 15.688 0.007
53841.17657 15.74 0.006
53845.05674 15.961 0.006
53850.11295 16.251 0.005
53858.06043 16.717 0.009
53861.05604 16.884 0.008
53866.04514 17.135 0.009
53867.11295 17.193 0.011
53870.06329 17.299 0.01
53871.03191 17.327 0.011
53872.02929 17.36 0.012
53890.05429 17.842 0.011
53890.98794 17.862 0.013
53892.00372 17.88 0.006
53898.00704 18.044 0.007
filter g
53815.12534 16.655 0.008
53818.18473 15.828 0.007
53819.21164 15.637 0.007
53823.15933 15.225 0.006
53824.15863 15.162 0.005
53828.01412 15.113 0.003
53831.13384 15.189 0.009
53832.13708 15.232 0.004
53834.22289 15.347 0.006
53835.06483 15.392 0.006
53838.15572 15.602 0.007
53840.11692 15.746 0.006
53841.17657 15.838 0.006
53845.05674 16.201 0.006
53850.11295 16.653 0.007
53858.06043 17.304 0.006
53861.05604 17.481 0.008
53866.04514 17.692 0.011
53867.11295 17.752 0.012
53870.06329 17.811 0.01
53871.03191 17.848 0.008
53872.02929 17.859 0.01
53890.05429 18.209 0.011
53890.98794 18.194 0.011
