SN2006bh 0.010493 340.067 -66.4851
filter uCSP9844
53829.39208 14.937 0.007
53830.38933 14.895 0.007
53832.41394 14.909 0.009
53833.40542 14.928 0.009
53835.42084 15.093 0.012
53838.37221 15.392 0.012
53841.40913 15.767 0.009
53845.36834 16.392 0.009
53846.36799 16.57 0.009
53853.41001 17.618 0.014
53858.35088 18.116 0.035
53861.36095 18.265 0.025
53862.33657 18.311 0.025
53866.33458 18.455 0.039
53867.32973 18.506 0.041
53870.34318 18.62 0.08
53872.31484 18.709 0.042
53886.30716 19.058 0.017
53891.28012 19.178 0.052
53892.28878 19.252 0.035
53893.298 19.287 0.03
filter BCSP9844
53828.39946 14.737 0.004
53829.39208 14.635 0.005
53830.38933 14.548 0.004
53831.39522 14.487 0.004
53832.41394 14.454 0.004
53833.40542 14.441 0.005
53835.42084 14.504 0.006
53838.37221 14.676 0.004
53841.40913 14.967 0.005
53845.36834 15.464 0.005
53846.36799 15.607 0.006
53850.3462 16.144 0.007
53853.41001 16.499 0.007
53858.35088 17.014 0.028
53861.36095 17.225 0.009
53862.33657 17.287 0.009
53866.33458 17.472 0.013
53867.32973 17.516 0.015
53870.34318 17.584 0.018
53871.32478 17.616 0.016
53872.31484 17.654 0.014
53886.30716 17.943 0.006
53891.28012 18 0.014
53892.28878 18.015 0.007
53893.298 18.042 0.007
filter VCSP9844
53828.39946 14.768 0.001
53829.39208 14.664 0.003
53830.38933 14.581 0.003
53831.39522 14.522 0.004
53832.41394 14.486 0.003
53833.40542 14.465 0.003
53835.42084 14.473 0.005
53838.37221 14.546 0.004
53841.40913 14.703 0.005
53845.36834 14.991 0.004
53846.36799 15.056 0.005
53850.3462 15.34 0.005
53853.41001 15.545 0.006
53858.35088 15.951 0.008
53861.36095 16.188 0.005
53862.33657 16.276 0.007
53866.33458 16.49 0.009
53867.32973 16.537 0.009
53870.34318 16.642 0.009
53871.32478 16.689 0.008
53872.31484 16.724 0.009
53886.30716 17.142 0.005
53891.28012 17.283 0.008
53892.28878 17.309 0.005
53893.298 17.341 0.004
filter gCSP9844
53828.39946 14.681 0.003
53829.39208 14.572 0.003
53830.38933 14.479 0.004
53831.39522 14.422 0.004
53832.41394 14.412 0.004
53833.40542 14.38 0.005
53838.37221 14.558 0.004
53841.40913 14.773 0.004
53845.36834 15.161 0.003
53846.36799 15.268 0.004
53850.3462 15.722 0.004
53853.41001 16.057 0.006
53858.35088 16.552 0.005
53861.36095 16.796 0.005
53862.33657 16.872 0.007
53866.33458 17.093 0.009
53867.32973 17.109 0.01
53870.34318 17.22 0.011
53871.32478 17.234 0.009
53872.31484 17.257 0.009
53886.30716 17.558 0.004
53891.28012 17.642 0.007
53892.28878 17.664 0.004
53893.298 17.68 0.004
filter rCSP9844
53828.39946 14.745 0.004
53829.39208 14.646 0.004
53830.38933 14.572 0.002
53831.39522 14.523 0.003
53832.41394 14.502 0.005
53833.40542 14.469 0.005
53838.37221 14.574 0.004
53841.40913 14.829 0.004
53845.36834 15.121 0.004
53846.36799 15.155 0.004
53850.3462 15.248 0.004
53853.41001 15.322 0.006
53858.35088 15.613 0.004
53861.36095 15.871 0.004
53862.33657 15.959 0.005
53866.33458 16.225 0.005
53867.32973 16.264 0.008
53870.34318 16.396 0.006
53871.32478 16.447 0.006
53872.31484 16.482 0.009
53886.30716 17.004 0.004
53891.28012 17.191 0.007
53892.28878 17.222 0.004
53893.298 17.264 0.004
filter iCSP9844
53828.39946 15.022 0.003
53829.39208 14.951 0.004
53830.38933 14.951 0.004
53831.39522 14.985 0.003
53832.41394 15.021 0.007
53833.40542 15.071 0.006
53838.37221 15.279 0.004
53841.40913 15.615 0.007
53845.36834 15.809 0.005
53846.36799 15.8 0.006
53850.3462 15.686 0.004
53853.41001 15.61 0.008
53858.35088 15.69 0.004
53861.36095 15.954 0.005
53862.33657 16.038 0.008
53866.33458 16.344 0.008
53867.32973 16.401 0.009
53870.34318 16.559 0.008
53871.32478 16.619 0.008
53872.31484 16.67 0.01
53886.30716 17.299 0.005
53891.28012 17.49 0.013
53892.28878 17.527 0.005
53893.298 17.575 0.006
filter YCSP9844
53829.39208 14.882 0.016
53830.38933 14.911 0.015
53837.42568 15.463 0.017
53843.37836 15.818 0.006
53846.36799 15.695 0.006
53848.38343 15.535 0.017
53851.36131 15.29 0.011
53855.40588 15.028 0.017
53860.37567 14.956 0.016
53863.39616 15.2 0.015
53864.36594 15.268 0.018
53868.36381 15.521 0.018
filter JCSP9844
53829.39208 14.794 0.013
53830.38933 14.806 0.012
53843.37836 16.45 0.008
53846.36799 16.565 0.01
53848.38343 16.569 0.057
53851.36131 16.292 0.037
53855.40588 16.102 0.043
53860.37567 16.192 0.042
53863.39616 16.431 0.025
53864.36594 16.541 0.025
53868.36381 16.884 0.044
filter HCSP9844
53829.39208 14.977 0.013
53830.38933 14.979 0.015
53843.37836 15.616 0.008
53848.38343 15.369 0.025
53851.36131 15.309 0.032
53855.40588 15.273 0.02
53860.37567 15.542 0.051
53863.39616 15.762 0.025
53864.36594 15.79 0.027
53868.36381 16.061 0.044
