SN2006et 0.021178 10.6909166666667 -23.5584
filter u
53986.19833 16.96 0.021
53991.15058 16.626 0.019
53994.22285 16.664 0.014
53998.17876 17.01 0.015
54001.12044 17.257 0.016
54003.13455 17.432 0.018
54007.16093 17.989 0.021
54008.13188 18.069 0.02
54012.02194 18.714 0.053
54013.11019 18.778 0.067
54017.26615 19.08 0.11
54023.2164 19.765 0.033
54024.05832 19.881 0.028
54025.17127 19.948 0.075
54029.18299 20.161 0.071
54039.16107 20.285 0.113
54046.06332 20.363 0.15
54052.09745 20.879 0.146
54060.03541 20.924 0.112
54066.10382 21.068 0.141
54076.05093 21.509 0.317
filter B
53986.19833 16.421 0.009
53988.06848 16.236 0.008
53991.15058 16.053 0.005
53994.22285 16.035 0.007
53998.17876 16.173 0.006
54001.12044 16.338 0.008
54003.13455 16.465 0.008
54007.16093 16.805 0.009
54008.13188 16.898 0.008
54012.02194 17.291 0.013
54013.11019 17.414 0.012
54017.26615 17.812 0.021
54023.2164 18.328 0.011
54024.05832 18.371 0.009
54025.17127 18.448 0.014
54029.18299 18.712 0.014
54039.16107 19.065 0.024
54044.12241 19.073 0.076
54046.06332 19.202 0.025
54052.09745 19.306 0.022
54060.03541 19.395 0.024
54066.10382 19.479 0.026
54091.05005 19.734 0.031
54099.03654 20.059 0.129
filter V
53986.19833 16.309 0.008
53988.06848 16.124 0.007
53991.15058 15.92 0.006
53994.22285 15.878 0.006
53998.17876 15.908 0.005
54001.12044 16.01 0.01
54003.13455 16.074 0.007
54007.16093 16.288 0.008
54012.02194 16.587 0.008
54013.11019 16.641 0.008
54017.26615 16.813 0.015
54023.2164 17.253 0.014
54024.05832 17.213 0.004
54025.17127 17.277 0.009
54029.18299 17.532 0.009
54039.16107 18.001 0.014
54044.12241 18.126 0.033
54046.06332 18.158 0.015
54052.09745 18.311 0.014
54060.03541 18.487 0.015
54066.10382 18.639 0.018
54076.05093 18.852 0.02
54091.05005 19.19 0.023
filter g
53983.13341 16.862 0.011
53986.19833 16.318 0.007
53991.15058 15.935 0.005
53994.22285 15.906 0.006
53998.17876 16.016 0.005
54001.12044 16.123 0.006
54003.13455 16.232 0.006
54007.16093 16.508 0.008
54008.13188 16.603 0.008
54012.02194 16.918 0.008
54013.11019 17.026 0.008
54017.26615 17.363 0.023
54023.2164 17.913 0.012
54024.05832 17.912 0.006
54029.18299 18.24 0.01
54033.18696 18.443 0.02
54039.16107 18.642 0.015
54044.12241 18.682 0.047
54046.06332 18.795 0.016
54052.09745 18.875 0.014
54060.03541 18.976 0.015
54066.10382 19.08 0.016
54076.05093 19.196 0.016
54091.05005 19.422 0.018
54099.03654 19.557 0.041
filter r
53983.13341 16.838 0.014
53986.19833 16.305 0.008
53988.06848 16.109 0.006
53991.15058 15.912 0.007
53994.22285 15.821 0.007
53998.17876 15.838 0.004
54001.12044 15.928 0.006
54003.13455 16.01 0.006
54007.16093 16.28 0.008
54012.02194 16.468 0.006
54013.11019 16.495 0.006
54017.26615 16.549 0.016
54023.2164 16.783 0.011
54024.05832 16.718 0.006
54029.18299 17.017 0.007
54033.18696 17.279 0.011
54039.16107 17.538 0.009
54044.12241 17.675 0.017
54046.06332 17.761 0.011
54052.09745 17.949 0.012
54060.03541 18.166 0.013
54066.10382 18.353 0.013
54076.05093 18.62 0.015
54091.05005 19.05 0.018
filter i
53986.19833 16.537 0.01
53988.06848 16.358 0.008
53991.15058 16.312 0.008
53994.22285 16.375 0.007
53998.17876 16.475 0.006
54001.12044 16.566 0.01
54003.13455 16.69 0.008
54007.16093 16.963 0.01
54012.02194 17.015 0.009
54013.11019 17.006 0.01
54017.26615 16.9 0.016
54023.2164 16.968 0.014
54024.05832 16.859 0.006
54029.18299 17.06 0.009
54033.18696 17.327 0.012
54039.16107 17.671 0.014
54044.12241 17.747 0.023
54046.06332 17.949 0.013
54052.09745 18.16 0.017
54060.03541 18.476 0.02
54066.10382 18.643 0.017
54076.05093 19.016 0.022
54091.05005 19.454 0.036
filter Y
53982.11765 17.068 0.047
53987.35913 16.288 0.017
53993.14987 16.434 0.016
53995.17443 16.566 0.017
53999.29946 16.81 0.023
54002.10966 16.99 0.025
54009.07815 16.851 0.027
54013.11019 16.804 0.01
54015.10736 16.551 0.056
54021.16831 16.286 0.018
54024.05832 16.131 0.015
54030.13395 16.154 0.014
54037.19213 16.475 0.024
54039.16107 16.632 0.01
54041.03668 16.698 0.023
54045.0822 16.872 0.027
54049.14148 17.161 0.013
54057.06617 17.407 0.034
filter J
53982.11765 16.966 0.077
53987.35913 16.101 0.023
53993.14987 16.108 0.02
53995.17443 16.24 0.023
53999.29946 16.63 0.018
54002.10966 16.928 0.035
54013.11019 17.675 0.011
54021.16831 17.196 0.037
54024.05832 17.11 0.037
54037.19213 17.625 0.05
54039.16107 17.811 0.013
54049.14148 18.453 0.024
filter H
53982.11765 17.071 0.064
53987.35913 16.248 0.029
53993.14987 16.421 0.033
53995.17443 16.503 0.026
53999.29946 16.614 0.033
54002.10966 16.746 0.038
54006.14724 17.035 0.057
54013.11019 16.785 0.013
54021.16831 16.508 0.036
54024.05832 16.518 0.032
54030.13395 16.595 0.038
54039.16107 17.149 0.017
54049.14148 17.524 0.028
