SN2006ev 0.027599 322.747 13.9892
filter uCSP9844
53994.07206 18.784 0.035
53998.05023 19.35 0.06
54001.03449 19.718 0.048
54003.05395 19.98 0.051
54007.06774 20.376 0.092
54008.0311 20.571 0.109
54018.03914 21.243 0.176
54023.00088 21.55 0.114
54024.00359 21.55 0.132
filter BCSP9844
53994.07206 17.596 0.009
53998.05023 17.971 0.01
54001.03449 18.314 0.014
54003.05395 18.601 0.016
54007.06774 19.106 0.02
54008.0311 19.207 0.024
54014.03499 19.931 0.146
54018.03914 20.088 0.044
54023.00088 20.334 0.025
54024.00359 20.44 0.028
54025.0346 20.446 0.05
54038.01155 20.854 0.116
filter VCSP9844
53994.07206 17.299 0.008
53998.05023 17.48 0.008
54001.03449 17.688 0.012
54003.05395 17.816 0.012
54007.06774 18.113 0.011
54008.0311 18.155 0.012
54014.03499 18.634 0.049
54018.03914 18.909 0.019
54023.00088 19.22 0.013
54024.00359 19.32 0.013
54025.0346 19.339 0.025
54038.01155 19.71 0.051
filter gCSP9844
53994.07206 17.392 0.007
53998.05023 17.67 0.007
54001.03449 17.974 0.011
54003.05395 18.196 0.009
54007.06774 18.659 0.012
54008.0311 18.755 0.011
54014.03499 19.332 0.072
54018.03914 19.683 0.02
54023.00088 19.991 0.016
54025.0346 20.085 0.028
54038.01155 20.444 0.065
filter rCSP9844
53994.07206 17.18 0.007
53998.05023 17.425 0.007
54001.03449 17.65 0.012
54003.05395 17.743 0.01
54007.06774 17.84 0.01
54008.0311 17.864 0.011
54014.03499 18.034 0.018
54018.03914 18.398 0.016
54023.00088 18.717 0.009
54024.00359 18.77 0.009
54025.0346 18.833 0.017
54038.01155 19.262 0.027
filter iCSP9844
53994.07206 17.695 0.012
53998.05023 18.086 0.013
54001.03449 18.294 0.016
54003.05395 18.323 0.015
54007.06774 18.248 0.015
54008.0311 18.202 0.015
54014.03499 18.128 0.022
54018.03914 18.331 0.017
54023.00088 18.747 0.013
54024.00359 18.833 0.014
54025.0346 18.926 0.026
54038.01155 19.559 0.041
filter YCSP9844
53993.06972 17.734 0.033
53995.0974 17.799 0.029
53996.01516 17.96 0.076
54008.99201 17.603 0.052
54010.11358 17.632 0.048
54011.00954 17.55 0.024
54012.0913 17.48 0.013
54013.0494 17.445 0.027
54017.0695 17.313 0.013
54038.99801 18.643 0.028
filter JCSP9844
53993.06972 17.523 0.052
53995.0974 17.932 0.048
53996.01516 18.251 0.13
54011.00954 18.294 0.152
54012.0913 18.334 0.075
54013.0494 18.291 0.031
54017.0695 18.189 0.05
54038.99801 19.776 0.123
filter HCSP9844
53993.06972 17.645 0.11
53995.0974 17.641 0.083
53996.01516 17.623 0.183
54011.00954 17.705 0.1
54012.0913 17.694 0.051
54013.0494 17.523 0.037
54017.0695 17.767 0.028
54038.99801 18.971 0.111
