SN2006gt 0.043641 14.0720833333333 -1.62943888888889
filter u
54001.15587 19.048 0.036
54003.17336 19.278 0.046
54007.19736 19.881 0.059
54008.16241 19.932 0.053
54018.22938 21.423 0.373
filter B
54001.15587 18.42 0.014
54003.17336 18.389 0.014
54007.19736 18.642 0.015
54008.16241 18.764 0.018
54018.22938 20.389 0.098
54024.1559 20.85 0.018
54028.17304 21.091 0.046
54036.14862 21.22 0.059
54046.11194 21.526 0.237
54052.12559 21.702 0.082
54056.14284 21.576 0.088
54066.06189 21.876 0.116
filter V
54001.15587 18.221 0.013
54003.17336 18.11 0.012
54007.19736 18.149 0.013
54008.16241 18.194 0.013
54018.22938 19.158 0.028
54024.1559 19.625 0.012
54028.17304 19.866 0.023
54036.14862 20.313 0.038
54039.12673 20.494 0.076
54046.11194 20.534 0.132
54052.12559 20.761 0.051
54056.14284 20.786 0.075
54066.06189 21.043 0.073
filter g
54001.15587 18.233 0.011
54003.17336 18.171 0.011
54007.19736 18.332 0.009
54008.16241 18.428 0.013
54018.22938 19.786 0.04
54024.1559 20.328 0.012
54028.17304 20.6 0.03
54036.14862 20.911 0.046
54039.12673 21.066 0.085
54046.11194 21.326 0.169
54052.12559 21.418 0.047
54066.06189 21.741 0.093
filter r
54001.15587 18.224 0.015
54003.17336 18.121 0.013
54007.19736 18.108 0.009
54008.16241 18.126 0.009
54018.22938 18.733 0.018
54024.1559 19.151 0.008
54028.17304 19.444 0.022
54036.14862 19.942 0.028
54039.12673 20.098 0.04
54046.11194 20.299 0.063
54052.12559 20.513 0.041
54056.14284 20.759 0.061
54066.06189 21.032 0.093
filter i
54001.15587 18.355 0.014
54003.17336 18.355 0.015
54007.19736 18.463 0.014
54008.16241 18.515 0.016
54018.22938 18.84 0.025
54024.1559 19.043 0.012
54028.17304 19.36 0.027
54036.14862 20.001 0.042
54039.12673 20.033 0.04
54046.11194 20.447 0.101
54052.12559 20.655 0.053
54056.14284 20.723 0.11
54066.06189 21.27 0.098
filter Y
54002.16774 18.028 0.039
54006.18031 18.235 0.056
54010.24395 18.31 0.06
54011.22971 18.34 0.049
54013.19139 18.453 0.033
54017.25207 18.407 0.037
54027.16255 18.322 0.057
54038.05352 19.033 0.049
54040.10827 19.136 0.043
54048.12634 19.654 0.058
filter J
54002.16774 17.909 0.065
54006.18031 18.186 0.075
54011.22971 18.639 0.101
54013.19139 18.917 0.037
54017.25207 19.083 0.078
54027.16255 18.888 0.171
54038.05352 20.224 0.117
54040.10827 20.574 0.142
filter H
54002.16774 18.154 0.125
54006.18031 18.64 0.21
54013.19139 18.626 0.058
54017.25207 18.656 0.147
54038.05352 19.756 0.124
54040.10827 19.725 0.19
