SN2006hb 0.015337 75.5052916666667 -21.132
filter u
54013.30649 17.839 0.022
54017.35022 18.399 0.033
54018.34435 18.592 0.036
54025.32801 19.223 0.038
54029.31922 19.476 0.043
54038.33992 19.802 0.067
54040.29174 19.776 0.058
54042.28892 19.873 0.079
54049.30913 20.116 0.108
54068.2856 20.612 0.086
filter B
54013.30649 16.65 0.007
54014.34893 16.8 0.008
54017.35022 17.247 0.012
54018.34435 17.366 0.01
54020.37258 17.612 0.009
54025.32801 18.056 0.009
54029.31922 18.309 0.012
54038.33992 18.665 0.013
54042.28892 18.741 0.018
54049.30913 18.926 0.018
54068.2856 19.272 0.018
54076.23046 19.439 0.047
54085.19623 19.585 0.023
54091.26308 19.645 0.025
54096.18247 19.728 0.028
54099.16328 19.788 0.055
54104.2437 19.727 0.091
54108.20787 19.919 0.033
54119.1474 20.141 0.023
54121.14554 20.197 0.027
54125.1025 20.303 0.028
54133.12152 20.44 0.133
54136.14716 20.351 0.064
54143.08069 20.615 0.033
filter V
54013.30649 15.946 0.005
54014.34893 16.007 0.009
54017.35022 16.294 0.011
54018.34435 16.373 0.007
54020.37258 16.556 0.009
54025.32801 16.973 0.008
54029.31922 17.283 0.009
54038.33992 17.692 0.01
54042.28892 17.837 0.013
54049.30913 18.01 0.015
54068.2856 18.534 0.016
54076.23046 18.723 0.024
54085.19623 18.975 0.019
54091.26308 19.106 0.022
54096.18247 19.238 0.022
54099.16328 19.389 0.068
54104.2437 19.331 0.071
54108.20787 19.539 0.034
54119.1474 19.778 0.032
54121.14554 19.817 0.034
54125.1025 19.916 0.038
54133.12152 19.968 0.105
54136.14716 19.955 0.062
54143.08069 20.245 0.044
filter g
54013.30649 16.26 0.004
54017.35022 16.798 0.008
54018.34435 16.939 0.007
54025.32801 17.634 0.007
54029.31922 17.918 0.008
54038.33992 18.283 0.009
54040.29174 18.333 0.013
54042.28892 18.391 0.011
54049.30913 18.533 0.013
54068.2856 18.91 0.011
54076.23046 19.039 0.022
54085.19623 19.216 0.013
54091.26308 19.301 0.014
54096.18247 19.413 0.017
54099.16328 19.437 0.028
54104.2437 19.535 0.07
54108.20787 19.607 0.022
54119.1474 19.837 0.015
54121.14554 19.9 0.018
54125.1025 19.938 0.019
54131.17299 20.032 0.037
54133.12152 20.027 0.059
54136.14716 20.138 0.047
54143.08069 20.275 0.02
filter r
54013.30649 15.911 0.005
54017.35022 16.064 0.012
54018.34435 16.112 0.008
54020.37258 16.205 0.007
54025.32801 16.567 0.006
54029.31922 16.93 0.008
54038.33992 17.422 0.009
54040.29174 17.494 0.012
54042.28892 17.574 0.01
54049.30913 17.839 0.011
54068.2856 18.534 0.016
54076.23046 18.8 0.018
54085.19623 19.154 0.019
54091.26308 19.374 0.022
54096.18247 19.555 0.018
54099.16328 19.668 0.034
54104.2437 19.789 0.067
54108.20787 19.996 0.04
54119.1474 20.307 0.039
54121.14554 20.322 0.035
54125.1025 20.459 0.047
54131.17299 20.652 0.082
54133.12152 20.568 0.111
54136.14716 20.637 0.08
54143.08069 20.938 0.068
filter i
54013.30649 16.401 0.007
54017.35022 16.322 0.018
54018.34435 16.356 0.011
54020.37258 16.355 0.009
54025.32801 16.533 0.008
54029.31922 16.919 0.009
54038.33992 17.481 0.01
54040.29174 17.585 0.015
54042.28892 17.667 0.014
54049.30913 17.967 0.014
54068.2856 18.685 0.018
54076.23046 18.91 0.026
54085.19623 19.193 0.024
54091.26308 19.417 0.032
54096.18247 19.51 0.03
54099.16328 19.615 0.043
54104.2437 19.7 0.071
54108.20787 19.842 0.042
54119.1474 20.066 0.057
54121.14554 20.208 0.065
54125.1025 20.201 0.052
54131.17299 20.399 0.074
54133.12152 20.278 0.103
54136.14716 20.448 0.086
54143.08069 20.551 0.063
filter Y
54006.36087 16.081 0.011
54009.29075 16.23 0.013
54011.38546 16.25 0.012
54015.2337 16.125 0.025
54021.3149 15.841 0.012
54027.3661 15.858 0.011
54041.27339 16.803 0.016
54043.24054 16.901 0.017
54057.29547 17.615 0.037
54063.30498 17.93 0.036
filter J
54006.36087 16.075 0.019
54009.29075 16.64 0.026
54011.38546 16.857 0.038
54015.2337 17.026 0.165
54021.3149 16.871 0.032
54027.3661 16.851 0.033
54041.27339 18.329 0.095
54043.24054 18.401 0.132
54057.29547 19.425 0.325
54063.30498 19.638 0.311
filter H
54006.36087 16.146 0.049
54009.29075 16.255 0.065
54015.2337 16.166 0.13
54021.3149 16.069 0.021
54027.3661 16.352 0.034
54041.27339 17.252 0.069
54043.24054 17.267 0.099
54057.29547 18.253 0.18
54063.30498 18.337 0.188
