SN2006is 0.031421 79.3932083333333 -23.7817
filter uCSP9844
54013.36227 17.192 0.009
54018.38413 17.656 0.022
54025.35373 18.453 0.024
54028.3503 18.742 0.024
54036.33964 19.39 0.045
54039.32786 19.584 0.035
54042.26035 19.662 0.073
54048.30173 19.792 0.105
54052.29651 20.072 0.069
54056.25765 20.291 0.077
54060.30479 20.258 0.06
54065.27954 20.432 0.058
54071.18299 20.596 0.148
54080.33397 20.993 0.298
54084.22566 20.78 0.101
54087.18572 20.831 0.102
54092.20972 20.989 0.119
54099.2041 21.081 0.13
filter BCSP9844
54013.36227 16.425 0.005
54017.39244 16.676 0.011
54018.38413 16.749 0.008
54025.35373 17.358 0.008
54028.3503 17.619 0.009
54036.33964 18.25 0.011
54039.32786 18.428 0.014
54042.26035 18.599 0.017
54048.30173 18.909 0.025
54052.29651 19.025 0.014
54056.25765 19.118 0.014
54060.30479 19.177 0.021
54065.27954 19.284 0.018
54071.18299 19.367 0.027
54080.33397 19.632 0.036
54084.22566 19.575 0.019
54087.18572 19.659 0.018
54092.20972 19.735 0.03
54096.20478 19.876 0.026
54099.2041 19.843 0.029
54102.16113 19.908 0.084
54106.17833 19.981 0.038
54108.23998 20.038 0.033
54118.20079 20.221 0.031
54121.17728 20.29 0.022
54123.19138 20.315 0.021
54125.14464 20.332 0.037
filter VCSP9844
54013.36227 16.295 0.005
54025.35373 16.953 0.007
54028.3503 17.069 0.009
54036.33964 17.414 0.008
54039.32786 17.555 0.009
54042.26035 17.747 0.01
54048.30173 18.148 0.012
54052.29651 18.312 0.011
54056.25765 18.44 0.013
54060.30479 18.552 0.016
54065.27954 18.696 0.014
54071.18299 18.793 0.022
54080.33397 19.034 0.026
54084.22566 19.098 0.018
54087.18572 19.22 0.018
54092.20972 19.301 0.021
54096.20478 19.399 0.019
54099.2041 19.437 0.037
54102.16113 19.407 0.064
54106.17833 19.536 0.035
54108.23998 19.626 0.025
54118.20079 19.784 0.025
54121.17728 19.813 0.02
54123.19138 19.845 0.019
54125.14464 19.895 0.029
filter gCSP9844
54013.36227 16.284 0.004
54018.38413 16.583 0.007
54025.35373 17.096 0.006
54028.3503 17.322 0.007
54036.33964 17.885 0.007
54039.32786 18.103 0.008
54042.26035 18.283 0.011
54048.30173 18.576 0.013
54052.29651 18.742 0.009
54056.25765 18.845 0.011
54060.30479 18.917 0.013
54065.27954 18.998 0.013
54071.18299 19.072 0.02
54080.33397 19.234 0.03
54084.22566 19.325 0.013
54087.18572 19.337 0.013
54092.20972 19.437 0.014
54096.20478 19.513 0.014
54099.2041 19.514 0.02
54102.16113 19.57 0.052
54106.17833 19.657 0.022
54108.23998 19.68 0.017
54118.20079 19.867 0.013
54121.17728 19.895 0.013
54123.19138 19.946 0.023
54125.14464 19.952 0.012
filter rCSP9844
54013.36227 16.339 0.005
54025.35373 16.983 0.004
54028.3503 17.009 0.007
54036.33964 17.082 0.006
54039.32786 17.159 0.006
54042.26035 17.304 0.009
54048.30173 17.686 0.009
54052.29651 17.885 0.008
54056.25765 18.021 0.008
54060.30479 18.176 0.013
54065.27954 18.327 0.012
54071.18299 18.504 0.016
54080.33397 18.74 0.021
54084.22566 18.894 0.012
54087.18572 18.983 0.011
54092.20972 19.132 0.014
54096.20478 19.247 0.014
54099.2041 19.322 0.019
54102.16113 19.402 0.049
54106.17833 19.563 0.024
54108.23998 19.575 0.019
54118.20079 19.853 0.02
54121.17728 19.925 0.017
54123.19138 20.007 0.019
54125.14464 20.047 0.018
filter iCSP9844
54013.36227 17.13 0.008
54025.35373 17.89 0.009
54028.3503 17.84 0.01
54036.33964 17.651 0.009
54039.32786 17.588 0.009
54042.26035 17.618 0.012
54048.30173 17.96 0.015
54052.29651 18.241 0.011
54056.25765 18.416 0.014
54060.30479 18.61 0.016
54065.27954 18.826 0.016
54071.18299 19.037 0.025
54080.33397 19.378 0.059
54084.22566 19.466 0.027
54087.18572 19.594 0.029
54092.20972 19.756 0.028
54096.20478 19.942 0.041
54099.2041 19.917 0.044
54102.16113 20.118 0.129
54106.17833 20.136 0.057
54108.23998 20.165 0.04
54118.20079 20.484 0.055
54121.17728 20.539 0.058
54125.14464 20.636 0.057
filter YCSP9844
54009.35374 17.568 0.029
54014.33611 17.868 0.039
54016.37757 17.978 0.045
54021.35721 18.059 0.066
54027.33821 17.815 0.052
54030.32896 17.517 0.031
54037.35225 17.188 0.01
54048.30173 17.075 0.019
filter JCSP9844
54009.35374 17.178 0.045
54014.33611 17.572 0.018
54016.37757 17.871 0.092
54021.35721 18.215 0.154
54027.33821 18.906 0.282
54030.32896 18.613 0.109
54037.35225 18.194 0.052
54048.30173 18.087 0.019
filter HCSP9844
54009.35374 17.352 0.097
54014.33611 17.595 0.069
54016.37757 17.649 0.119
54021.35721 17.605 0.176
54027.33821 17.736 0.144
54038.29762 17.362 0.034
54048.30173 17.603 0.035
