SN2006kf 0.020799 55.4602916666667 8.15693888888889
filter uCSP9844
54036.30016 17.621 0.017
54038.26588 17.486 0.014
54039.23876 17.485 0.014
54042.22302 17.595 0.02
54048.26265 18.359 0.036
54052.26575 19.041 0.044
54056.20111 19.758 0.083
54060.17436 20.257 0.079
54065.20214 20.805 0.118
54068.20135 20.87 0.126
54069.19648 20.878 0.158
54080.20086 21.315 0.249
54084.13564 21.483 0.289
filter BCSP9844
54036.30016 17.07 0.007
54038.26588 16.901 0.007
54039.23876 16.839 0.007
54042.22302 16.825 0.009
54048.26265 17.262 0.009
54052.26575 17.819 0.009
54056.20111 18.412 0.01
54060.17436 18.914 0.014
54065.20214 19.416 0.023
54068.20135 19.602 0.041
54069.19648 19.619 0.035
54075.19124 19.77 0.092
54080.20086 20.115 0.054
54084.13564 20.155 0.039
54087.15745 20.233 0.038
54091.17336 20.194 0.04
54096.11748 20.311 0.072
54102.12904 20.223 0.15
54119.09634 20.868 0.049
54127.1274 21.136 0.176
filter VCSP9844
54036.30016 16.931 0.007
54038.26588 16.734 0.007
54039.23876 16.685 0.007
54042.22302 16.624 0.009
54048.26265 16.796 0.007
54052.26575 17.08 0.007
54056.20111 17.413 0.008
54060.17436 17.721 0.009
54065.20214 18.175 0.012
54068.20135 18.401 0.017
54069.19648 18.491 0.017
54075.19124 18.775 0.033
54080.20086 18.919 0.023
54084.13564 19.019 0.017
54087.15745 19.133 0.017
54091.17336 19.248 0.022
54096.11748 19.378 0.032
54102.12904 19.553 0.098
54119.09634 19.982 0.028
54127.1274 20.254 0.06
filter gCSP9844
54036.30016 16.943 0.007
54038.26588 16.751 0.006
54039.23876 16.708 0.007
54042.22302 16.679 0.007
54048.26265 17.011 0.007
54052.26575 17.403 0.007
54056.20111 17.903 0.008
54060.17436 18.417 0.009
54065.20214 18.921 0.012
54068.20135 19.157 0.016
54069.19648 19.234 0.026
54075.19124 19.444 0.045
54080.20086 19.548 0.03
54084.13564 19.711 0.019
54087.15745 19.782 0.018
54091.17336 19.869 0.026
54096.11748 20.006 0.048
54102.12904 20.154 0.106
54119.09634 20.365 0.021
54123.15767 20.461 0.022
filter rCSP9844
54036.30016 16.769 0.007
54038.26588 16.596 0.007
54039.23876 16.555 0.006
54042.22302 16.499 0.007
54048.26265 16.751 0.006
54052.26575 17.02 0.008
54056.20111 17.154 0.006
54060.17436 17.294 0.009
54065.20214 17.689 0.01
54068.20135 17.966 0.011
54069.19648 18.046 0.012
54075.19124 18.36 0.015
54080.20086 18.582 0.016
54084.13564 18.741 0.014
54087.15745 18.841 0.013
54091.17336 18.992 0.018
54096.11748 19.146 0.026
54102.12904 19.403 0.072
54119.09634 19.945 0.026
54123.15767 20.09 0.04
54127.1274 20.378 0.067
filter iCSP9844
54036.30016 16.88 0.007
54038.26588 16.788 0.009
54039.23876 16.811 0.008
54042.22302 16.92 0.009
54048.26265 17.323 0.009
54052.26575 17.564 0.009
54056.20111 17.444 0.009
54060.17436 17.394 0.01
54065.20214 17.574 0.013
54068.20135 17.861 0.013
54069.19648 17.964 0.012
54075.19124 18.338 0.02
54080.20086 18.624 0.022
54084.13564 18.774 0.019
54087.15745 18.938 0.02
54091.17336 19.117 0.024
54096.11748 19.365 0.036
54102.12904 19.48 0.086
54119.09634 20.242 0.05
54127.1274 20.439 0.11
filter YCSP9844
54037.28931 16.492 0.019
54039.23876 16.56 0.009
54041.21081 16.681 0.019
54043.16166 16.843 0.024
54045.23014 17 0.03
54047.22888 17.13 0.023
54049.25752 17.293 0.008
54053.21817 17.127 0.018
54057.19315 16.867 0.019
54066.27411 16.575 0.005
54070.21493 16.59 0.214
54074.20429 17.125 0.021
54078.15035 17.367 0.022
54083.18426 17.639 0.046
54100.10822 18.52 0.075
54111.15926 19.199 0.164
54124.11534 19.351 0.106
filter JCSP9844
54037.28931 16.364 0.011
54039.23876 16.389 0.008
54041.21081 16.523 0.03
54043.16166 16.704 0.028
54045.23014 16.998 0.048
54047.22888 17.431 0.049
54049.25752 17.73 0.028
54053.21817 18.04 0.09
54057.19315 17.796 0.082
54066.27411 17.507 0.028
54070.21493 17.803 0.084
54074.20429 18.62 0.226
54078.15035 18.755 0.132
54083.18426 18.906 0.347
filter HCSP9844
54037.28931 16.498 0.041
54041.21081 16.702 0.05
54043.16166 16.785 0.111
54045.23014 16.888 0.082
54047.22888 17.04 0.155
54053.21817 17.099 0.064
54057.19315 16.797 0.059
54070.21493 17.357 0.152
54074.20429 17.588 0.16
54078.15035 17.836 0.133
54083.18426 18.015 0.296
filter KCSP9844
54037.28931 21.251 0.086
54039.23876 21.213 0.043
54049.25752 21.712 0.096
