SN2006lu 0.054399 138.823 -25.6001
filter u
54040.3211 18.793 0.026
54042.32148 19.011 0.035
54046.27243 19.388 0.152
54052.32707 20.484 0.092
54056.32021 20.712 0.153
54065.32933 21.705 0.304
54068.33083 21.925 0.171
54071.31134 22.369 0.249
filter B
54040.3211 18.059 0.011
54042.32148 18.184 0.01
54046.27243 18.358 0.028
54052.32707 19.155 0.02
54056.32021 19.608 0.024
54060.35134 20.086 0.047
54065.32933 20.479 0.03
54068.33083 20.666 0.031
54071.31134 20.75 0.033
54073.32706 20.697 0.065
54076.32536 20.745 0.118
54084.25591 21.097 0.055
54085.31376 21.193 0.075
54087.28105 21.225 0.039
54099.34531 21.32 0.056
54100.29911 21.355 0.051
54104.29859 21.321 0.206
54106.28247 21.229 0.134
54110.30051 21.538 0.113
54112.35057 21.57 0.088
54121.27083 21.66 0.073
54125.2998 21.739 0.06
filter V
54040.3211 17.911 0.01
54042.32148 17.987 0.011
54046.27243 18.174 0.022
54048.37585 18.206 0.034
54056.32021 18.835 0.015
54060.35134 19.096 0.019
54065.32933 19.399 0.023
54068.33083 19.554 0.027
54071.31134 19.717 0.025
54073.32706 19.747 0.04
54076.32536 19.851 0.056
54084.25591 20.139 0.034
54087.28105 20.263 0.027
54091.34277 20.386 0.035
54099.34531 20.517 0.03
54100.29911 20.536 0.04
54104.29859 20.483 0.081
54106.28247 20.605 0.076
54110.30051 20.623 0.081
54112.35057 20.741 0.037
54121.27083 20.918 0.036
54125.2998 20.956 0.042
54131.24436 21.029 0.065
filter g
54040.3211 17.919 0.007
54042.32148 18.031 0.009
54046.27243 18.312 0.02
54052.32707 18.847 0.013
54056.32021 19.245 0.015
54060.35134 19.596 0.041
54065.32933 20.049 0.044
54068.33083 20.168 0.03
54071.31134 20.35 0.023
54073.32706 20.457 0.043
54076.32536 20.432 0.054
54084.25591 20.712 0.033
54085.31376 20.742 0.026
54087.28105 20.786 0.022
54091.34277 20.835 0.032
54099.34531 20.982 0.097
54100.29911 21.068 0.036
54104.29859 20.95 0.091
54106.28247 20.988 0.071
54110.30051 21.136 0.049
54112.35057 21.056 0.108
54121.27083 21.348 0.037
54125.2998 21.296 0.036
54130.21164 21.484 0.081
filter r
54040.3211 17.893 0.009
54042.32148 17.968 0.012
54044.365 18.045 0.021
54046.27243 18.176 0.02
54056.32021 18.571 0.011
54060.35134 18.694 0.027
54065.32933 18.866 0.025
54068.33083 19.026 0.025
54071.31134 19.211 0.015
54073.32706 19.357 0.024
54076.32536 19.459 0.03
54084.25591 19.735 0.025
54087.28105 19.843 0.021
54091.34277 19.951 0.028
54099.34531 20.11 0.061
54100.29911 20.198 0.024
54104.29859 20.287 0.055
54106.28247 20.42 0.041
54110.30051 20.629 0.489
54121.27083 20.749 0.028
54125.2998 20.886 0.035
54130.21164 20.982 0.051
54131.24436 21.033 0.056
filter i
54040.3211 18.473 0.017
54042.32148 18.583 0.02
54044.365 18.69 0.046
54046.27243 18.761 0.036
54056.32021 19.053 0.019
54060.35134 18.832 0.147
54065.32933 19.031 0.066
54068.33083 18.974 0.051
54071.31134 19.2 0.024
54073.32706 19.254 0.044
54076.32536 19.525 0.04
54084.25591 19.917 0.043
54087.28105 20.129 0.036
54091.34277 20.197 0.06
54099.34531 20.466 0.236
54100.29911 20.566 0.058
54104.29859 20.818 0.089
54106.28247 20.768 0.076
54121.27083 21.245 0.068
54125.2998 21.202 0.094
54130.21164 21.15 0.126
filter Y
54041.35904 19.016 0.098
54043.31674 19.264 0.146
54045.30196 19.585 0.213
54049.32163 18.547 0.046
54543.12044 21.354 0.29
54838.24365 21.474 0.245
filter J
54043.31674 19.806 0.542
54045.30196 19.659 0.256
54049.32163 19.709 0.112
54838.24365 21.792 0.435
filter H
54045.30196 19.064 0.337
54049.32163 18.275 0.088
54838.24365 19.715 0.741
