SN2006ot 0.052155 33.7702083333333 -20.7662
filter u
54065.15843 18.804 0.029
54066.20581 18.889 0.025
54069.065 19.137 0.039
54071.12508 19.297 0.059
54073.1353 19.49 0.079
54075.162 19.934 0.154
54079.17918 20.485 0.112
54084.08135 21.154 0.209
54091.13045 21.744 0.212
54099.06512 21.883 0.465
filter B
54065.15843 18.12 0.017
54066.20581 18.147 0.012
54069.065 18.265 0.018
54071.12508 18.432 0.019
54073.1353 18.563 0.029
54075.162 18.765 0.03
54079.17918 19.108 0.025
54084.08135 19.591 0.027
54091.13045 20.238 0.049
54096.03434 20.503 0.077
54099.06512 20.766 0.14
54106.07242 20.852 0.08
54112.15036 20.963 0.077
54119.05341 21.026 0.051
54123.0716 20.952 0.063
54127.06969 21.066 0.085
54131.10441 21.056 0.19
filter V
54065.15843 17.884 0.014
54066.20581 17.921 0.013
54069.065 18.001 0.015
54071.12508 18.078 0.016
54073.1353 18.15 0.017
54075.162 18.244 0.017
54079.17918 18.458 0.017
54084.08135 18.739 0.023
54091.13045 19.26 0.025
54096.03434 19.619 0.048
54099.06512 19.675 0.056
54106.07242 19.993 0.05
54112.15036 20.037 0.049
54119.05341 20.15 0.034
54123.0716 20.255 0.05
54127.06969 20.214 0.052
54131.10441 20.23 0.066
filter g
54065.15843 17.916 0.012
54066.20581 17.933 0.009
54069.065 18.089 0.013
54071.12508 18.235 0.014
54073.1353 18.385 0.018
54075.162 18.49 0.017
54079.17918 18.83 0.017
54084.08135 19.23 0.023
54091.13045 19.912 0.031
54096.03434 20.172 0.052
54099.06512 20.43 0.077
54106.07242 20.56 0.036
54112.15036 20.741 0.051
54119.05341 20.659 0.035
54123.0716 20.812 0.057
54127.06969 20.913 0.067
54131.10441 20.945 0.143
filter r
54065.15843 17.938 0.013
54066.20581 17.895 0.012
54069.065 17.891 0.014
54071.12508 17.977 0.014
54073.1353 18.036 0.014
54075.162 18.082 0.015
54079.17918 18.276 0.013
54084.08135 18.42 0.017
54091.13045 18.717 0.02
54096.03434 18.979 0.022
54099.06512 19.11 0.029
54106.07242 19.348 0.028
54112.15036 19.48 0.03
54119.05341 19.625 0.025
54123.0716 19.705 0.025
54127.06969 19.78 0.032
filter i
54065.15843 18.213 0.017
54066.20581 18.195 0.016
54069.065 18.155 0.017
54071.12508 18.272 0.021
54073.1353 18.291 0.021
54075.162 18.394 0.022
54079.17918 18.528 0.021
54084.08135 18.489 0.022
54091.13045 18.639 0.023
54096.03434 18.774 0.025
54099.06512 18.966 0.03
54106.07242 19.264 0.033
54112.15036 19.471 0.049
54119.05341 19.745 0.032
54123.0716 19.767 0.035
54127.06969 19.994 0.052
filter Y
54063.21241 17.915 0.104
54066.20581 18.045 0.016
54067.22494 18.073 0.05
54072.16825 18.087 0.093
54073.1353 18.206 0.029
54077.18389 18.037 0.042
54082.16459 18.037 0.03
54086.09356 17.953 0.064
54093.10808 17.901 0.024
54098.11317 17.849 0.047
54103.13368 18.136 0.047
54107.06382 18.187 0.034
54122.09481 18.686 0.142
filter J
54063.21241 17.892 0.074
54066.20581 17.996 0.019
54067.22494 18.123 0.073
54072.16825 18.096 0.07
54073.1353 18.217 0.017
54077.18389 18.161 0.121
54082.16459 18.525 0.1
54093.10808 18.42 0.137
54098.11317 18.376 0.094
54103.13368 18.361 0.108
filter H
54063.21241 17.966 0.232
54066.20581 18.261 0.04
54067.22494 18.235 0.34
54070.19332 18.239 0.216
54072.16825 18.032 0.127
54073.1353 18.329 0.039
54077.18389 18.167 0.194
