SN2007af 0.00629 215.588 0.393777777777778
filter uCSP9844
54165.26943 14.67 0.008
54166.28117 14.432 0.009
54169.2953 14.031 0.008
54170.29985 13.96 0.008
54174.33222 13.943 0.009
54178.2605 14.209 0.008
54179.31863 14.334 0.009
54181.29715 14.562 0.009
54182.27129 14.685 0.009
54185.30802 15.065 0.009
54190.2587 15.73 0.009
54194.28338 16.218 0.012
54197.27846 16.551 0.013
54199.22376 16.689 0.014
54202.31859 16.902 0.012
54204.33321 17.038 0.014
54207.24712 17.206 0.015
54211.26709 17.362 0.017
54213.23198 17.417 0.018
54218.24702 17.565 0.018
54224.26564 17.656 0.027
54239.18637 18.003 0.023
54246.15851 18.167 0.023
54256.17932 18.296 0.038
filter BCSP9844
54165.26943 14.071 0.006
54166.28117 13.889 0.006
54169.2953 13.478 0.006
54170.29985 13.407 0.007
54171.30832 13.345 0.007
54172.30469 13.3 0.009
54174.33222 13.28 0.007
54178.2605 13.425 0.008
54179.31863 13.487 0.006
54181.29715 13.632 0.006
54182.27129 13.716 0.008
54185.30802 14.022 0.006
54190.2587 14.607 0.007
54194.28338 15.063 0.006
54197.27846 15.334 0.006
54199.22376 15.497 0.007
54202.31859 15.737 0.008
54204.33321 15.875 0.008
54207.24712 16.044 0.009
54211.26709 16.24 0.008
54213.23198 16.308 0.009
54218.24702 16.443 0.007
54224.26564 16.549 0.01
54226.29718 16.595 0.009
54231.27117 16.662 0.008
54239.18637 16.792 0.009
54246.15851 16.869 0.007
54256.17932 17.009 0.008
filter VCSP9844
54165.26943 14.034 0.006
54166.28117 13.856 0.005
54169.2953 13.445 0.006
54170.29985 13.367 0.008
54171.30832 13.299 0.008
54172.30469 13.242 0.008
54174.33222 13.21 0.009
54179.31863 13.254 0.008
54181.29715 13.323 0.007
54182.27129 13.353 0.008
54185.30802 13.524 0.007
54190.2587 13.849 0.006
54194.28338 14.102 0.008
54197.27846 14.27 0.007
54199.22376 14.374 0.009
54202.31859 14.571 0.008
54204.33321 14.72 0.007
54207.24712 14.929 0.008
54211.26709 15.153 0.007
54213.23198 15.24 0.008
54218.24702 15.406 0.006
54224.26564 15.58 0.007
54226.29718 15.637 0.007
54231.27117 15.747 0.006
54239.18637 15.941 0.007
54246.15851 16.11 0.007
54256.17932 16.35 0.006
filter gCSP9844
54165.26943 13.991 0.011
54166.28117 13.826 0.007
54169.2953 13.404 0.006
54170.29985 13.333 0.006
54174.33222 13.187 0.007
54178.2605 13.284 0.008
54179.31863 13.329 0.008
54181.29715 13.426 0.007
54182.27129 13.493 0.008
54185.30802 13.715 0.006
54190.2587 14.181 0.006
54194.28338 14.56 0.007
54197.27846 14.84 0.006
54199.22376 14.998 0.007
54202.31859 15.26 0.008
54207.24712 15.598 0.008
54211.26709 15.794 0.006
54213.23198 15.867 0.008
54218.24702 16.015 0.006
54224.26564 16.132 0.008
54226.29718 16.168 0.007
54231.27117 16.252 0.006
54239.18637 16.37 0.006
54246.15851 16.48 0.006
54256.17932 16.63 0.005
filter rCSP9844
54165.26943 13.969 0.009
54166.28117 13.8 0.005
54169.2953 13.422 0.006
54170.29985 13.362 0.007
54171.30832 13.299 0.007
54172.30469 13.263 0.008
54174.33222 13.228 0.008
54178.2605 13.228 0.007
54179.31863 13.282 0.008
54181.29715 13.369 0.008
54182.27129 13.422 0.011
54185.30802 13.653 0.006
54190.2587 13.882 0.005
54194.28338 13.961 0.006
54197.27846 14.035 0.006
54199.22376 14.091 0.007
54202.31859 14.227 0.007
54204.33321 14.36 0.009
54207.24712 14.592 0.008
54211.26709 14.857 0.006
54213.23198 14.942 0.007
54218.24702 15.151 0.005
54224.26564 15.36 0.007
54226.29718 15.421 0.006
54231.27117 15.588 0.006
54239.18637 15.845 0.006
54246.15851 16.053 0.006
54256.17932 16.384 0.005
filter iCSP9844
54165.26943 14.233 0.006
54166.28117 14.049 0.006
54169.2953 13.736 0.008
54170.29985 13.694 0.008
54171.30832 13.679 0.011
54172.30469 13.697 0.011
54174.33222 13.764 0.01
54178.2605 13.9 0.009
54179.31863 13.961 0.01
54181.29715 14.052 0.01
54182.27129 14.134 0.01
54185.30802 14.383 0.006
54190.2587 14.442 0.006
54194.28338 14.349 0.008
54197.27846 14.303 0.009
54199.22376 14.287 0.008
54202.31859 14.315 0.008
54204.33321 14.406 0.01
54207.24712 14.632 0.01
54211.26709 14.905 0.006
54213.23198 15.014 0.009
54218.24702 15.272 0.006
54224.26564 15.505 0.009
54226.29718 15.598 0.007
54231.27117 15.779 0.006
54239.18637 16.055 0.007
54246.15851 16.295 0.008
54256.17932 16.638 0.007
filter YCSP9844
54162.24338 14.648 0.018
54164.30435 14.159 0.008
54167.31005 13.683 0.022
54168.32832 13.636 0.011
54169.2953 13.581 0.005
54170.29985 13.568 0.003
54171.30832 13.59 0.004
54172.30469 13.646 0.006
54175.28535 13.895 0.016
54180.26975 14.217 0.004
54183.2586 14.377 0.009
54189.29468 14.254 0.004
54193.24142 14.024 0.011
54196.26972 13.861 0.005
54205.21841 13.502 0.017
54208.26206 13.68 0.016
54217.20942 14.18 0.029
54223.25495 14.492 0.011
54228.22432 14.776 0.007
54230.29847 14.86 0.009
54233.17844 15.052 0.007
54238.18123 15.307 0.008
54244.17553 15.594 0.008
54247.16794 15.744 0.01
54255.18621 16.166 0.008
54257.19446 16.209 0.013
filter JCSP9844
54162.24338 14.585 0.012
54164.30435 14.093 0.022
54167.31005 13.624 0.011
54168.32832 13.532 0.013
54169.2953 13.479 0.003
54170.29985 13.459 0.009
54171.30832 13.469 0.003
54172.30469 13.489 0.008
54175.28535 13.727 0.017
54180.26975 14.166 0.007
54183.2586 14.671 0.013
54189.29468 15.139 0.018
54193.24142 15.048 0.01
54196.26972 14.939 0.01
54205.21841 14.636 0.01
54208.26206 14.883 0.033
54217.20942 15.654 0.038
54228.22432 16.407 0.018
54230.29847 16.608 0.029
54233.17844 16.803 0.037
54238.18123 16.968 0.031
54244.17553 17.445 0.049
54247.16794 17.618 0.074
54255.18621 18.002 0.033
54257.19446 18.247 0.119
filter HCSP9844
54162.24338 14.489 0.034
54164.30435 14.055 0.03
54167.31005 13.71 0.016
54168.32832 13.683 0.025
54169.2953 13.628 0.006
54170.29985 13.625 0.004
54171.30832 13.65 0.02
54172.30469 13.69 0.004
54175.28535 13.863 0.027
54180.26975 14 0.019
54183.2586 14.07 0.028
54189.29468 13.938 0.008
54193.24142 13.849 0.02
54196.26972 13.802 0.021
54205.21841 13.94 0.016
54208.26206 14.142 0.027
54217.20942 14.633 0.03
54228.22432 15.075 0.051
54233.17844 15.286 0.025
54238.18123 15.453 0.042
54244.17553 15.722 0.032
54247.16794 15.916 0.037
54255.18621 16.252 0.012
54257.19446 16.223 0.057
filter KCSP9844
54169.2953 13.52 0.022
54170.29985 13.498 0.01
54171.30832 13.502 0.011
54172.30469 13.511 0.011
54255.18621 16.14 0.041
