SN2007ai 0.031987 243.224 -21.6302
filter uCSP9844
54174.36931 18.966 0.044
54179.37406 19.407 0.059
54181.34918 19.572 0.069
54182.32332 19.715 0.083
54185.3608 20.119 0.119
54190.35439 20.681 0.139
54199.28387 21.613 0.484
54203.37245 21.989 0.402
filter BCSP9844
54172.35622 18.154 0.011
54174.36931 18.215 0.014
54179.37406 18.407 0.016
54181.34918 18.536 0.015
54182.32332 18.605 0.015
54185.3608 18.833 0.016
54190.35439 19.305 0.027
54194.36198 19.713 0.066
54199.28387 20.014 0.051
54200.36209 20.155 0.072
54203.37245 20.461 0.046
54213.32045 21.043 0.085
54227.35007 21.185 0.177
54231.36245 21.351 0.126
54235.26948 21.388 0.074
54243.26526 21.615 0.121
54259.20007 21.632 0.404
filter VCSP9844
54172.35622 17.825 0.012
54174.36931 17.806 0.012
54179.37406 17.874 0.012
54181.34918 17.933 0.013
54182.32332 17.999 0.014
54185.3608 18.152 0.013
54190.35439 18.439 0.016
54194.36198 18.676 0.025
54199.28387 18.873 0.02
54200.36209 18.918 0.024
54203.37245 19.086 0.027
54213.32045 19.669 0.032
54227.35007 20.217 0.063
54231.36245 20.227 0.069
54235.26948 20.334 0.049
54243.26526 20.571 0.067
54259.20007 20.768 0.252
filter gCSP9844
54174.36931 17.98 0.009
54179.37406 18.143 0.011
54181.34918 18.254 0.01
54182.32332 18.302 0.011
54185.3608 18.496 0.01
54190.35439 18.877 0.013
54194.36198 19.193 0.032
54199.28387 19.591 0.026
54203.37245 19.913 0.025
54213.32045 20.591 0.042
54231.36245 21.121 0.074
54235.26948 21.163 0.048
54243.26526 21.324 0.061
54259.20007 21.631 0.152
filter rCSP9844
54172.35622 17.636 0.014
54174.36931 17.605 0.016
54179.37406 17.639 0.018
54181.34918 17.7 0.016
54182.32332 17.727 0.017
54185.3608 17.905 0.012
54190.35439 18.139 0.016
54194.36198 18.216 0.018
54199.28387 18.316 0.017
54200.36209 18.354 0.017
54203.37245 18.433 0.019
54213.32045 18.99 0.034
54227.35007 19.559 0.053
54231.36245 19.625 0.055
54235.26948 19.775 0.054
54243.26526 20.035 0.056
54259.20007 20.451 0.112
filter iCSP9844
54172.35622 17.879 0.022
54174.36931 17.928 0.018
54179.37406 18.035 0.018
54181.34918 18.115 0.019
54182.32332 18.169 0.024
54185.3608 18.368 0.019
54190.35439 18.548 0.026
54194.36198 18.485 0.026
54199.28387 18.445 0.026
54200.36209 18.443 0.029
54203.37245 18.416 0.028
54213.32045 18.824 0.034
54227.35007 19.522 0.049
54231.36245 19.681 0.075
54235.26948 19.777 0.067
54243.26526 20.105 0.1
54259.20007 20.59 0.25
filter YCSP9844
54139.37274 17.52 0.048
54171.38793 17.574 0.021
54172.35622 17.619 0.017
54180.33222 18.072 0.055
54184.35063 18.197 0.06
54277.06767 20.296 0.112
54280.14319 20.326 0.206
filter JCSP9844
54139.37274 17.29 0.03
54171.38793 17.193 0.016
54172.35622 17.16 0.022
54180.33222 17.883 0.053
54184.35063 18.198 0.074
54277.06767 21.229 0.329
54280.14319 20.631 0.278
filter HCSP9844
54171.38793 17.34 0.069
54172.35622 17.212 0.029
54180.33222 17.727 0.164
54184.35063 17.881 0.143
54277.06767 20.103 0.197
54280.14319 19.895 0.22
filter KCSP9844
54172.35622 17.064 0.057
54277.06767 19.468 0.319
54280.14319 19.245 0.543
