SN2007ax 0.007638 125.68 22.5547
filter u
54185.05157 18.237 0.037
54190.10517 18.409 0.072
54194.00887 19.133 0.08
54197.05105 19.373 0.122
54206.98559 19.954 0.105
54212.96429 19.799 0.149
54218.96464 20.205 0.204
54223.96025 20.592 0.267
54234.95241 21.031 0.249
54238.95024 20.94 0.292
filter B
54185.05157 16.63 0.008
54190.10517 16.584 0.01
54194.00887 17.183 0.011
54197.05105 17.697 0.015
54206.98559 18.588 0.071
54212.96429 18.707 0.026
54218.96464 18.883 0.039
54223.96025 19.078 0.045
54228.96966 19.235 0.037
54234.95241 19.419 0.036
54238.95024 19.487 0.04
54245.95085 19.531 0.074
filter V
54185.05157 16.038 0.006
54190.10517 15.703 0.006
54194.00887 15.986 0.006
54197.05105 16.37 0.008
54206.98559 17.298 0.016
54212.96429 17.596 0.016
54218.96464 17.82 0.019
54223.96025 18.07 0.019
54228.96966 18.274 0.022
54234.95241 18.516 0.026
54238.95024 18.578 0.024
54245.95085 18.812 0.042
filter g
54185.05157 16.259 0.005
54190.10517 16.106 0.006
54194.00887 16.594 0.007
54197.05105 17.079 0.008
54206.98559 18.02 0.028
54212.96429 18.18 0.022
54218.96464 18.422 0.021
54223.96025 18.604 0.022
54228.96966 18.687 0.023
54234.95241 18.87 0.032
54238.95024 19.027 0.04
54245.95085 19.071 0.068
filter r
54185.05157 15.922 0.007
54190.10517 15.471 0.005
54194.00887 15.583 0.005
54197.05105 15.881 0.006
54206.98559 16.878 0.012
54212.96429 17.251 0.011
54218.96464 17.527 0.013
54223.96025 17.821 0.016
54228.96966 18.032 0.019
54234.95241 18.393 0.023
54238.95024 18.562 0.028
54245.95085 18.837 0.037
filter i
54185.05157 16.115 0.009
54190.10517 15.62 0.006
54194.00887 15.639 0.008
54197.05105 15.816 0.008
54206.98559 16.771 0.016
54212.96429 17.073 0.012
54218.00288 17.332 0.019
54223.96025 17.662 0.019
54228.96966 17.792 0.024
54234.95241 18.211 0.029
54238.95024 18.336 0.031
54245.95085 18.433 0.045
filter Y
54184.04175 15.867 0.046
54191.09662 15.207 0.008
54196.03169 15.23 0.017
54205.02132 15.636 0.011
54218.96464 16.713 0.02
54221.96891 16.877 0.018
54229.96152 17.364 0.042
54247.95895 18.081 0.175
filter J
54184.04175 14.543 0.05
54191.09662 14.599 0.054
54196.03169 14.713 0.098
54218.96464 16.743 0.103
54221.96891 18.239 0.079
54229.96152 18.689 0.273
filter H
54184.04175 15.282 0.042
54191.09662 15.215 0.065
54196.03169 15.232 0.133
54229.96152 16.487 0.091
