SN2007ba 0.039055 229.178 7.39661111111111
filter uCSP9844
54194.33075 18.815 0.064
54197.33598 18.958 0.066
54202.3662 19.844 0.068
54203.33058 19.842 0.048
54207.27762 20.542 0.098
54211.29803 21.121 0.312
54213.26235 21.348 0.246
54218.33139 22.301 0.483
filter BCSP9844
54194.33075 17.982 0.017
54197.33598 17.919 0.014
54200.34084 18.119 0.015
54202.3662 18.323 0.014
54203.33058 18.466 0.013
54207.27762 19.108 0.017
54211.29803 19.698 0.046
54213.26235 19.952 0.03
54218.33139 20.309 0.061
54224.23214 20.765 0.261
54227.28349 20.706 0.115
54229.28043 20.8 0.112
54232.22393 20.905 0.069
54235.19447 20.928 0.054
54243.22663 21.174 0.095
54246.19065 21.168 0.168
54255.10205 21.009 0.231
filter VCSP9844
54194.33075 17.772 0.014
54197.33598 17.613 0.011
54200.34084 17.597 0.011
54202.3662 17.682 0.009
54203.33058 17.729 0.009
54207.27762 18.123 0.01
54211.29803 18.57 0.015
54213.26235 18.753 0.013
54218.33139 19.261 0.03
54224.23214 19.489 0.082
54227.28349 19.775 0.05
54229.28043 19.797 0.046
54232.22393 19.861 0.036
54235.19447 19.994 0.032
54243.22663 20.27 0.049
54246.19065 20.429 0.083
54255.10205 20.606 0.137
filter gCSP9844
54194.33075 17.771 0.012
54197.33598 17.686 0.009
54202.3662 17.963 0.009
54203.33058 18.047 0.009
54207.27762 18.624 0.01
54211.29803 19.222 0.015
54213.26235 19.431 0.017
54218.33139 19.808 0.026
54224.23214 20.206 0.081
54227.28349 20.422 0.082
54229.28043 20.339 0.06
54232.22393 20.386 0.035
54235.19447 20.585 0.03
54243.22663 20.724 0.043
54246.19065 20.89 0.094
54255.10205 20.833 0.118
filter rCSP9844
54194.33075 17.685 0.016
54197.33598 17.483 0.014
54200.34084 17.405 0.014
54202.3662 17.467 0.017
54203.33058 17.493 0.024
54207.27762 17.718 0.028
54211.29803 17.973 0.026
54213.26235 18.062 0.032
54218.33139 18.44 0.036
54224.23214 19.012 0.046
54227.28349 19.005 0.047
54229.28043 19.054 0.055
54232.22393 19.181 0.059
54243.22663 19.253 0.082
54246.19065 19.612 0.072
54255.10205 19.641 0.097
filter iCSP9844
54194.33075 17.726 0.022
54197.33598 17.69 0.022
54200.34084 17.668 0.025
54202.3662 17.761 0.03
54203.33058 17.902 0.032
54207.27762 18.009 0.037
54211.29803 18.091 0.031
54213.26235 18.057 0.038
54218.33139 18.328 0.038
54224.23214 18.79 0.045
54227.28349 18.929 0.061
54229.28043 18.931 0.072
54232.22393 19.136 0.076
54255.10205 19.506 0.129
filter YCSP9844
54191.29608 17.974 0.044
54193.31267 17.703 0.029
54196.32353 17.535 0.019
54198.28514 17.541 0.037
54205.27545 17.831 0.022
54208.31817 17.852 0.023
54217.27634 17.685 0.021
54221.31272 17.879 0.034
54228.28794 18.394 0.045
54234.24129 18.802 0.084
54238.23678 18.96 0.097
54244.25223 19.076 0.136
54245.27201 19.246 0.038
54247.22392 19.204 0.157
54254.24772 19.59 0.133
54257.26329 19.387 0.29
filter JCSP9844
54191.29608 17.839 0.073
54193.31267 17.66 0.042
54196.32353 17.63 0.04
54198.28514 17.663 0.035
54217.27634 18.575 0.08
54221.31272 18.87 0.066
54228.28794 19.81 0.457
54245.27201 20.718 0.195
filter HCSP9844
54191.29608 17.932 0.25
54193.31267 17.662 0.094
54196.32353 17.545 0.103
54205.27545 18.118 0.113
54208.31817 18.154 0.16
54221.31272 18.256 0.172
54245.27201 19.218 0.22
54254.24772 19.253 0.314
filter KCSP9844
54221.31272 23.103 0.251
