SN2007bd 0.031939 127.889 -1.19943888888889
filter uCSP9844
54197.0233 18.266 0.024
54199.03381 17.674 0.017
54206.09745 17.235 0.054
54207.03751 17.254 0.096
54212.99226 17.845 0.023
54218.01312 18.444 0.03
54223.99077 19.334 0.062
54234.98034 20.358 0.093
54238.97837 20.668 0.148
54244.97459 20.872 0.302
54258.94879 21.322 0.344
54418.29652 21.906 0.448
filter BCSP9844
54197.0233 17.739 0.01
54199.03381 17.231 0.009
54206.09745 16.653 0.02
54207.03751 16.665 0.007
54212.99226 16.958 0.007
54218.01312 17.408 0.01
54223.99077 18.159 0.015
54227.04769 18.483 0.02
54234.98034 19.293 0.022
54238.97837 19.606 0.033
54244.97459 19.868 0.063
54258.94879 20.113 0.049
54418.29652 22.411 0.228
54422.30956 22.63 0.247
filter VCSP9844
54197.0233 17.717 0.01
54199.03381 17.254 0.01
54206.09745 16.648 0.011
54207.03751 16.636 0.012
54212.99226 16.807 0.007
54218.01312 17.108 0.009
54223.99077 17.478 0.01
54227.04769 17.65 0.01
54234.98034 18.283 0.012
54238.97837 18.611 0.02
54244.97459 18.858 0.03
54258.94879 19.322 0.028
54418.29652 22.114 0.231
54422.30956 22.334 0.242
filter gCSP9844
54197.0233 17.633 0.008
54199.03381 17.134 0.009
54206.09745 16.622 0.073
54207.03751 16.549 0.008
54212.99226 16.791 0.005
54218.01312 17.163 0.007
54223.99077 17.774 0.009
54227.04769 18.083 0.011
54234.98034 18.894 0.014
54238.97837 19.177 0.015
54244.97459 19.404 0.032
54258.94879 19.769 0.056
54418.29652 22.171 0.139
54422.30956 22.147 0.131
filter rCSP9844
54197.0233 17.67 0.009
54199.03381 17.171 0.011
54206.09745 16.63 0.016
54207.03751 16.605 0.007
54212.99226 16.793 0.006
54218.01312 17.207 0.007
54223.99077 17.408 0.009
54227.04769 17.44 0.009
54234.98034 17.842 0.012
54238.97837 18.131 0.01
54244.97459 18.428 0.016
54258.94879 18.938 0.025
54418.29652 22.82 0.335
54422.30956 22.553 0.237
filter iCSP9844
54197.0233 17.792 0.015
54199.03381 17.382 0.017
54206.09745 17.219 0.047
54207.03751 17.257 0.014
54212.99226 17.479 0.011
54218.01312 18.028 0.018
54223.99077 18.021 0.016
54227.04769 17.85 0.015
54234.98034 17.926 0.015
54238.97837 18.203 0.021
54244.97459 18.572 0.025
54258.94879 19.262 0.046
54418.29652 21.472 0.234
54422.30956 21.626 0.222
filter YCSP9844
54198.0384 17.377 0.069
54201.04123 17.047 0.024
54205.08229 17.185 0.028
54207.97035 17.421 0.035
54216.97532 18.03 0.044
54220 17.999 0.05
54222.96766 17.914 0.02
54224.96303 17.704 0.017
54227.97795 17.489 0.037
54233.98723 17.069 0.03
54243.97457 17.605 0.048
54246.98554 17.857 0.071
filter JCSP9844
54198.0384 17.398 0.056
54201.04123 16.989 0.041
54205.08229 17.129 0.039
54207.97035 17.365 0.095
54222.96766 18.814 0.123
54224.96303 18.8 0.065
54227.97795 18.697 0.177
54243.97457 18.958 0.199
54253.97231 19.364 0.321
filter HCSP9844
54198.0384 17.511 0.182
54201.04123 17.206 0.153
54205.08229 17.47 0.136
54220 18.051 0.103
54222.96766 17.919 0.039
54224.96303 17.913 0.066
54246.98554 18.198 0.346
