SN2007jh 0.040264 54.0064166666667 1.10338888888889
filter B
54363.34793 18.803 0.019
54364.37982 18.754 0.016
54368.36071 18.837 0.034
54376.33887 19.993 0.047
54380.37199 20.734 0.346
54392.35478 21.281 0.144
54394.29072 21.385 0.089
54395.34689 21.682 0.192
filter V
54363.34793 18.519 0.014
54364.37982 18.435 0.016
54368.36071 18.366 0.022
54376.33887 18.911 0.021
54378.38505 18.95 0.108
54380.37199 19.27 0.046
54385.38756 19.602 0.091
54392.35478 20.209 0.078
54394.29072 20.447 0.058
54395.34689 20.534 0.081
54425.29183 21.656 0.299
filter g
54363.34793 18.581 0.015
54364.37982 18.516 0.011
54368.36071 18.552 0.022
54376.33887 19.543 0.029
54378.38505 19.825 0.029
54380.37199 20.066 0.025
54392.35478 20.929 0.058
54394.29072 21.083 0.079
54395.34689 21.24 0.164
54409.36064 21.388 0.132
54413.29233 21.428 0.09
54425.29183 21.604 0.213
filter r
54363.34793 18.366 0.016
54364.37982 18.301 0.015
54368.36071 18.191 0.019
54376.33887 18.575 0.016
54378.38505 18.7 0.017
54380.37199 18.793 0.033
54392.35478 19.66 0.042
54394.29072 19.763 0.045
54395.34689 19.929 0.045
54398.34477 19.873 0.082
54409.36064 20.412 0.075
54425.29183 21.136 0.223
filter i
54363.34793 18.556 0.023
54364.37982 18.589 0.036
54368.36071 18.598 0.041
54376.33887 18.891 0.023
54378.38505 18.902 0.033
54380.37199 18.842 0.025
54392.35478 19.648 0.064
54394.29072 19.756 0.049
54395.34689 19.75 0.068
54398.34477 19.839 0.074
54413.29233 20.307 0.116
54425.29183 20.465 0.245
