SN2007le 0.005522 354.702 -6.52258055555556
filter u
54387.27977 16.764 0.019
54388.0522 16.357 0.018
54392.09155 15.17 0.018
54395.08741 14.934 0.032
54400.08246 14.958 0.022
54403.05252 15.116 0.019
54407.10929 15.442 0.024
54409.06752 15.596 0.025
54411.07127 15.875 0.021
54413.08524 16.13 0.021
54417.12103 16.629 0.027
54426.05222 17.556 0.024
54428.06213 17.721 0.074
54430.04243 17.845 0.041
54435.03446 18.146 0.045
54440.05332 18.257 0.041
54445.04304 18.315 0.031
54449.0411 18.391 0.065
54455.02722 18.477 0.071
54456.0445 18.404 0.085
54457.02273 18.623 0.058
54466.02343 18.624 0.038
54470.04005 18.679 0.037
filter B
54387.27977 15.657 0.006
54388.0522 15.31 0.005
54392.09155 14.346 0.006
54394.08755 14.142 0.008
54395.08741 14.085 0.008
54398.00139 14.011 0.009
54400.08246 14.021 0.007
54403.05252 14.113 0.007
54407.10929 14.352 0.006
54409.06752 14.519 0.008
54411.07127 14.714 0.006
54413.08524 14.924 0.007
54417.12103 15.365 0.008
54426.05222 16.19 0.01
54428.06213 16.361 0.013
54430.04243 16.498 0.01
54435.03446 16.77 0.009
54440.05332 16.922 0.01
54443.12493 16.984 0.011
54445.04304 16.998 0.011
54449.0411 17.033 0.011
54455.02722 17.124 0.014
54456.0445 17.176 0.017
54457.02273 17.167 0.022
54466.02343 17.238 0.022
54470.04005 17.357 0.013
filter V
54387.27977 15.321 0.007
54388.0522 15.006 0.005
54392.09155 14.124 0.006
54394.08755 13.921 0.008
54395.08741 13.851 0.006
54398.00139 13.739 0.007
54400.08246 13.698 0.006
54403.05252 13.713 0.006
54407.10929 13.843 0.005
54409.06752 13.948 0.007
54411.07127 14.077 0.006
54413.08524 14.217 0.004
54417.12103 14.424 0.006
54426.05222 14.877 0.006
54428.06213 14.986 0.006
54430.04243 15.114 0.008
54435.03446 15.45 0.006
54440.05332 15.673 0.006
54443.12493 15.767 0.005
54445.04304 15.822 0.008
54449.0411 15.94 0.006
54455.02722 16.093 0.008
54456.0445 16.122 0.008
54457.02273 16.167 0.01
54466.02343 16.395 0.014
54470.04005 16.486 0.01
filter g
54387.27977 15.455 0.005
54388.0522 15.142 0.005
54392.09155 14.236 0.005
54394.08755 14.023 0.006
54395.08741 13.963 0.006
54400.08246 13.871 0.005
54403.05252 13.914 0.004
54407.10929 14.09 0.005
54409.06752 14.217 0.006
54411.07127 14.364 0.006
54413.08524 14.523 0.004
54417.12103 14.853 0.006
54426.05222 15.618 0.008
54428.06213 15.779 0.006
54430.04243 15.926 0.007
54435.03446 16.229 0.006
54440.05332 16.405 0.006
54443.12493 16.475 0.007
54445.04304 16.518 0.009
54449.0411 16.593 0.007
54455.02722 16.69 0.008
54456.0445 16.7 0.009
54457.02273 16.704 0.008
54466.02343 16.864 0.008
54470.04005 16.934 0.009
filter r
54387.27977 15.127 0.005
54388.0522 14.813 0.004
54392.09155 14.002 0.007
54394.08755 13.815 0.006
54395.08741 13.754 0.006
54398.00139 13.65 0.006
54400.08246 13.608 0.004
54403.05252 13.626 0.005
54407.10929 13.825 0.004
54409.06752 13.963 0.006
54411.07127 14.114 0.006
54413.08524 14.25 0.004
54417.12103 14.347 0.006
54426.05222 14.48 0.006
54428.06213 14.562 0.004
54430.04243 14.672 0.007
54435.03446 15.031 0.005
54440.05332 15.284 0.005
54443.12493 15.397 0.004
54445.04304 15.461 0.008
54449.0411 15.598 0.004
54455.02722 15.804 0.006
54456.0445 15.84 0.009
54457.02273 15.873 0.007
54466.02343 16.165 0.007
54470.04005 16.283 0.008
filter i
54387.27977 15.472 0.007
54388.0522 15.131 0.004
54392.09155 14.333 0.009
54394.08755 14.189 0.008
54395.08741 14.162 0.006
54398.00139 14.17 0.008
54400.08246 14.219 0.006
54403.05252 14.29 0.005
54407.10929 14.498 0.007
54409.06752 14.644 0.009
54411.07127 14.836 0.009
54413.08524 14.923 0.005
54417.12103 14.867 0.008
54426.05222 14.643 0.008
54428.06213 14.655 0.004
54430.04243 14.696 0.009
54435.03446 15.075 0.006
54440.05332 15.379 0.006
54443.12493 15.522 0.006
54445.04304 15.611 0.01
54449.0411 15.784 0.006
54455.02722 16.016 0.009
54456.0445 16.047 0.009
54457.02273 16.09 0.009
54466.02343 16.412 0.009
54470.04005 16.559 0.01
filter Y
54388.0522 14.516 0.006
54393.09807 13.928 0.017
54396.1312 13.989 0.009
54399.12087 14.216 0.01
54402.11413 14.479 0.007
54408.18216 14.805 0.006
54410.10914 14.841 0.018
54415.06387 14.668 0.009
54426.05222 13.903 0.007
54434.06884 13.801 0.01
54439.10082 14.116 0.005
54444.01954 14.387 0.013
54448.0456 14.608 0.004
54454.01772 14.933 0.006
54463.02801 15.422 0.014
54467.03133 15.65 0.004
54469.02976 15.771 0.006
filter J
54388.0522 14.413 0.006
54393.09807 13.791 0.008
54396.1312 13.779 0.006
54399.12087 13.912 0.011
54402.11413 14.12 0.009
54408.18216 14.894 0.02
54410.10914 15.268 0.021
54415.06387 15.538 0.029
54426.05222 14.953 0.003
54434.06884 14.933 0.006
54439.10082 15.406 0.024
54444.01954 15.801 0.014
54448.0456 16.088 0.017
54454.01772 16.45 0.047
54463.02801 16.97 0.031
54467.03133 17.284 0.032
54469.02976 17.416 0.022
filter H
54388.0522 14.474 0.018
54393.09807 13.986 0.006
54396.1312 14.001 0.007
54399.12087 14.099 0.007
54402.11413 14.209 0.006
54408.18216 14.359 0.01
54410.10914 14.436 0.026
54415.06387 14.342 0.008
54426.05222 14.011 0.006
54434.06884 14.278 0.01
54439.10082 14.555 0.019
54444.01954 14.837 0.021
54448.0456 14.998 0.017
54454.01772 15.239 0.014
54467.03133 15.761 0.011
54469.02976 15.845 0.021
