SN2008R 0.012887 45.9737916666667 -11.9943
filter u
54493.1176 16.226 0.016
54494.07097 16.277 0.014
54497.08145 16.567 0.016
54499.06953 16.848 0.017
54508.0644 18.371 0.024
54512.04042 18.885 0.069
54519.04794 19.391 0.097
54521.02312 19.424 0.042
54523.00785 19.682 0.066
54527.00207 19.644 0.061
filter B
54493.1176 15.559 0.006
54494.07097 15.531 0.007
54497.08145 15.653 0.006
54499.06953 15.842 0.006
54508.0644 17.185 0.009
54512.04042 17.686 0.014
54517.06542 18.118 0.028
54519.04794 18.258 0.017
54521.02312 18.359 0.014
54523.00785 18.47 0.013
54527.00207 18.6 0.016
filter V
54493.1176 15.447 0.006
54494.07097 15.41 0.009
54497.08145 15.383 0.006
54499.06953 15.436 0.006
54508.0644 16.148 0.007
54512.04042 16.491 0.008
54517.06542 16.997 0.011
54519.04794 17.139 0.01
54521.02312 17.265 0.009
54523.00785 17.374 0.009
54527.00207 17.533 0.011
54532.0134 17.719 0.011
filter g
54493.1176 15.425 0.005
54494.07097 15.392 0.006
54497.08145 15.434 0.004
54499.06953 15.564 0.004
54508.0644 16.684 0.005
54512.04042 17.182 0.007
54515.06499 17.474 0.011
54519.04794 17.812 0.016
54521.02312 17.905 0.009
54523.00785 17.997 0.014
54527.00207 18.141 0.021
filter r
54493.1176 15.384 0.006
54494.07097 15.349 0.007
54497.08145 15.31 0.006
54499.06953 15.381 0.004
54508.0644 15.892 0.005
54512.04042 16.09 0.005
54515.06499 16.366 0.008
54519.04794 16.753 0.008
54521.02312 16.898 0.006
54523.00785 17.013 0.008
54527.00207 17.219 0.009
54532.0134 17.406 0.008
filter i
54493.1176 15.706 0.007
54494.07097 15.724 0.011
54497.08145 15.773 0.007
54499.06953 15.871 0.006
54508.0644 16.122 0.007
54512.04042 16.124 0.006
54515.06499 16.304 0.011
54519.04794 16.691 0.009
54521.02312 16.852 0.008
54523.00785 17.001 0.008
54527.00207 17.207 0.01
54532.0134 17.47 0.011
filter Y
54495.08398 15.697 0.003
54498.10768 15.79 0.008
54503.07204 15.977 0.01
54516.05804 15.495 0.006
54520.01085 15.796 0.008
54522.01175 15.932 0.006
54523.99834 16.066 0.01
54530.02073 16.434 0.015
filter J
54495.08398 15.525 0.005
54498.10768 15.819 0.034
54503.07204 16.533 0.014
54516.05804 16.432 0.016
54520.01085 16.947 0.028
54522.01175 17.136 0.035
54523.99834 17.39 0.057
filter H
54495.08398 15.613 0.011
54503.07204 15.907 0.023
54520.01085 16.352 0.049
54522.01175 16.452 0.084
54523.99834 16.659 0.046
