SN2008bq 0.034436 100.26 -38.0386
filter u
54561.97557 17.764 0.018
54566.00806 18.006 0.014
54567.9727 18.173 0.016
54568.9938 18.232 0.025
54569.97779 18.368 0.021
54571.96904 18.53 0.025
54572.99145 18.696 0.042
54573.96351 18.729 0.034
54574.99168 18.923 0.047
54575.9655 19.112 0.052
54579.97782 19.7 0.038
54588.99494 20.742 0.117
54590.95522 20.794 0.101
54594.96523 21.062 0.126
54598.96595 21.164 0.163
54605.95005 21.135 0.462
filter B
54561.97557 17.028 0.007
54566.00806 17.123 0.01
54567.9727 17.186 0.009
54568.9938 17.247 0.009
54569.97779 17.293 0.008
54571.96904 17.429 0.009
54572.99145 17.504 0.009
54573.96351 17.591 0.011
54574.99168 17.718 0.012
54575.9655 17.81 0.013
54579.97782 18.249 0.011
54588.99494 19.137 0.017
54590.95522 19.288 0.018
54594.96523 19.579 0.024
54598.96595 19.845 0.035
54605.95005 20.173 0.189
filter V
54561.97557 16.939 0.006
54566.00806 16.954 0.009
54567.9727 16.992 0.008
54568.9938 17.013 0.007
54569.97779 17.046 0.008
54571.96904 17.129 0.008
54572.99145 17.171 0.008
54573.96351 17.219 0.012
54574.99168 17.275 0.011
54575.9655 17.344 0.009
54579.97782 17.597 0.009
54588.99494 18.094 0.01
54590.95522 18.196 0.013
54594.96523 18.437 0.012
54598.96595 18.705 0.016
54605.95005 19.027 0.031
filter g
54561.97557 16.916 0.007
54566.00806 16.955 0.008
54567.9727 17.026 0.007
54568.9938 17.066 0.014
54569.97779 17.109 0.007
54571.96904 17.219 0.008
54572.99145 17.289 0.006
54573.96351 17.367 0.01
54574.99168 17.426 0.008
54575.9655 17.51 0.009
54579.97782 17.905 0.008
54588.99494 18.687 0.01
54590.95522 18.814 0.023
54594.96523 19.163 0.014
54598.96595 19.446 0.018
54605.95005 19.664 0.062
filter r
54561.97557 16.875 0.006
54566.00806 16.821 0.01
54567.9727 16.866 0.008
54568.9938 16.903 0.007
54569.97779 16.943 0.007
54571.96904 17.023 0.008
54572.99145 17.089 0.007
54573.96351 17.143 0.009
54574.99168 17.206 0.009
54575.9655 17.277 0.008
54579.97782 17.453 0.009
54588.99494 17.634 0.008
54590.95522 17.706 0.011
54594.96523 17.892 0.009
54598.96595 18.185 0.01
54605.95005 18.529 0.02
filter i
54561.97557 17.391 0.009
54566.00806 17.478 0.014
54567.9727 17.516 0.011
54568.9938 17.554 0.012
54569.97779 17.582 0.01
54571.96904 17.698 0.011
54572.99145 17.769 0.011
54573.96351 17.874 0.016
54574.99168 17.947 0.013
54575.9655 17.998 0.013
54579.97782 18.094 0.014
54588.99494 17.938 0.01
54590.95522 17.942 0.017
54594.96523 17.947 0.011
54598.96595 18.212 0.013
54605.95005 18.677 0.023
filter Y
54565.02973 17.577 0.033
54588.00443 17.402 0.013
54593.00956 17.156 0.047
54596.00319 17.117 0.022
filter J
54565.02973 17.452 0.055
54588.00443 18.526 0.103
54593.00956 18.148 0.142
54596.00319 18.187 0.118
filter H
54565.02973 17.89 0.157
54588.00443 17.8 0.123
54593.00956 17.432 0.115
54596.00319 17.992 0.314
