SN2008fp 0.006287 109.136 -29.3255
filter u
54724.3237 15.61 0.018
54725.32016 15.549 0.024
54726.32141 15.485 0.022
54728.31453 15.468 0.023
54729.30238 15.476 0.026
54732.3027 15.61 0.021
54740.30267 16.254 0.01
54744.31379 16.793 0.012
54747.30524 17.219 0.012
54749.30468 17.551 0.014
54751.28175 17.794 0.082
54753.36793 18.1 0.02
54759.34452 18.726 0.021
54760.29968 18.779 0.02
54765.32339 19.066 0.021
54768.31296 19.108 0.022
54770.28675 19.155 0.021
54779.32165 19.413 0.026
54781.31516 19.426 0.03
54783.29234 19.487 0.038
54790.32183 19.577 0.024
54792.25894 19.643 0.022
54795.25207 19.676 0.024
54803.31488 19.851 0.026
54809.21786 19.954 0.034
54820.21276 20.106 0.049
filter B
54724.3237 14.903 0.007
54725.32016 14.799 0.008
54726.32141 14.73 0.007
54728.31453 14.628 0.011
54732.3027 14.662 0.005
54740.30267 15.052 0.005
54744.31379 15.426 0.006
54747.30524 15.755 0.008
54749.30468 15.984 0.006
54751.28175 16.192 0.023
54753.36793 16.404 0.008
54759.34452 16.972 0.01
54760.29968 17.033 0.01
54765.32339 17.314 0.007
54768.31296 17.455 0.011
54770.28675 17.519 0.009
54779.32165 17.702 0.009
54781.31516 17.726 0.009
54783.29234 17.762 0.011
54790.32183 17.87 0.01
54792.25894 17.891 0.012
54795.25207 17.923 0.011
54797.34641 17.94 0.009
54803.31488 18.041 0.009
54809.21786 18.127 0.01
54813.31326 18.186 0.015
54820.21276 18.28 0.012
filter V
54724.3237 14.277 0.006
54725.32016 14.171 0.006
54726.32141 14.099 0.006
54728.31453 13.993 0.007
54729.30238 13.962 0.006
54732.3027 13.97 0.008
54740.30267 14.199 0.004
54744.31379 14.469 0.005
54747.30524 14.652 0.006
54749.30468 14.751 0.005
54751.28175 14.851 0.013
54753.36793 14.959 0.005
54759.34452 15.276 0.007
54760.29968 15.328 0.007
54765.32339 15.652 0.005
54768.31296 15.806 0.008
54770.28675 15.892 0.005
54779.32165 16.172 0.008
54781.31516 16.227 0.008
54783.29234 16.296 0.008
54790.32183 16.479 0.008
54792.25894 16.523 0.01
54795.25207 16.603 0.01
54797.34641 16.659 0.008
54803.31488 16.814 0.008
54809.21786 16.975 0.009
54813.31326 17.069 0.009
54820.21276 17.236 0.01
filter g
54724.3237 14.571 0.007
54725.32016 14.475 0.006
54726.32141 14.397 0.006
54728.31453 14.296 0.007
54729.30238 14.282 0.007
54732.3027 14.323 0.004
54740.30267 14.58 0.004
54744.31379 14.876 0.006
54747.30524 15.124 0.006
54749.30468 15.292 0.006
54751.28175 15.463 0.008
54753.36793 15.648 0.006
54759.34452 16.151 0.008
54760.29968 16.227 0.007
54765.32339 16.548 0.006
54768.31296 16.672 0.008
54770.28675 16.751 0.006
54779.32165 16.964 0.009
54781.31516 16.993 0.007
54783.29234 17.029 0.009
54790.32183 17.158 0.009
54792.25894 17.181 0.01
54795.25207 17.241 0.011
54797.34641 17.28 0.007
54803.31488 17.388 0.007
54809.21786 17.495 0.008
54813.31326 17.54 0.01
54820.21276 17.682 0.01
filter r
54724.3237 14.106 0.008
54725.32016 14.011 0.004
54726.32141 13.942 0.005
54728.31453 13.851 0.006
54729.30238 13.818 0.005
54732.3027 13.808 0.008
54740.30267 14.111 0.004
54744.31379 14.411 0.005
54747.30524 14.52 0.006
54749.30468 14.548 0.005
54751.28175 14.593 0.006
54753.36793 14.598 0.005
54759.34452 14.752 0.007
54760.29968 14.792 0.007
54765.32339 15.129 0.004
54768.31296 15.312 0.009
54770.28675 15.407 0.004
54779.32165 15.783 0.009
54781.31516 15.849 0.008
54783.29234 15.922 0.007
54790.32183 16.161 0.008
54792.25894 16.224 0.008
54795.25207 16.316 0.012
54803.31488 16.58 0.005
54809.21786 16.769 0.009
54813.31326 16.894 0.008
54820.21276 17.101 0.01
filter i
54724.3237 14.08 0.008
54725.32016 14.024 0.005
54726.32141 13.992 0.006
54728.31453 13.997 0.006
54729.30238 14.007 0.005
54732.3027 14.125 0.006
54740.30267 14.545 0.004
54744.31379 14.847 0.007
54747.30524 14.85 0.006
54749.30468 14.802 0.006
54751.28175 14.752 0.007
54753.36793 14.677 0.006
54759.34452 14.578 0.008
54760.29968 14.597 0.007
54765.32339 14.882 0.004
54768.31296 15.088 0.009
54770.28675 15.201 0.004
54779.32165 15.636 0.008
54781.31516 15.72 0.009
54783.29234 15.796 0.008
54790.32183 16.075 0.009
54792.25894 16.158 0.01
54795.25207 16.289 0.012
54797.34641 16.349 0.008
54803.31488 16.567 0.006
54809.21786 16.773 0.009
54813.31326 16.918 0.009
54820.21276 17.149 0.011
filter Y
54725.32016 13.708 0.004
54726.32141 13.755 0.034
54727.33258 13.758 0.005
54728.31453 13.819 0.008
54729.30238 13.904 0.003
54730.3659 13.943 0.011
54731.38619 14.033 0.006
54733.3781 14.224 0.006
54737.39199 14.494 0.006
54741.38641 14.66 0.007
54743.38196 14.649 0.007
54745.34953 14.644 0.003
54752.28324 14.116 0.007
54756.30067 13.825 0.024
54758.25494 13.662 0.003
54764.3408 13.489 0.005
54775.31975 14.122 0.006
54780.35183 14.414 0.02
54784.3469 14.626 0.014
54794.29449 15.164 0.01
54796.27317 15.285 0.01
54799.31789 15.436 0.01
filter J
54725.32016 13.505 0.004
54726.32141 13.506 0.012
54727.33258 13.495 0.004
54728.31453 13.531 0.003
54729.30238 13.555 0.003
54730.3659 13.56 0.007
54731.38619 13.628 0.007
54733.3781 13.759 0.005
54737.39199 14.16 0.013
54741.38641 14.829 0.018
54743.38196 15.099 0.014
54745.34953 15.257 0.008
54752.28324 15.041 0.006
54756.30067 14.812 0.005
54758.25494 14.662 0.011
54764.3408 14.5 0.016
54775.31975 15.358 0.016
54794.29449 16.429 0.043
54796.27317 16.489 0.049
54799.31789 16.646 0.051
filter H
54725.32016 13.633 0.004
54726.32141 13.646 0.009
54727.33258 13.654 0.004
54728.31453 13.698 0.015
54729.30238 13.732 0.005
